,SI_P2HT_OTH,SI_STUR_BIO_CHP,SI_COMC_GAS_CHP,SI_ICEN_GAS_CHP
2016-09-19 20:00:00,170.76739492483244,49.72181657626215,1.7185392407685671,2.8642320679476123
2016-09-19 21:00:00,105.08762764605075,30.598040970007478,1.0575626097037338,1.7626043495062231
2016-09-19 22:00:00,76.62639515857866,22.311071540630454,0.7711394029089725,1.2852323381816209
2016-09-19 23:00:00,81.8807765408812,23.840973589130826,0.8240175333941592,1.3733625556569322
2016-09-20 00:00:00,85.82156257760812,24.988400125506107,0.8636761312580492,1.4394602187634156
2016-09-20 01:00:00,105.52549276124262,30.725532807382503,1.061969120577499,1.7699485342958319
2016-09-20 02:00:00,169.89166469444868,49.46683290151209,1.7097262190210363,2.849543698368394
2016-09-20 03:00:00,313.5114224773847,91.28415556052231,3.1550617856161387,5.258436309360232
2016-09-20 04:00:00,364.74164095483445,106.20070053340096,3.6706235578467092,6.117705929744516
2016-09-20 05:00:00,343.2862503104325,99.95360050202443,3.454704525032197,5.757840875053662
2016-09-20 06:00:00,280.67153883799386,81.72226775739497,2.8245734700837226,4.707622450139538
2016-09-20 07:00:00,274.10356211011566,79.80989019676952,2.758475806977239,4.597459678295398
2016-09-20 08:00:00,245.64232962264362,71.52292076739248,2.4720526001824776,4.120087666970797
2016-09-20 09:00:00,233.38210639727106,67.9531493208916,2.348670295717042,3.9144504928617367
2016-09-20 10:00:00,221.99761340228218,64.6383615491408,2.2341010129991377,3.723501688331896
2016-09-20 11:00:00,199.66649252749642,58.136277843014206,2.009368958437094,3.3489482640618236
2016-09-20 12:00:00,193.09851579961827,56.22390028238874,1.9432712953306106,3.238785492217685
2016-09-20 13:00:00,181.71402280462945,52.90911251063793,1.8287020126127063,3.047836687687844
2016-09-20 14:00:00,195.7257064907695,56.98885130663893,1.969710360573204,3.2828506009553404
2016-09-20 15:00:00,212.80244598325274,61.96103296426513,2.14156428465006,3.569273807750101
2016-09-20 16:00:00,221.55974828709031,64.51086971176578,2.2296945021253722,3.7161575035422874
2016-09-20 17:00:00,238.6364877795736,69.48305136939199,2.4015484262022286,4.002580710337049
2016-09-20 18:00:00,250.0209807745624,72.7978391411428,2.5161177089201336,4.193529514866889
2016-09-20 19:00:00,229.00345524535226,66.6782309471413,2.3046051869793867,3.841008644965645
2016-09-20 20:00:00,170.76739492483244,49.72181657626215,1.7185392407685671,2.8642320679476123
2016-09-20 21:00:00,105.9633578764345,30.85302464475754,1.066375631451265,1.7772927190854415
2016-09-20 22:00:00,81.44291142568933,23.713481751755797,0.8196110225203936,1.3660183708673228
2016-09-20 23:00:00,87.13515792318373,25.370875637631197,0.8768956638793458,1.4614927731322431
2016-09-21 00:00:00,85.82156257760812,24.988400125506107,0.8636761312580492,1.4394602187634156
2016-09-21 01:00:00,105.08762764605075,30.598040970007478,1.0575626097037338,1.7626043495062231
2016-09-21 02:00:00,164.1994181969543,47.809439015636684,1.652441577662084,2.7540692961034736
2016-09-21 03:00:00,300.81333413682023,87.58689227664641,3.027272970276938,5.045454950461563
2016-09-21 04:00:00,377.8775944105908,110.02545565465188,3.8028188840596755,6.338031473432793
2016-09-21 05:00:00,358.6115293421482,104.41581481015051,3.608932405613991,6.014887342689986
2016-09-21 06:00:00,299.4997387912446,87.2044167645213,3.0140534376556407,5.023422396092735
2016-09-21 07:00:00,287.67738068106394,83.76213715539548,2.895077644063971,4.825129406773286
