,[AGRAS 1;AGRAS 2],[ASSOMATA 1;ASSOMATA 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4],LADONAS,[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],[STRATOS-I NO 1;STRATOS-I NO 2],[STRATOS-II NO 1;STRATOS-II NO 2],THISAVROS 1,THISAVROS 2,THISAVROS 3
2014-12-31 23:00:00,0.0036715925,0.00425525115741,0.000700975877193,0.0035186372549,0.0106040454597,1.53876633902,0.0503729765625,0.424006975019,0.788971210317,0.0151228762136,0.0626755169753,0.0422458206522,0.0182734483557,0.0513449628949,0.00987002155556,0.313588561093,0.00450720416667,0.00942780238095,0.00523689194444,0.00212686567164,0.740483250417,0.740483250417,0.740483250417
2015-01-01 00:00:00,0.00367213621528,0.00421840914352,0.000695012426901,0.00352243668301,0.0105885392901,1.5343421887,0.050184146327,0.423768840397,0.786995231068,0.0151455951659,0.0625000202546,0.0423636292648,0.0183786755056,0.0511636552231,0.00980904259259,0.313982676938,0.00440088831019,0.00934391286927,0.0052088991088,0.00210144382255,0.737266944306,0.737266944306,0.737266944306
2015-01-01 01:00:00,0.00367267993056,0.00418156712963,0.000689048976608,0.00352623611111,0.0105730331204,1.52991803837,0.0499953160916,0.423530705775,0.785019251819,0.0151683141181,0.062324523534,0.0424814378774,0.0184839026556,0.0509823475513,0.00974806362963,0.314376792783,0.0042945724537,0.00926002335758,0.00518090627315,0.00207602197347,0.734050638194,0.734050638194,0.734050638194
2015-01-01 02:00:00,0.00367322364583,0.00414472511574,0.000683085526316,0.00353003553922,0.0105575269507,1.52549388804,0.0498064858561,0.423292571153,0.783043272569,0.0151910330704,0.0621490268133,0.04259924649,0.0185891298055,0.0508010398795,0.00968708466667,0.314770908628,0.00418825659722,0.0091761338459,0.0051529134375,0.00205060012438,0.730834332083,0.730834332083,0.730834332083
2015-01-01 03:00:00,0.00367376736111,0.00410788310185,0.000677122076023,0.00353383496732,0.010542020781,1.52106973772,0.0496176556207,0.423054436531,0.78106729332,0.0152137520227,0.0619735300926,0.0427170551027,0.0186943569554,0.0506197322077,0.0096261057037,0.315165024473,0.00408194074074,0.00909224433422,0.00512492060185,0.00202517827529,0.727618025972,0.727618025972,0.727618025972
2015-01-01 04:00:00,0.00367431107639,0.00407104108796,0.000671158625731,0.00353763439542,0.0105265146114,1.51664558739,0.0494288253852,0.422816301909,0.779091314071,0.0152364709749,0.0617980333719,0.0428348637153,0.0187995841053,0.0504384245359,0.00956512674074,0.315559140318,0.00397562488426,0.00900835482253,0.0050969277662,0.0019997564262,0.724401719861,0.724401719861,0.724401719861
2015-01-01 05:00:00,0.00367485479167,0.00403419907407,0.000665195175439,0.00354143382353,0.0105110084417,1.51222143707,0.0492399951497,0.422578167286,0.777115334821,0.0152591899272,0.0616225366512,0.0429526723279,0.0189048112552,0.0502571168641,0.00950414777778,0.315953256163,0.00386930902778,0.00892446531085,0.00506893493056,0.00197433457711,0.72118541375,0.72118541375,0.72118541375
2015-01-01 06:00:00,0.00367539850694,0.00399735706019,0.000659231725146,0.00354523325163,0.010495502272,1.50779728674,0.0490511649143,0.422340032664,0.775139355572,0.0152819088794,0.0614470399306,0.0430704809405,0.0190100384051,0.0500758091923,0.00944316881481,0.316347372008,0.0037629931713,0.00884057579916,0.00504094209491,0.00194891272803,0.717969107639,0.717969107639,0.717969107639
2015-01-01 07:00:00,0.00367594222222,0.0039605150463,0.000653268274854,0.00354903267974,0.0104799961024,1.50337313641,0.0488623346788,0.422101898042,0.773163376323,0.0153046278317,0.0612715432099,0.0431882895531,0.019115265555,0.0498945015205,0.00938218985185,0.316741487853,0.00365667731481,0.00875668628748,0.00501294925926,0.00192349087894,0.714752801528,0.714752801528,0.714752801528
2015-01-01 08:00:00,0.0036764859375,0.00392367303241,0.000647304824561,0.00355283210784,0.0104644899327,1.49894898609,0.0486735044434,0.42186376342,0.771187397073,0.015327346784,0.0610960464892,0.0433060981658,0.019220492705,0.0497131938487,0.00932121088889,0.317135603698,0.00355036145833,0.00867279677579,0.00498495642361,0.00189806902985,0.711536495417,0.711536495417,0.711536495417
2015-01-01 09:00:00,0.00367702965278,0.00388683101852,0.000641341374269,0.00355663153595,0.010448983763,1.49452483576,0.0484846742079,0.421625628798,0.769211417824,0.0153500657362,0.0609205497685,0.0434239067784,0.0193257198549,0.0495318861769,0.00926023192593,0.317529719543,0.00344404560185,0.00858890726411,0.00495696358796,0.00187264718076,0.708320189306,0.708320189306,0.708320189306
