,SI_P2HT_OTH,SI_STUR_BIO_CHP,SI_COMC_GAS_CHP
2016-01-01 00:00:00,670.8370245819834,380.1022659490422,23.596092083206397
2016-01-01 01:00:00,682.639035410295,386.789390979733,24.01121725380259
2016-01-01 02:00:00,719.3862054893561,407.610666643475,25.303766080431647
2016-01-01 03:00:00,795.2945933169055,450.621038999964,27.973775700402623
2016-01-01 04:00:00,1049.8425086820805,594.8501675028193,36.92727085712509
2016-01-01 05:00:00,1322.3616678085477,749.2619636660446,46.51288843270992
2016-01-01 06:00:00,1235.4559517091625,700.0204066218664,43.456057631047045
2016-01-01 07:00:00,1205.6826971195583,683.1506139308054,42.40881004158847
2016-01-01 08:00:00,1153.9147859862824,653.818451864366,40.58792008874607
2016-01-01 09:00:00,1108.5843353048128,628.1338125419396,38.99346204713795
2016-01-01 10:00:00,1067.0090698868971,604.5768948201878,37.531089287083184
2016-01-01 11:00:00,1037.504042816118,587.8590822434605,36.493276360592695
2016-01-01 12:00:00,1017.6552064230485,576.6125537827533,35.79511130095364
2016-01-01 13:00:00,1020.3374816113014,578.132354926092,35.8894579306346
2016-01-01 14:00:00,1044.4779583055752,591.8105652161416,36.73857759776318
2016-01-01 15:00:00,1090.8813190623455,618.1031249959034,38.37077429124367
2016-01-01 16:00:00,1119.0452085389982,634.061037000961,39.36141390289367
2016-01-01 17:00:00,1104.5609225224339,625.8541108269314,38.851942102616526
2016-01-01 18:00:00,1100.2692822212298,623.4224289975892,38.700987495127
2016-01-01 19:00:00,1068.6184349998487,605.4887755061911,37.58769726489176
2016-01-01 20:00:00,978.225761155735,554.2714769756724,34.408215844643635
2016-01-01 21:00:00,828.2865781324128,469.31459306303174,29.134239245478355
2016-01-01 22:00:00,690.6858609750528,391.34879440974953,24.29425714284545
2016-01-01 23:00:00,637.5768122476507,361.2567317716406,22.426193875162575
2016-01-02 00:00:00,643.7460451806317,364.75227440131994,22.64319112342877
2016-01-02 01:00:00,657.6938761595455,372.65524034668186,23.133793597769724
2016-01-02 02:00:00,692.8316811256549,392.5646353244206,24.36973444659021
2016-01-02 03:00:00,775.1775294050108,439.22253042492275,27.266175977795474
2016-01-02 04:00:00,1028.9207622137098,582.9957185847763,36.19136714561365
2016-01-02 05:00:00,1279.1770372776805,724.7931652582895,44.993907694846584
2016-01-02 06:00:00,1203.5368769689562,681.9347730161344,42.3333327378437
2016-01-02 07:00:00,1180.7375378688087,669.0164632977543,41.5313863855556
2016-01-02 08:00:00,1135.6753147061645,643.4838040896619,39.94636300691559
2016-01-02 09:00:00,1091.4177740999962,618.4070852245712,38.389643617179864
2016-01-02 10:00:00,1050.3789637197308,595.154127731487,36.946140183061274
2016-01-02 11:00:00,1023.019756799554,579.6521560694309,35.98380456031555
2016-01-02 12:00:00,1001.8297828123581,567.6457270370541,35.238466185836025
2016-01-02 13:00:00,1011.2177459712425,572.96503103874,35.56867938971936
2016-01-02 14:00:00,1027.043169581933,581.9318577844391,36.125324504836975
2016-01-02 15:00:00,1070.7642551504507,606.7046164208622,37.663174568636514
2016-01-02 16:00:00,1092.7589116941226,619.1669857962406,38.436816932020335
2016-01-02 17:00:00,1090.344864024695,617.7991647672357,38.351904965307476
2016-01-02 18:00:00,1079.6157632716845,611.7199601938803,37.974518446583666
2016-01-02 19:00:00,1044.7461858244003,591.9625453304755,36.748012260731265
2016-01-02 20:00:00,952.2076918296846,539.5294058852858,33.49305353673839
2016-01-02 21:00:00,795.5628208357307,450.7730191142979,27.98321036337072
2016-01-02 22:00:00,664.399564130177,376.454743205029,23.36966017197211
2016-01-02 23:00:00,633.2851719464466,358.8250499422985,22.27523926767305
2016-01-03 00:00:00,640.5273149547286,362.9285130293133,22.529975167811624
2016-01-03 01:00:00,651.5246432265644,369.1596977170026,22.916796349503535
2016-01-03 02:00:00,684.5166280420717,387.8532517800702,24.077259894579257
2016-01-03 03:00:00,770.6176615849813,436.63886848124673,27.105786707337856
2016-01-03 04:00:00,1032.9441749960888,585.2754202997846,36.332887090135074
2016-01-03 05:00:00,1272.7395768258743,721.1456425142763,44.7674757836123
2016-01-03 06:00:00,1186.90677080179,672.5120059274336,41.748383633821796
2016-01-03 07:00:00,1149.0866906474278,651.0828098063562,40.418096155320356
2016-01-03 08:00:00,1112.3395205683667,630.2615341426142,39.1255473286913
2016-01-03 09:00:00,1068.3502074810235,605.3367953918572,37.57826260192366
2016-01-03 10:00:00,1034.5535401090403,586.1873009857878,36.38949506794365
2016-01-03 11:00:00,1009.0719258206403,571.749190124069,35.493202085974595
2016-01-03 12:00:00,988.4184068710952,560.0467213203601,34.76673303743126
2016-01-03 13:00:00,989.7595444652213,560.8066218920295,34.81390635227174
2016-01-03 14:00:00,1001.8297828123581,567.6457270370541,35.238466185836025
2016-01-03 15:00:00,1050.9154187573813,595.4580879601548,36.96500950899746
2016-01-03 16:00:00,1078.5428531963835,611.1120397365448,37.936779794711285
2016-01-03 17:00:00,1073.4465303387035,608.2244175642011,37.75752119831748
2016-01-03 18:00:00,1066.4726148492466,604.27293459152,37.51221996114699
2016-01-03 19:00:00,1038.8451804102447,588.6189828151302,36.54044967543318
2016-01-03 20:00:00,950.0618716790825,538.3135649706148,33.41757623299363
2016-01-03 21:00:00,796.0992758733813,451.0769793429656,28.00207968930691
2016-01-03 22:00:00,662.253743979575,375.2389022903579,23.294182868227345
2016-01-03 23:00:00,695.7821838327328,394.23641658209334,24.47351573923926
2016-01-04 00:00:00,700.6102791715875,396.9720586401032,24.64333967266498
2016-01-04 01:00:00,709.1935597739961,401.8354222987875,24.945248887644027
2016-01-04 02:00:00,742.1855445895034,420.5289763618551,26.105712432719752
2016-01-04 03:00:00,825.8725304629854,467.94677203402665,29.04932727876549
2016-01-04 04:00:00,1106.9749701918615,627.2219318559364,38.936854069329385
2016-01-04 05:00:00,1338.7235464568887,758.5327506404116,47.08840287376374
2016-01-04 06:00:00,1235.1877241903371,699.8684265075326,43.44662296807895
2016-01-04 07:00:00,1192.8077762159458,675.855568442779,41.95594621911989
2016-01-04 08:00:00,1150.1596007227288,651.6907302636915,40.45583480719273
2016-01-04 09:00:00,1109.657245380114,628.7417329992753,39.03120069901035
2016-01-04 10:00:00,1080.6886733469858,612.3278806512159,38.01225709845605
2016-01-04 11:00:00,1049.0378261256046,594.3942271598177,36.898966868220796
2016-01-04 12:00:00,1033.480630033739,585.5793805284525,36.351756416071275
2016-01-04 13:00:00,1035.6264501843414,586.7952214431234,36.42723371981603
2016-01-04 14:00:00,1062.4492020668677,601.9932328765118,37.37070001662557
2016-01-04 15:00:00,1116.0947058319205,632.3892557432885,39.25763261024463
2016-01-04 16:00:00,1150.1596007227288,651.6907302636915,40.45583480719273
2016-01-04 17:00:00,1141.0398650826698,646.5234063763396,40.135056266277495
2016-01-04 18:00:00,1136.4799972626404,643.9397444326636,39.974666995819874
2016-01-04 19:00:00,1111.534838011891,629.8055937996124,39.09724333978701
2016-01-04 20:00:00,1029.7254447701857,583.451658927778,36.21967113451794
2016-01-04 21:00:00,865.3019757302991,490.2878488411076,30.436222735075503
2016-01-04 22:00:00,724.482528347036,410.49828881581885,25.483024676825462
2016-01-04 23:00:00,711.6076074434235,403.20324332779245,25.030160854356886
2016-01-05 00:00:00,715.3627927069771,405.33096492846676,25.162246135910216
2016-01-05 01:00:00,727.4330310541139,412.17007007349156,25.586805969474508
2016-01-05 02:00:00,764.180201133175,432.9913457372336,26.87935479610357
2016-01-05 03:00:00,838.747451366598,475.2418175220531,29.502191101234068
2016-01-05 04:00:00,1101.6104198153562,624.1823295692587,38.74816080996748
2016-01-05 05:00:00,1410.0720664644089,798.9594610532246,49.5980232232771
2016-01-05 06:00:00,1308.9502918672847,741.6629579493505,46.04115528430516
2016-01-05 07:00:00,1265.765661336417,717.1941595415954,44.52217454644182
2016-01-05 08:00:00,1216.411797872569,689.2298185041609,42.786196560312284
2016-01-05 09:00:00,1168.3990720028467,662.0253780383956,41.097391889023214
2016-01-05 10:00:00,1123.873303877853,636.7966790589711,39.5312378363194
2016-01-05 11:00:00,1090.8813190623455,618.1031249959034,38.37077429124367
2016-01-05 12:00:00,1073.7147578575286,608.3763976785349,37.76695586128557
2016-01-05 13:00:00,1068.6184349998487,605.4887755061911,37.58769726489176
2016-01-05 14:00:00,1095.1729593635498,620.5348068252457,38.5217288987332
2016-01-05 15:00:00,1148.2820080909519,650.6268694633544,40.389792166416065
2016-01-05 16:00:00,1183.4198130570614,670.5362644410933,41.625733015236555
2016-01-05 17:00:00,1168.1308444840213,661.8733979240618,41.08795722605512
2016-01-05 18:00:00,1162.2298390698659,658.5298354087164,40.880394640757025
2016-01-05 19:00:00,1128.164944179057,639.2283608883132,39.68219244380892
2016-01-05 20:00:00,1042.8685931926234,590.8986845301382,36.6819696199546
2016-01-05 21:00:00,894.807002801078,507.0056614178347,31.47403566156599
2016-01-05 22:00:00,741.3808620330276,420.0730360188535,26.077408443815465
2016-01-05 23:00:00,710.2664698492971,402.44334275612306,24.98298753951641
2016-01-06 00:00:00,713.7534275940255,404.41908424246344,25.105638158101645
2016-01-06 01:00:00,725.2872109035118,410.95422915882045,25.511328665729746
2016-01-06 02:00:00,761.7661534637476,431.62352470822856,26.794442829390707
2016-01-06 03:00:00,833.9193560277434,472.5061754640432,29.33236716780835
2016-01-06 04:00:00,1096.7823244765016,621.4466875112489,38.57833687654177
2016-01-06 05:00:00,1407.121563757331,797.2876797955519,49.49424193062805
