,IE_P2HT_OTH,IE_STUR_BIO_CHP,IE_COMC_GAS_CHP,IE_ICEN_GAS_CHP
2016-01-01 00:00:00,1009.0370879358151,13.754252783108447,1.5376293002326165,0.10777586136017812
2016-01-01 01:00:00,1060.484702616753,14.455538698036674,1.6160281625800033,0.11327101218610827
2016-01-01 02:00:00,1094.9214124435098,14.924947818512823,1.6685048204415602,0.11694921798088408
2016-01-01 03:00:00,1239.7215537632464,16.898728337141463,1.8891596830160602,0.13241540861192938
2016-01-01 04:00:00,1570.811848242186,21.41184253159892,2.3936942971548874,0.16777936312073782
2016-01-01 05:00:00,2178.225621571969,29.691540753009598,3.319306671965969,0.23265759545268716
2016-01-01 06:00:00,2659.094858791381,36.246301844959724,4.0520831353580755,0.2840195293821471
2016-01-01 07:00:00,2609.7217447024163,35.5732935878915,3.97684551746018,0.27874595721855283
2016-01-01 08:00:00,2500.1881134462255,34.08023325288302,3.809931810527034,0.2670466038472177
2016-01-01 09:00:00,2301.8658568535784,31.376889161466146,3.5077168411556565,0.24586368372790637
2016-01-01 10:00:00,2122.6290057070846,28.933699522361355,3.2345853207196,0.22671928730208524
2016-01-01 11:00:00,1990.6907680575823,27.135240482464773,3.033530173731947,0.2126268843775225
2016-01-01 12:00:00,1919.7428478120953,26.16814458365246,2.9254156135593408,0.20504889412563496
2016-01-01 13:00:00,1909.3703448522292,26.026756294352413,2.909609391311884,0.2039410008139555
2016-01-01 14:00:00,1911.4448454442022,26.055033952212426,2.9127706357613756,0.2041625794762914
2016-01-01 15:00:00,1954.5944577572468,26.643209235700613,2.9785245203107964,0.20877141565287796
2016-01-01 16:00:00,2045.4575836856777,27.881770649969017,3.11698702719852,0.21847656106319008
2016-01-01 17:00:00,2138.810110324476,29.154265253669426,3.2592430274256325,0.22844760086830523
2016-01-01 18:00:00,2201.8749283204647,30.013906052613702,3.3553448586901706,0.23518359220331633
2016-01-01 19:00:00,2253.3225430014027,30.715191967541934,3.433743721037558,0.2406787430292465
2016-01-01 20:00:00,2193.9918260709665,29.906450952745672,3.3433321297821044,0.23434159328644
2016-01-01 21:00:00,1998.9887704254756,27.24835111390481,3.0461751515299125,0.21351319902686605
2016-01-01 22:00:00,1504.8427294174346,20.512613011650632,2.293166723661061,0.16073316165845647
2016-01-01 23:00:00,1124.7942209679254,15.332146091696956,1.7140267405142364,0.12013995071852093
