,IE_P2HT_OTH,IE_STUR_BIO_CHP,IE_COMC_GAS_CHP
2016-01-01 00:00:00,1009.0370879358151,13.774548022382628,1.6251099223186107
2016-01-01 01:00:00,1060.484702616753,14.476868727471217,1.7079691453315664
2016-01-01 02:00:00,1094.9214124435098,14.946970489748255,1.763431367187012
2016-01-01 03:00:00,1239.7215537632464,16.923663441973392,1.9966399867960563
2016-01-01 04:00:00,1570.811848242186,21.443437011817693,2.5298791800568505
2016-01-01 05:00:00,2178.225621571969,29.735352433186183,3.5081525872420665
2016-01-01 06:00:00,2659.094858791381,36.29978547510291,4.28261903459703
2016-01-01 07:00:00,2609.7217447024163,35.625784153284016,4.203100909286209
2016-01-01 08:00:00,2500.1881134462255,34.130520716643794,4.026690950613466
2016-01-01 09:00:00,2301.8658568535784,31.423187676060373,3.707282010289331
2016-01-01 10:00:00,2122.6290057070846,28.976392961558194,3.4186111688248406
2016-01-01 11:00:00,1990.6907680575823,27.175280185605203,3.206117354969036
2016-01-01 12:00:00,1919.7428478120953,26.206757277781424,3.091851813556008
2016-01-01 13:00:00,1909.3703448522292,26.065160361432916,3.0751463250453317
2016-01-01 14:00:00,1911.4448454442022,26.093479744702623,3.0784874227474672
2016-01-01 15:00:00,1954.5944577572468,26.6825229167124,3.147982254951881
2016-01-01 16:00:00,2045.4575836856777,27.922911903925314,3.2943223343054076
2016-01-01 17:00:00,2138.810110324476,29.197284151061865,3.4446717309014963
2016-01-01 18:00:00,2201.8749283204647,30.058193402460773,3.5462411010464088
2016-01-01 19:00:00,2253.3225430014027,30.76051410754937,3.629100324059365
2016-01-01 20:00:00,2193.9918260709665,29.950579746035917,3.5335449297782957
2016-01-01 21:00:00,1998.9887704254756,27.288557718684007,3.2194817457775766
2016-01-01 22:00:00,1504.8427294174346,20.5428806238412,2.423632273128948
2016-01-01 23:00:00,1124.7942209679254,15.354769608831951,1.8115431740977603
2016-01-02 00:00:00,1294.9032695097362,17.676959036947444,2.085513185672855
2016-01-02 01:00:00,1367.510790228802,18.668137451386983,2.2024516052475906
2016-01-02 02:00:00,1398.2133989900071,19.08726432377856,2.2518998512391932
2016-01-02 03:00:00,1574.9608494261327,21.500075778357097,2.536561375461121
2016-01-02 04:00:00,1940.4878537318286,26.489951110478433,3.125262790577361
2016-01-02 05:00:00,2579.8489361780007,35.217985034200325,4.1549891023754615
2016-01-02 06:00:00,3095.9846834609593,42.26384759170196,4.986254210666724
2016-01-02 07:00:00,3032.9198654649704,41.402938340303045,4.88468484052181
2016-01-02 08:00:00,2979.8126503104536,40.6779621285987,4.799152739347147
2016-01-02 09:00:00,2747.0536838910493,37.50052732573824,4.424281577167568
2016-01-02 10:00:00,2558.689030139873,34.92912732484937,4.120909905813681
2016-01-02 11:00:00,2425.506092135187,33.11102291893456,3.9064114333365945
2016-01-02 12:00:00,2364.5157747311723,32.27843305080535,3.808183160893817
2016-01-02 13:00:00,2359.122073192041,32.204802654304125,3.799496306868265
2016-01-02 14:00:00,2393.558783018798,32.674904416581164,3.8549585287237114
2016-01-02 15:00:00,2452.8894999492345,33.48483877809461,3.950513923004781
2016-01-02 16:00:00,2566.157232270977,35.031077104620294,4.132937857541368
