,HE Zakucac,HE Senj,HE Dubrovnik_HR,HE Vinodol,HE Peruca,HE Sklope,RHE Velebit,RHE Orlovac,RHE Vinodol
2015-01-02 20:00:00+00:00,0.63377545,1,0.865650616,0.596176606,0.690290571,0.647787939,0.1,0.1,0.1
2015-01-02 21:00:00+00:00,0.822174872,1,0.865746563,0.614905384,0.691484761,0.650159252,0.1,0.1,0.1
2015-01-02 22:00:00+00:00,1,1,0.865841307,0.633660125,0.692671982,0.652524579,0.1,0.1,0.1
2015-01-02 23:00:00+00:00,0.943749291,1,0.865934848,0.652440829,0.693852234,0.653618289,0.1,0.1,0.1
2015-01-03 00:00:00+00:00,1,1,0.866027514,0.671247496,0.695024023,0.655963794,0.1,0.1,0.1
2015-01-03 01:00:00+00:00,1,1,0.866119306,0.690080125,0.696187348,0.658295462,0.1,0.1,0.1
2015-01-03 02:00:00+00:00,1,1,0.866210224,0.708938718,0.69734221,0.660613295,0.1,0.1,0.1
2015-01-03 03:00:00+00:00,1,1,0.866300268,0.727823274,0.698488609,0.662917291,0.1,0.1,0.1
2015-01-03 04:00:00+00:00,1,1,0.866389437,0.746733793,0.699626544,0.665207452,0.1,0.1,0.1
2015-01-03 05:00:00+00:00,1,1,0.866477733,0.765670275,0.700756016,0.667483777,0.1,0.1,0.1
2015-01-03 06:00:00+00:00,1,1,0.866565154,0.78463272,0.701877024,0.669746266,0.1,0.1,0.1
2015-01-03 07:00:00+00:00,1,1,0.866651701,0.803621128,0.702989569,0.671994919,0.1,0.1,0.1
2015-01-03 08:00:00+00:00,1,1,0.866737374,0.822635499,0.70409365,0.674229736,0.1,0.1,0.1
2015-01-03 09:00:00+00:00,0.931034092,1,0.866651749,0.792799283,0.705189269,0.675185087,0.1,0.1,0.1
2015-01-03 10:00:00+00:00,1,1,0.866735674,0.81186558,0.706276423,0.677392232,0.1,0.1,0.1
2015-01-03 11:00:00+00:00,1,1,0.866818724,0.83095784,0.707355115,0.679585541,0.1,0.1,0.1
2015-01-03 12:00:00+00:00,1,1,0.866900901,0.850076063,0.708425342,0.681765014,0.1,0.1,0.1
2015-01-03 13:00:00+00:00,0.906775184,1,0.866811779,0.820343698,0.708524953,0.683930651,0.1,0.1,0.1
2015-01-03 14:00:00+00:00,0.807046861,1,0.866811533,0.790637296,0.708616101,0.684816822,0.1,0.1,0.1
2015-01-03 15:00:00+00:00,0.998085341,1,0.866891087,0.809833409,0.709660938,0.686954787,0.1,0.1,0.1
2015-01-03 16:00:00+00:00,0.898650247,1,0.866969767,0.780178933,0.709735159,0.687813287,0.1,0.1,0.1
2015-01-03 17:00:00+00:00,0.799361767,1,0.866877149,0.75055042,0.709800916,0.68865795,0.1,0.1,0.1
2015-01-03 18:00:00+00:00,0.700219902,1,0.866783656,0.720947871,0.70985821,0.689488778,0.1,0.1,0.1
2015-01-03 19:00:00+00:00,0.891844839,1,0.866859713,0.740247835,0.710869194,0.691571399,0.1,0.1,0.1
2015-01-03 20:00:00+00:00,0.792996203,1,0.866764472,0.710697211,0.710909561,0.692374555,0.1,0.1,0.1
2015-01-03 21:00:00+00:00,0.694294181,1,0.866668357,0.681172551,0.710941464,0.693163874,0.1,0.1,0.1
2015-01-03 22:00:00+00:00,0.7220431,1,0.866571368,0.651673853,0.711927058,0.693939358,0.1,0.1,0.1
2015-01-03 23:00:00+00:00,0.712852911,1,0.866473505,0.622201119,0.712904189,0.695966636,0.1,0.1,0.1
2015-01-04 00:00:00+00:00,0.905210919,1,0.866376869,0.592754347,0.713888211,0.696714502,0.1,0.1,0.1
2015-01-04 01:00:00+00:00,0.990263994,1,0.866451884,0.612210089,0.714879124,0.697448587,0.1,0.1,0.1
2015-01-04 02:00:00+00:00,1,1,0.866528127,0.631691795,0.715876928,0.699434521,0.1,0.1,0.1
2015-01-04 03:00:00+00:00,1,1,0.866605597,0.651199463,0.716881624,0.701406673,0.1,0.1,0.1
2015-01-04 04:00:00+00:00,1,1,0.866684295,0.670733095,0.717893211,0.702099414,0.1,0.1,0.1
2015-01-04 05:00:00+00:00,1,1,0.86676422,0.690292689,0.71891169,0.704044004,0.1,0.1,0.1
2015-01-04 06:00:00+00:00,1,1,0.866845372,0.709878247,0.718974906,0.705974813,0.1,0.1,0.1
2015-01-04 07:00:00+00:00,1,1,0.866927752,0.729489767,0.720007168,0.70662621,0.1,0.1,0.1
2015-01-04 08:00:00+00:00,0.973958783,1,0.867011359,0.749127251,0.72104632,0.708529456,0.1,0.1,0.1
2015-01-04 09:00:00+00:00,1,1,0.867096194,0.768790697,0.722092364,0.71041892,0.1,0.1,0.1
2015-01-04 10:00:00+00:00,1,1,0.867011832,0.739603556,0.722183146,0.711028974,0.1,0.1,0.1
2015-01-04 11:00:00+00:00,0.903350579,1,0.867099121,0.759318928,0.723242973,0.711625246,0.1,0.1,0.1
2015-01-04 12:00:00+00:00,1,1,0.867017213,0.730183713,0.723347537,0.712207737,0.1,0.1,0.1
2015-01-04 13:00:00+00:00,1,1,0.867106957,0.701074461,0.723458993,0.712776446,0.1,0.1,0.1
2015-01-04 14:00:00+00:00,1,1,0.867197929,0.671991172,0.72357734,0.713331374,0.1,0.1,0.1
2015-01-04 15:00:00+00:00,1,1,0.867290128,0.691810396,0.724664732,0.715138151,0.1,0.1,0.1
2015-01-04 16:00:00+00:00,0.90408365,1,0.867383554,0.711655584,0.724796862,0.716931146,0.1,0.1,0.1
2015-01-04 17:00:00+00:00,1,1,0.867478207,0.731526735,0.725898037,0.71871036,0.1,0.1,0.1
2015-01-04 18:00:00+00:00,0.904376879,1,0.867574088,0.702547297,0.726470825,0.719210163,0.1,0.1,0.1
2015-01-04 19:00:00+00:00,0.808900372,1,0.867671197,0.711855658,0.727585783,0.719696185,0.1,0.1,0.1
2015-01-04 20:00:00+00:00,1,1,0.867769532,0.731804697,0.728707632,0.721434055,0.1,0.1,0.1
2015-01-04 21:00:00+00:00,0.904816722,1,0.867869095,0.732343705,0.728874219,0.723158144,0.1,0.1,0.1
2015-01-04 22:00:00+00:00,0.988762346,1,0.867799461,0.70346812,0.73000985,0.723602822,0.1,0.1,0.1
2015-01-04 23:00:00+00:00,1,1,0.867901479,0.723495049,0.73019022,0.724033718,0.1,0.1,0.1
2015-01-05 00:00:00+00:00,1,1,0.867857149,0.74354794,0.731336552,0.724454046,0.1,0.1,0.1
2015-01-05 01:00:00+00:00,1,1,0.867961648,0.763626795,0.732486694,0.726129436,0.1,0.1,0.1
2015-01-05 02:00:00+00:00,1,1,0.868067388,0.783731613,0.733640645,0.727794257,0.1,0.1,0.1
2015-01-05 03:00:00+00:00,1,1,0.868174368,0.803862394,0.734798406,0.72944851,0.1,0.1,0.1
2015-01-05 04:00:00+00:00,1,1,0.868282589,0.824019138,0.735959976,0.729826565,0.1,0.1,0.1
2015-01-05 05:00:00+00:00,1,1,0.868221627,0.844201845,0.736163202,0.730194051,0.1,0.1,0.1
2015-01-05 06:00:00+00:00,1,1,0.868161905,0.849863703,0.737332391,0.731816599,0.1,0.1,0.1
2015-01-05 07:00:00+00:00,0.906282865,1,0.868273848,0.870098336,0.737543236,0.733428579,0.1,0.1,0.1
2015-01-05 08:00:00+00:00,0.963588213,1,0.868216607,0.841482381,0.73775789,0.733764361,0.1,0.1,0.1
2015-01-05 09:00:00+00:00,1,1,0.868331032,0.86176894,0.738938507,0.735355204,0.1,0.1,0.1
2015-01-05 10:00:00+00:00,0.981269401,1,0.868276272,0.833204911,0.73916078,0.735669849,0.1,0.1,0.1
2015-01-05 11:00:00+00:00,1,1,0.868393178,0.853543396,0.740349016,0.737239555,0.1,0.1,0.1
2015-01-05 12:00:00+00:00,0.907015937,0.999987,0.868412172,0.825031294,0.741541061,0.738798693,0.1,0.1,0.1
2015-01-05 13:00:00+00:00,1,1,0.868531559,0.845421705,0.742736916,0.740347263,0.1,0.1,0.1
2015-01-05 14:00:00+00:00,1,1,0.868652187,0.865838079,0.74393658,0.741885265,0.1,0.1,0.1
