,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica,HDAM,HROR
2010-01-02 21:00:00+00:00,0.599841056,0.661942503,0.629380318,0.907354019,0.67951325,0.869679777,0.9414705
2010-01-02 22:00:00+00:00,0.600013699,0.661886568,0.630622503,0.907408664,0.674681166,0.869106985,0.9411849
2010-01-02 23:00:00+00:00,0.600189388,0.66183338,0.63186798,0.907464103,0.669856548,0.868538643,0.9408993
2010-01-03 00:00:00+00:00,0.600363713,0.661779416,0.633104352,0.907520035,0.665039396,0.867969303,0.9405955
2010-01-03 01:00:00+00:00,0.600536675,0.661724676,0.634331615,0.907576459,0.66022971,0.867398965,0.9402917
2010-01-03 02:00:00+00:00,0.600708274,0.661669159,0.635549767,0.907633375,0.65542749,0.866827628,0.9399879
2010-01-03 03:00:00+00:00,0.600878509,0.661612867,0.636758806,0.907690784,0.650632736,0.866255292,0.9396841
2010-01-03 04:00:00+00:00,0.601047381,0.661794164,0.637958728,0.907748685,0.645845448,0.865756599,0.9393802
2010-01-03 05:00:00+00:00,0.601214889,0.661736319,0.639149531,0.907807078,0.641065627,0.865182263,0.9390764
2010-01-03 06:00:00+00:00,0.601381033,0.661757558,0.640331212,0.907865964,0.636293271,0.864631933,0.9387726
2010-01-03 07:00:00+00:00,0.601545814,0.661698161,0.64150377,0.907925341,0.631528382,0.864055593,0.9384688
2010-01-03 08:00:00+00:00,0.601709232,0.661637986,0.6426672,0.907985211,0.626770959,0.863478251,0.938165
2010-01-03 09:00:00+00:00,0.601871286,0.661577035,0.6438215,0.908045573,0.622021002,0.862899906,0.9378612
2010-01-03 10:00:00+00:00,0.602031977,0.661515308,0.644966669,0.908106427,0.61727851,0.862320557,0.9375574
2010-01-03 11:00:00+00:00,0.602191304,0.661452804,0.646102702,0.908167774,0.612543485,0.861740203,0.9372536
2010-01-03 12:00:00+00:00,0.602349268,0.661389523,0.647229598,0.908229612,0.607815927,0.861158845,0.9369497
2010-01-03 13:00:00+00:00,0.602505868,0.661325466,0.648347353,0.908291943,0.603095834,0.86057648,0.9366459
2010-01-03 14:00:00+00:00,0.602661105,0.661260632,0.649455965,0.908354765,0.598383207,0.859993109,0.9363421
2010-01-03 15:00:00+00:00,0.602814978,0.661195021,0.650555431,0.90841808,0.593678046,0.859408731,0.9360383
2010-01-03 16:00:00+00:00,0.602967488,0.661128633,0.651645749,0.908481887,0.588980352,0.858823346,0.9357345
2010-01-03 17:00:00+00:00,0.603118634,0.661061468,0.652726915,0.908546185,0.584290124,0.858236951,0.9354307
2010-01-03 18:00:00+00:00,0.603268417,0.660993526,0.653798927,0.908610976,0.579607361,0.857649548,0.9351269
2010-01-03 19:00:00+00:00,0.603416837,0.660924808,0.654861781,0.908676259,0.574932065,0.857061135,0.9348231
2010-01-03 20:00:00+00:00,0.603563893,0.660855312,0.655915476,0.908742033,0.570264235,0.856471711,0.9345192
2010-01-03 21:00:00+00:00,0.603709585,0.660785039,0.656960009,0.9088083,0.565603871,0.855881276,0.9338321
2010-01-03 22:00:00+00:00,0.603853914,0.660713989,0.657995376,0.908875059,0.560950973,0.85528983,0.9328837
2010-01-03 23:00:00+00:00,0.60399688,0.660642161,0.659021574,0.908942309,0.556305541,0.85469737,0.9319354
2010-01-04 00:00:00+00:00,0.604136643,0.660567221,0.660043738,0.909008595,0.551667575,0.854103158,0.9299789
2010-01-04 01:00:00+00:00,0.604273205,0.660489167,0.661061866,0.909073917,0.547037076,0.853507191,0.9280225
2010-01-04 02:00:00+00:00,0.604406564,0.660407999,0.662075959,0.909138274,0.542414042,0.85290947,0.926066
2010-01-04 03:00:00+00:00,0.604536722,0.660323716,0.663086014,0.909201667,0.537798475,0.852309994,0.9241096
2010-01-04 04:00:00+00:00,0.604663678,0.660236317,0.664092033,0.909264094,0.533190373,0.851708762,0.9221532
2010-01-04 05:00:00+00:00,0.604787432,0.6601458,0.665094014,0.909325557,0.528589738,0.851105775,0.9201967
2010-01-04 06:00:00+00:00,0.604907984,0.660052166,0.666091956,0.909386056,0.523996569,0.850501031,0.9182403
2010-01-04 07:00:00+00:00,0.605025334,0.659955413,0.66708586,0.909445589,0.519410866,0.849894531,0.9162839
2010-01-04 08:00:00+00:00,0.605139483,0.65985554,0.668075725,0.909504157,0.514832629,0.849286274,0.9143274
2010-01-04 09:00:00+00:00,0.605250429,0.659752547,0.669061549,0.90956176,0.510261858,0.848676259,0.912371
