,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak
2014-12-31 23:00:00+00:00,0.769628507,0.915523137,0.772811326,0.950592943
2015-01-01 00:00:00+00:00,0.769628507,0.915523137,0.772811326,0.950592943
2015-01-01 01:00:00+00:00,0.769998904,0.916566375,0.774791617,0.951524781
2015-01-01 02:00:00+00:00,0.769808916,0.915422325,0.775042452,0.952192074
2015-01-01 03:00:00+00:00,0.770179017,0.916465043,0.775307306,0.952659108
2015-01-01 04:00:00+00:00,0.770548971,0.9175075,0.776651231,0.953586942
2015-01-01 05:00:00+00:00,0.77035854,0.91692694,0.776944101,0.952990371
2015-01-01 06:00:00+00:00,0.770728198,0.917968877,0.778994451,0.953915536
2015-01-01 07:00:00+00:00,0.770537472,0.916823525,0.779315303,0.954742447
2015-01-01 08:00:00+00:00,0.770603148,0.915677913,0.779650132,0.954141871
2015-01-01 09:00:00+00:00,0.770412127,0.91453204,0.779998932,0.953539959
2015-01-01 10:00:00+00:00,0.770220957,0.913385907,0.780361694,0.952936712
2015-01-01 11:00:00+00:00,0.770589877,0.914426542,0.782481896,0.953855201
2015-01-01 12:00:00+00:00,0.770958649,0.915466916,0.783336002,0.954772354
2015-01-01 13:00:00+00:00,0.771327274,0.916507031,0.783822638,0.955688172
2015-01-01 14:00:00+00:00,0.77169575,0.917546885,0.784405348,0.956602654
2015-01-01 15:00:00+00:00,0.771503843,0.916399449,0.784837801,0.955992728
2015-01-01 16:00:00+00:00,0.771872024,0.915694726,0.785284169,0.956904538
2015-01-01 17:00:00+00:00,0.771679821,0.916733799,0.785744444,0.957695768
2015-01-01 18:00:00+00:00,0.77148747,0.915585583,0.786218619,0.957081833
2015-01-01 19:00:00+00:00,0.771294971,0.914437106,0.786706685,0.956466562
2015-01-01 20:00:00+00:00,0.771662562,0.913288369,0.787208636,0.956431166
2015-01-01 21:00:00+00:00,0.771548476,0.9143264,0.787724464,0.957336294
2015-01-01 22:00:00+00:00,0.771355534,0.913773881,0.788254161,0.958240084
2015-01-01 23:00:00+00:00,0.771162445,0.912624363,0.788797721,0.957619466
2015-01-02 00:00:00+00:00,0.77097176,0.911477861,0.789344068,0.956999758
2015-01-02 01:00:00+00:00,0.77078348,0.910334375,0.789893203,0.956380959
2015-01-02 02:00:00+00:00,0.770597604,0.909193905,0.790445126,0.955763069
2015-01-02 03:00:00+00:00,0.77097437,0.910243477,0.792651217,0.95666916
2015-01-02 04:00:00+00:00,0.770847949,0.909109035,0.793208714,0.956053089
2015-01-02 05:00:00+00:00,0.770798328,0.907977606,0.793768997,0.955437928
2015-01-02 06:00:00+00:00,0.77062207,0.906849188,0.794332066,0.954970754
2015-01-02 07:00:00+00:00,0.771008454,0.907910811,0.796641408,0.955880482
2015-01-02 08:00:00+00:00,0.771397242,0.908975445,0.798953535,0.95679112
2015-01-02 09:00:00+00:00,0.771228198,0.90785606,0.799524961,0.956179594
2015-01-02 10:00:00+00:00,0.771472238,0.908926713,0.800099172,0.95709205
2015-01-02 11:00:00+00:00,0.771308003,0.907813346,0.800676169,0.956482342
2015-01-02 12:00:00+00:00,0.771146172,0.906702986,0.801255949,0.955873544
2015-01-02 13:00:00+00:00,0.770986746,0.905595634,0.801838514,0.955265654
2015-01-02 14:00:00+00:00,0.770829725,0.904491288,0.802423863,0.954658673
2015-01-02 15:00:00+00:00,0.771235345,0.905576976,0.804755481,0.955575672
2015-01-02 16:00:00+00:00,0.771083133,0.904478641,0.805346397,0.954970509
2015-01-02 17:00:00+00:00,0.771493561,0.905570338,0.807683582,0.955889325
2015-01-02 18:00:00+00:00,0.771346158,0.90447801,0.808280063,0.955285978
2015-01-02 19:00:00+00:00,0.771201159,0.903388685,0.808879327,0.95468354
2015-01-02 20:00:00+00:00,0.771554588,0.902302361,0.809481373,0.95408201
2015-01-02 21:00:00+00:00,0.771474825,0.903406068,0.810086201,0.95500446
2015-01-02 22:00:00+00:00,0.771337039,0.902325747,0.810693811,0.955657141
2015-01-02 23:00:00+00:00,0.771201659,0.903435454,0.811304202,0.955571332
2015-01-03 00:00:00+00:00,0.77157122,0.902357285,0.811906901,0.954973089
2015-01-03 01:00:00+00:00,0.771433686,0.901278268,0.812501907,0.95437541
2015-01-03 02:00:00+00:00,0.771855313,0.902385433,0.813089217,0.955062203
2015-01-03 03:00:00+00:00,0.772275863,0.903491749,0.815412316,0.95598872
2015-01-03 04:00:00+00:00,0.772695337,0.904597218,0.817727714,0.9569158
2015-01-03 05:00:00+00:00,0.773113735,0.90570184,0.82003541,0.957843442
2015-01-03 06:00:00+00:00,0.773531056,0.906805613,0.822335401,0.958771647
2015-01-03 07:00:00+00:00,0.773387064,0.906915753,0.822884199,0.958177343
2015-01-03 08:00:00+00:00,0.773802232,0.908017831,0.824937088,0.959106673
2015-01-03 09:00:00+00:00,0.774216324,0.90911906,0.827213951,0.960036566
2015-01-03 10:00:00+00:00,0.774069102,0.908032413,0.827739615,0.959443949
2015-01-03 11:00:00+00:00,0.774481041,0.909131946,0.830001049,0.960374966
2015-01-03 12:00:00+00:00,0.774891904,0.909803737,0.830511279,0.961306546
2015-01-03 13:00:00+00:00,0.774748145,0.908714545,0.831013788,0.960715617
2015-01-03 14:00:00+00:00,0.775156855,0.909811533,0.831508574,0.96105306
2015-01-03 15:00:00+00:00,0.775564488,0.910907674,0.833739121,0.961986327
2015-01-03 16:00:00+00:00,0.775410808,0.909815937,0.834218454,0.961397084
2015-01-03 17:00:00+00:00,0.775256052,0.908723351,0.834690058,0.960808404
2015-01-03 18:00:00+00:00,0.775100219,0.907629917,0.835153929,0.960220287
2015-01-03 19:00:00+00:00,0.774943309,0.906535634,0.835610066,0.959632731
2015-01-03 20:00:00+00:00,0.775345561,0.907627532,0.837801952,0.96056881
2015-01-03 21:00:00+00:00,0.775186498,0.906717028,0.838242613,0.96150545
2015-01-03 22:00:00+00:00,0.77502636,0.9056202,0.838675532,0.960919582
2015-01-03 23:00:00+00:00,0.775425382,0.906709551,0.840844193,0.961857347
2015-01-04 00:00:00+00:00,0.775821875,0.907795502,0.843009445,0.96279401
2015-01-04 01:00:00+00:00,0.776119205,0.908878054,0.843427803,0.96372957
