Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Unnamed: 23
COMC,GAS,0.523159018322,4.61538461538,1.18881118881,0.0358470272923,0.0365773523692,102145.407507,340.063747722,0.0,0.41050479249,0.512153671329,0.874125874126,80.0743411995,0.45,,,,,,
HPHS,WAT,0.865333333333,0.0,0.0,1.01889287513,1.01889287513,0.0,0.0,0.0,0.0,0.843111111111,0.284444444444,2400.0,0.0,,37583.0373231,4263.60465116,371.638842204,110.839555556,0.86
STUR,HRD,0.388409090909,7.78787878788,5.80303030303,0.0164916543424,0.0167346102212,114088.100966,68.2922111227,0.0,0.304903301045,0.387803030303,6.25757575758,23.6146285967,0.95,,,,,,
HDAM,WAT,0.883333333333,0.0,0.0,0.634963266211,0.634963266211,0.0,0.0,0.0,0.0,0.772222222222,0.455555555556,2400.0,0.0,,362364.437035,80868.0,0.0,0.245714285714,0.86
HROR,WAT,1.0,0.0,0.0,1.05002448658,1.13749081658,25.1207488356,0.0,0.0,0.0,0.94696969697,0.306060606061,5600.0,0.0,,111.222222229,,,,
PHOT,SUN,1.0,0.0,0.0,0.548703336062,0.548703336062,0.0,0.0,0.0,0.0,0.9375,0.125,6750.0,0.0,,,,,,
WTON,WIN,1.0,0.0,0.0,0.607120459042,0.607120459042,0.0,0.0,0.0,0.0,0.958333333333,0.0833333333333,675.0,0.0,,,,,,
STUR,BIO,0.407777777778,5.88888888889,4.33333333333,0.0145062893556,0.0145779739111,7796.37570967,449.237261889,0.0,0.389522834333,0.396111111111,2.44444444444,0.413474289111,,,,,,,
STUR,OIL,0.376502325581,7.05882352941,5.35294117647,0.0229633243256,0.0245959694651,29508.5300317,186.160371771,0.0,0.337731435186,0.362627906977,4.39534883721,139.809801288,0.79,,,,,,
STUR,NUC,0.405,24.0,24.0,0.00355227715897,0.00355227715897,200000.0,0.0,0.0,0.9,0.405,64.6153846154,153.030769231,0.0,,,,,,
WTOF,WIN,1.0,0.0,0.0,0.676672110013,0.676672110013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
GTUR,OIL,0.29,0.357142857143,0.428571428571,0.179694044263,0.182289325526,6458.01648195,1146.80350673,0.0,0.176229865105,0.169,0.0,0.571732035737,,,,,,,
ICEN,OIL,0.421,,,0.0579,0.0579,900.0,,0.0,0.8684,0.4063,0.0,0.0,,,,,,,
COMC,OIL,0.4868,6.0,,0.027272727,0.027272727,17500.0,,0.0,0.272727273,0.4793,0.0,0.0,,,,,,,
STUR,LIG,0.370865517241,6.89655172414,6.0,0.0101937928138,0.0131541499517,94449.9618966,0.0,0.0,0.436845596517,0.354817241379,6.44827586207,1.18344827586,,,,,,,
STUR,WST,0.52,4.6675,3.9175,0.516733955625,0.520998661375,593.99633025,11.350031055,0.0,0.339843245,0.2325,0.0,0.0,,,,,,,
GTUR,GAS,0.362,3.1,1.6,0.0620944526,0.0927066974,8652.7279103,1887.3093269,0.0,0.2460938565,0.2559,0.6,0.5910186791,,,,,,,
Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
STUR,GAS,0.338,1.0,1.0,0.0767211054,0.1038545298,31847.0157414,1174.43768662,0.0,0.3178000782,0.312,0.0,0.5059098888,,,,,,,
