,PHOT,WTOF,WTON,HE Grabovica,HE Mostar,HE Mostarsko Blato,HE Jajce 1,HE Jajce 2,HE Pec Mlini,HE Una Kostela,HE Bogatici,HE Novakovici,HE Mesica Nova,HE Bistrica B-5 A,HE Majdan,HE Botun,HE Modrac,HE Mujakovici,HE Jezernica,HE Tresanica T-4,HE Vlasenica,HE Osanica,HE Salakovac,HROR
2014-12-31 23:00:00+00:00,0,0,0,0.266191419,0.760701135,0.356570789,1,0.404755203,0.869194983,0.163798466,0.186109329,0.345958338,0.073990746,0.346249458,0.206318818,0.127331564,0.172354687,0.12590313,0.100652568,0.151779588,0.585851753,0.12083304,0.412810142,0.421238754
2015-01-01 00:00:00+00:00,0,0,0,0.266191419,0.760701135,0.356570789,1,0.404755203,0.869194983,0.163798466,0.186109329,0.345958338,0.073990746,0.346249458,0.206318818,0.127331564,0.172354687,0.12590313,0.100652568,0.151779588,0.585851753,0.12083304,0.412810142,0.421238754
2015-01-01 01:00:00+00:00,0,0,0,0.266191419,0.758905036,0.356619089,1,0.403765551,0.868882241,0.163461881,0.185895356,0.34609826,0.074477874,0.347146805,0.208084844,0.128421483,0.172354687,0.125546201,0.100367222,0.153538455,0.58850375,0.121533231,0.413226281,0.421066495
2015-01-01 02:00:00+00:00,0,0,0,0.266191419,0.757108936,0.35666739,1,0.4027759,0.868569499,0.163125295,0.185681383,0.346238181,0.074965002,0.348044152,0.20985087,0.129511403,0.172354687,0.125189271,0.100081876,0.155297322,0.591155746,0.122233421,0.413642421,0.420894236
2015-01-01 03:00:00+00:00,0,0,0,0.266191419,0.755312836,0.35671569,1,0.401786248,0.868256757,0.16278871,0.18546741,0.346378102,0.07545213,0.348941499,0.211616896,0.130601322,0.172354687,0.124832341,0.099796531,0.157056189,0.593807743,0.122933611,0.41405856,0.420721978
2015-01-01 04:00:00+00:00,0,0,0,0.266191419,0.753516736,0.35676399,1,0.400796596,0.867944015,0.162452125,0.185253437,0.346518024,0.075939259,0.349838846,0.213382921,0.131691241,0.172354687,0.124475411,0.099511185,0.158815056,0.59645974,0.123633802,0.414474699,0.42054972
2015-01-01 05:00:00+00:00,0,0,0,0.266191419,0.751720636,0.356812291,1,0.399806945,0.867631273,0.162115539,0.185039464,0.346657945,0.076426387,0.350736193,0.215148947,0.13278116,0.172354687,0.124118481,0.099225839,0.160573923,0.599111736,0.124333992,0.414890838,0.420377463
2015-01-01 06:00:00+00:00,0,0,0,0.266191419,0.749924536,0.356860591,1,0.398817293,0.86731853,0.161778954,0.184825491,0.346797866,0.076913515,0.35163354,0.216914973,0.133871079,0.172354687,0.123761551,0.098940494,0.16233279,0.601763733,0.125034182,0.415306978,0.420205206
2015-01-01 07:00:00+00:00,0,0,0,0.266191419,0.748128437,0.356908892,1,0.397827641,0.867005788,0.161442369,0.184611518,0.346937787,0.077400643,0.352530887,0.218680999,0.134960998,0.172354687,0.123404621,0.098655148,0.164091657,0.604415729,0.125734373,0.415723117,0.42003295
2015-01-01 08:00:00+00:00,0,0,0,0.266191419,0.746332337,0.356957192,1,0.39683799,0.866693046,0.161105783,0.184397545,0.347077709,0.077887772,0.353428234,0.220447025,0.136050917,0.172354687,0.123047691,0.098369802,0.165850524,0.607067726,0.126434563,0.416139256,0.419860694
