,PHOT,WTOF,WTON,HE Grabovica,HE Mostar,HE Mostarsko Blato,HE Jajce 1,HE Jajce 2,HE Pec Mlini,HE Una Kostela,HE Bogatici,HE Novakovici,HE Mesica Nova,HE Bistrica B-5 A,HE Majdan,HE Botun,HE Modrac,HE Mujakovici,HE Jezernica,HE Tresanica T-4,HE Vlasenica,HE Osanica,HROR
2009-12-31 23:00:00+00:00,0,0,0,1,1,0.183361738,1,0.820970085,1,1,1,1,1,1,1,1,1,1,1,1,1,0.619780782,0.8661118
2010-01-01 00:00:00+00:00,0,0,0,1,1,0.183361738,1,0.820970085,1,1,1,1,1,1,1,1,1,1,1,1,1,0.619780782,0.8661118
2010-01-01 01:00:00+00:00,0,0,0,1,1,0.183571056,1,0.827286759,1,1,1,1,1,1,1,1,1,1,1,1,1,0.621805281,0.866611
2010-01-01 02:00:00+00:00,0,0,0,1,1,0.183780374,1,0.833603433,1,1,1,1,1,1,1,1,1,1,1,1,1,0.62382978,0.8671102
2010-01-01 03:00:00+00:00,0,0,0,1,1,0.183989692,1,0.839920107,1,1,1,1,1,1,1,1,1,1,1,1,1,0.625854279,0.8676094
2010-01-01 04:00:00+00:00,0,0,0,1,1,0.184199011,1,0.846236782,1,1,1,1,1,1,1,1,1,1,1,1,1,0.627878777,0.8681086
2010-01-01 05:00:00+00:00,0,0,0,1,1,0.184408329,1,0.852553456,1,1,1,1,1,1,1,1,1,1,1,1,1,0.629903276,0.8686079
2010-01-01 06:00:00+00:00,0,0,0,1,1,0.184617647,1,0.85887013,1,1,1,1,1,1,1,1,1,1,1,1,1,0.631927775,0.8691071
2010-01-01 07:00:00+00:00,0,0,0,1,1,0.184826966,1,0.865186804,1,1,1,1,1,1,1,1,1,1,1,1,1,0.633952274,0.8696063
2010-01-01 08:00:00+00:00,0,0,0,1,1,0.185036284,1,0.871503479,1,1,1,1,1,1,1,1,1,1,1,1,1,0.635976773,0.8701055
2010-01-01 09:00:00+00:00,0,0,0,1,1,0.185245602,1,0.877820153,1,1,1,1,1,1,1,1,1,1,1,1,1,0.638001272,0.8706047
2010-01-01 10:00:00+00:00,0,0,0,1,1,0.18545492,1,0.884136827,1,1,1,1,1,1,1,1,1,1,1,1,1,0.64002577,0.8711039
2010-01-01 11:00:00+00:00,0,0,0,1,1,0.185664239,1,0.890453501,1,1,1,1,1,1,1,1,1,1,1,1,1,0.642050269,0.8716031
2010-01-01 12:00:00+00:00,0,0,0,1,1,0.185873557,1,0.896770176,1,1,1,1,1,1,1,1,1,1,1,1,1,0.644074768,0.8721023
2010-01-01 13:00:00+00:00,0,0,0,1,1,0.186082875,1,0.90308685,1,1,1,1,1,1,1,1,1,1,1,1,1,0.646099267,0.8726015
2010-01-01 14:00:00+00:00,0,0,0,1,1,0.186292193,1,0.909403524,1,1,1,1,1,1,1,1,1,1,1,1,1,0.648123766,0.8731007
2010-01-01 15:00:00+00:00,0,0,0,1,1,0.186501512,1,0.915720199,1,1,1,1,1,1,1,1,1,1,1,1,1,0.650148265,0.8735999
2010-01-01 16:00:00+00:00,0,0,0,1,1,0.18671083,1,0.922036873,1,1,1,1,1,1,1,1,1,1,1,1,1,0.652172764,0.8740991
2010-01-01 17:00:00+00:00,0,0,0,1,1,0.186920148,1,0.928353547,1,1,1,1,1,1,1,1,1,1,1,1,1,0.654197262,0.8745983
2010-01-01 18:00:00+00:00,0,0,0,1,1,0.187129467,1,0.934670221,1,1,1,1,1,1,1,1,1,1,1,1,1,0.656221761,0.8750975
2010-01-01 19:00:00+00:00,0,0,0,1,1,0.187338785,1,0.940986896,1,1,1,1,1,1,1,1,1,1,1,1,1,0.65824626,0.8755967
2010-01-01 20:00:00+00:00,0,0,0,1,1,0.187548103,1,0.94730357,1,1,1,1,1,1,1,1,1,1,1,1,1,0.660270759,0.8760959
2010-01-01 21:00:00+00:00,0,0,0,1,1,0.187757421,1,0.953620244,1,1,1,1,1,1,1,1,1,1,1,1,1,0.662295258,0.8765952
2010-01-01 22:00:00+00:00,0,0,0,1,1,0.18796674,1,0.959936918,1,1,1,1,1,1,1,1,1,1,1,1,1,0.664319757,0.8770944
2010-01-01 23:00:00+00:00,0,0,0,1,1,0.188176058,1,0.966253593,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666344256,0.8775936
2010-01-02 00:00:00+00:00,0,0,0,1,1,0.188163807,1,0.965086937,1,1,1,1,1,1,1,1,1,1,1,1,1,0.665770226,0.8775047
2010-01-02 01:00:00+00:00,0,0,0,1,1,0.188151557,1,0.963920281,1,1,1,1,1,1,1,1,1,1,1,1,1,0.665196197,0.8774158
2010-01-02 02:00:00+00:00,0,0,0,1,1,0.188139306,1,0.962753626,1,1,1,1,1,1,1,1,1,1,1,1,1,0.664622167,0.877327
2010-01-02 03:00:00+00:00,0,0,0,1,1,0.188127055,1,0.96158697,1,1,1,1,1,1,1,1,1,1,1,1,1,0.664048138,0.8772381
2010-01-02 04:00:00+00:00,0,0,0,1,1,0.188114805,1,0.960420314,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663474108,0.8771493
2010-01-02 05:00:00+00:00,0,0,0,1,1,0.188102554,1,0.959253659,1,1,1,1,1,1,1,1,1,1,1,1,1,0.662900079,0.8770604
2010-01-02 06:00:00+00:00,0,0,0,1,1,0.188090304,1,0.958087003,1,1,1,1,1,1,1,1,1,1,1,1,1,0.662326049,0.8769716
