,CZ_P2HT_OTH,CZ_STUR_BIO_CHP,CZ_COMC_GAS_CHP,CZ_GTUR_GAS_CHP
2016-01-01 00:00:00,6554.89860404102,3669.7095457657083,351.02349643969467,263.19220188792707
2016-01-01 01:00:00,6707.798122902103,3755.3091648904933,359.2114680555296,269.33142134310583
2016-01-01 02:00:00,7138.162153262843,3996.2451557836835,382.25803151968057,286.611392187228
2016-01-01 03:00:00,7971.624915166436,4462.852869824033,426.8910656073964,320.07657795863963
2016-01-01 04:00:00,10388.078849614314,5815.686011236725,556.29537226325,417.1020043132135
2016-01-01 05:00:00,12289.165175033924,6879.994562312726,658.1010613048904,493.4343972594225
2016-01-01 06:00:00,11882.8587612772,6652.52704296015,636.3428150530212,477.12038751838793
2016-01-01 07:00:00,11951.823928875383,6691.136661376574,640.0359910615622,479.88947601390566
2016-01-01 08:00:00,11473.879279008921,6423.563026769727,614.4414224442319,460.6990487658992
2016-01-01 09:00:00,10993.261560630905,6154.4928953250355,588.7037074699814,441.40129250643866
2016-01-01 10:00:00,10582.67823725569,5924.630981031905,566.7164270470398,424.91555634707737
2016-01-01 11:00:00,10328.73672865774,5782.463781436546,553.1175231396217,414.71930025893084
2016-01-01 12:00:00,10153.918048001884,5684.592888241425,543.7557513970411,407.69998290982784
2016-01-01 13:00:00,10273.136903617344,5751.33664720935,550.1400789156817,412.48685682068395
2016-01-01 14:00:00,10391.821145530494,5817.78110680971,556.4957771629383,417.2522649292494
2016-01-01 15:00:00,10738.25082462833,6011.7270969945375,575.047545019795,431.1621048137104
2016-01-01 16:00:00,10929.107916353525,6118.576971216734,585.2681949038968,438.82539623153843
2016-01-01 17:00:00,10879.38884203856,6090.742130032801,582.6056726651811,436.8290766184908
2016-01-01 18:00:00,10724.885482070542,6004.244612805307,574.3318132351941,430.6254597564395
2016-01-01 19:00:00,10305.748339458343,5769.593908631071,551.886464470108,413.79627076042493
2016-01-01 20:00:00,9325.801423121407,5220.978167876766,499.40901002316565,374.4494551613245
2016-01-01 21:00:00,7747.621773897928,4337.4464348125475,414.89540089748436,311.0824067987798
2016-01-01 22:00:00,6613.706111295283,3702.6324761983183,354.1727162919389,265.5534401399189
2016-01-01 23:00:00,6659.14827599176,3728.072922441699,356.60620435958225,267.3780333346399
2016-01-02 00:00:00,6810.4439537459075,3812.774643463776,364.708288161265,273.45285538294615
2016-01-02 01:00:00,6970.828064439351,3902.5644537345297,373.29706957647653,279.8925960701966
2016-01-02 02:00:00,7427.388166213352,4158.16611363861,397.74646733844537,298.2243912265697
2016-01-02 03:00:00,8291.858522851011,4642.133190997973,444.03999916643545,332.9345935308498
2016-01-02 04:00:00,10808.285219631132,6050.9353141461,578.7979795711041,433.97412491380976
2016-01-02 05:00:00,12785.286690778976,7157.744375416924,684.669025149278,513.3546617853173
2016-01-02 06:00:00,12369.891844082958,6925.188766815673,662.4240812838804,496.67573340533863
2016-01-02 07:00:00,12427.630123932599,6957.5130985131445,665.5160425933565,498.9940400527488
2016-01-02 08:00:00,11927.766312271366,6677.668189835961,638.7476738492805,478.92351491081814
2016-01-02 09:00:00,11435.921706144807,6402.312771672316,612.4087441759651,459.17497680324993
2016-01-02 10:00:00,11006.092289486378,6161.676080146695,589.3908099831982,441.9164717614186
2016-01-02 11:00:00,10748.408484972248,6017.413784978351,575.5915011760918,431.56995505723626
2016-01-02 12:00:00,10563.966757674789,5914.155503166985,565.7144025485985,424.1642532668982
2016-01-02 13:00:00,10686.927909206428,5982.994357707896,572.2991349669275,429.10138779379025
2016-01-02 14:00:00,10810.95828814269,6052.431810983945,578.9411259280243,434.08145392526393
2016-01-02 15:00:00,11162.19949056133,6249.071495476896,597.7505572273375,448.18448603034244
2016-01-02 16:00:00,11370.164220760496,6365.498949461307,608.8873437957285,456.5346831214773
2016-01-02 17:00:00,11318.841305338594,6336.766210174666,606.1389337428608,454.47396610155715
2016-01-02 18:00:00,11158.991808347462,6247.275699271481,597.5787815990333,448.0556912165975
2016-01-02 19:00:00,10722.212413558986,6002.748115967462,574.1886668782739,430.51813074498534
2016-01-02 20:00:00,9698.961787334818,5429.889126440052,519.3922414492245,389.4325851603273
2016-01-02 21:00:00,8061.440017154764,4513.135163575656,431.7007831999149,323.6828327434999
