,CZ_P2HT_OTH,CZ_STUR_BIO_CHP,CZ_COMC_GAS_CHP,CZ_COMC_CCS_GAS_CHP,CZ_GTUR_GAS_CHP
2016-01-01 00:00:00,6554.89860404102,3657.3937364412723,233.41073763438752,96.66610175160798,296.4546682660631
2016-01-01 01:00:00,6707.798122902103,3742.70607708414,238.85527486327868,98.92093456303934,303.36976777867164
2016-01-01 02:00:00,7138.162153262843,3982.8334694530517,254.17993384669623,105.2675793644458,322.8335968263987
2016-01-01 03:00:00,7971.624915166436,4447.875214425888,283.85837279719044,117.55878339598945,360.5281427710029
2016-01-01 04:00:00,10388.078849614314,5796.168150460025,369.9049052258204,153.19460265357597,469.8157294737682
2016-01-01 05:00:00,12289.165175033924,6856.904805446172,437.59992056126464,181.2302162110931,555.7950786585101
2016-01-01 06:00:00,11882.8587612772,6630.200683458132,423.1319195334419,175.23835279610068,537.4192897438858
2016-01-01 07:00:00,11951.823928875383,6668.680725216628,425.58767233948026,176.25539277048756,540.5383381254471
2016-01-01 08:00:00,11473.879279008921,6402.005086983328,408.56873428833086,169.20706922706225,518.922607481139
2016-01-01 09:00:00,10993.261560630905,6133.837974263264,391.4546120198932,162.11932552959098,497.18598348870853
2016-01-01 10:00:00,10582.67823725569,5904.747493096402,376.83431624440914,156.06438986812495,478.6167652170882
2016-01-01 11:00:00,10328.73672865774,5763.057416853877,367.79181560202,152.3194752337547,467.1318971454481
2016-01-01 12:00:00,10153.918048001884,5665.514985419549,361.56676779136467,149.74139715914612,459.2254721782348
2016-01-01 13:00:00,10273.136903617344,5732.0347475291965,365.81198388242314,151.4995360295978,464.61731550449946
2016-01-01 14:00:00,10391.821145530494,5798.256214741495,370.0381631300241,153.24979086924037,469.98498016113984
2016-01-01 15:00:00,10738.25082462833,5991.551308226033,382.3740376905887,158.35864283360232,485.6527580778194
2016-01-01 16:00:00,10929.107916353525,6098.042586580941,389.1701908049738,161.1732418324869,494.28454313376784
2016-01-01 17:00:00,10879.38884203856,6070.301161127142,387.3997643634113,160.44002696723126,492.0359268586888
2016-01-01 18:00:00,10724.885482070542,5984.093935792216,381.8981166041471,158.16154206337228,485.0482913372067
2016-01-01 19:00:00,10305.748339458343,5750.230736267711,366.97323133334055,151.98046190895906,466.09221435159435
2016-01-01 20:00:00,9325.801423121407,5203.45618942024,332.07869727544704,137.52903343569446,421.7727129298756
2016-01-01 21:00:00,7747.621773897928,4322.889652435113,275.8819353884303,114.25537448693441,350.39728019833507
2016-01-01 22:00:00,6613.706111295283,3690.206175150068,235.5047904147303,97.53334514062004,299.1143219247587
2016-01-01 23:00:00,6659.14827599176,3715.5612414250463,237.12292210863154,98.20348775940211,301.1695088428417
2016-01-02 00:00:00,6810.4439537459075,3799.9786973758555,242.5103488071497,100.43466847840584,308.01207234657676
2016-01-02 01:00:00,6970.828064439351,3889.467166581661,248.22140184444814,102.799877721166,315.2656732339284
2016-01-02 02:00:00,7427.388166213352,4144.2110089208545,264.4788661572911,109.5328400322233,335.91425709325625
2016-01-02 03:00:00,8291.858522851011,4626.553857940146,295.2614420283297,122.28131785070059,375.0111658760818
2016-01-02 04:00:00,10808.285219631132,6030.627939779235,384.86786418354234,159.39145086960758,488.82016379862955
2016-01-02 05:00:00,12785.286690778976,7133.722470189464,455.2661112899745,188.54659680203122,578.2328840700512
2016-01-02 06:00:00,12369.891844082958,6901.947334946429,440.4744839233716,182.42070486328242,559.4460577718105
2016-01-02 07:00:00,12427.630123932599,6934.163183860518,442.530463016799,183.27218019067607,562.057354091257
2016-01-02 08:00:00,11927.766312271366,6655.257454835758,424.7310143838855,175.90061138407356,539.4502979923443
2016-01-02 09:00:00,11435.921706144807,6380.826149271287,407.2171184028369,168.64730303960903,517.2059219377992
2016-01-02 10:00:00,11006.092289486378,6140.997051799727,391.91149626287705,162.30854226901178,497.7662715596966
2016-01-02 11:00:00,10748.408484972248,5997.218911275734,382.73573771628423,158.5084394189771,486.11215280068495
2016-01-02 12:00:00,10563.966757674789,5894.307171689058,376.16802672339105,155.78844878980294,477.77051178023055
2016-01-02 13:00:00,10686.927909206428,5962.914998080176,380.5465007186532,157.60177587591906,483.33160579386686
2016-01-02 14:00:00,10810.95828814269,6032.119414265998,384.96304840083064,159.4308710236536,488.94105714675214
2016-01-02 15:00:00,11162.19949056133,6228.099161826713,397.47025455251423,164.61067926529836,504.8264430900523
2016-01-02 16:00:00,11370.164220760496,6344.135876896908,404.8755866575446,167.67756725007737,514.231945573985
2016-01-02 17:00:00,11318.841305338594,6315.499566751049,403.04804968560904,166.92070029239412,511.9107932900325
2016-01-02 18:00:00,11158.991808347462,6226.309392442597,397.3560334917683,164.56337508044317,504.6813710723053
2016-01-02 19:00:00,10722.212413558986,5982.602461305452,381.80293238685886,158.1221219093263,484.9273979890842
2016-01-02 20:00:00,9698.961787334818,5411.666027772413,345.3664140088947,143.03208694051642,438.6494243277805
2016-01-02 21:00:00,8061.440017154764,4497.988757181139,287.0565624980776,118.88330057193515,364.5901592679199
2016-01-02 22:00:00,6878.874507641775,3838.160444236999,244.94706476973036,101.4438244219835,311.1069420585134
2016-01-02 23:00:00,6973.501132950907,3890.958641068424,248.31658606173644,102.83929787521201,315.38656658205093
2016-01-03 00:00:00,7133.885243644351,3980.4471102742305,254.02763909903493,105.2045071179722,322.6401674694027
2016-01-03 01:00:00,7299.080877658598,4072.6202335562107,259.91002372745237,107.64067263801518,330.11137638337493
2016-01-03 02:00:00,7762.056343860337,4330.943614663635,276.3959301617872,114.46824331878284,351.0501042781967
2016-01-03 03:00:00,8656.465067827437,4829.990977934677,308.24456926645485,127.65822686257535,391.5010185599946
2016-01-03 04:00:00,11274.468368046739,6290.741090270776,401.46799167862315,166.26632573523045,509.90396371119846
2016-01-03 05:00:00,13383.519423665519,7467.51446032712,476.5683391190978,197.36882727752666,605.2888153798731
2016-01-03 06:00:00,12923.217025975338,7210.682553706458,460.1776169020512,190.580676750805,584.4709808331738
2016-01-03 07:00:00,12975.60916880186,7239.9154536470205,462.043227560902,191.35331177010661,586.8404904563753
2016-01-03 08:00:00,12451.153126834302,6947.288159344037,443.3680841289361,183.6190775462809,563.1212155547353
2016-01-03 09:00:00,11932.043221889857,6657.643814014578,424.88330913154675,175.96368363054714,539.6437273493403
2016-01-03 10:00:00,11485.106166757465,6408.269279827735,408.9685080009418,169.3726338740555,519.4303595432538
2016-01-03 11:00:00,11204.968586746249,6251.962753614927,398.99320202912713,165.2414017300344,506.76073666001275
2016-01-03 12:00:00,11013.57688131874,6145.173180362666,392.17801207128434,162.4189187003406,498.1047729344397
2016-01-03 13:00:00,11136.003419148068,6213.48271185643,396.5374492230888,164.22436175564752,503.64168827845145
2016-01-03 14:00:00,11273.39914064212,6290.144500476072,401.42991799170784,166.2505576736121,509.85560637194953
2016-01-03 15:00:00,11649.767187069398,6500.144108212361,414.8318557859015,171.80091536328925,526.8773897876014
