,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
FR_STUR_GEO,FR_STUR_GEO,37.0,2.0,FR,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
FR_STUR_LIG,FR_STUR_LIG,600.0,1.0,FR,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,,
FR_STUR_NUC,FR_STUR_NUC,978.7777777777778,18.0,FR,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,,
FR_COMC_GAS,FR_COMC_GAS,418.7511961722488,209.0,FR,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
FR_STUR_OIL,FR_STUR_OIL,324.1666666666667,6.0,FR,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,,
FR_HDAM_WAT,FR_HDAM_WAT,12639.0,1,FR,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,2845905.0,0.0,0.0,0.9,
FR_HPHS_WAT,FR_HPHS_WAT,9704.0,1,FR,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,48520.0,0.0,9704.0,0.9,
FR_HROR_WAT,FR_HROR_WAT,16603.0,1,FR,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
FR_WTON_WIN,FR_WTON_WIN,310005.0,1,FR,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
FR_PHOT_SUN,FR_PHOT_SUN,154564.0,1,FR,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
FR_BATS_OTH,FR_BATS_OTH,9269444.444444444,1,FR,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,37077777.777777776,0.0,0.0,0.9,
FR_BEVS_OTH,FR_BEVS_OTH,397405.0,1,FR,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,1629360.4999999998,0.0,397405.0,0.88,
FR_STUR_BIO_CHP,FR_STUR_BIO_CHP,174.625,24.0,FR,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4656.666666666666,0.03,,,
FR_COMC_GAS_CHP,FR_COMC_GAS_CHP,395.8,5.0,FR,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4999.578947368422,0.03,,,
