,[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2014/12/31 23:00,0.531112037,0.310764676,0,0,0,0,0,0,0,0.334543184,0.761675133,0.495020304,0.894154202,0.571802993,0.415269913,0.310534498,0.78242356,0.411671544,1,0.465280268,0.73547356
2015/01/01 00:00,0.550649035,0.310794028,0,0,0,0,0,0,0,0.334766638,0.771605336,0.495281213,0.884924367,0.57180885,0.415292323,0.310581736,0.781822598,0.411811695,0.96875,0.465526963,0.735492116
2015/01/01 01:00,0.570186034,0.310823381,0,0,0,0,0,0,0,0.334990093,0.781535539,0.495542123,0.875694532,0.571814707,0.415314733,0.310628975,0.781221636,0.411951845,0.9375,0.465773659,0.735510672
2015/01/01 02:00,0.589723032,0.310852734,0,0,0,0,0,0,0,0.335213548,0.791465742,0.495803033,0.866464697,0.571820564,0.415337142,0.310676213,0.780620674,0.412091996,0.90625,0.466020354,0.735529228
2015/01/01 03:00,0.609260031,0.310882087,0,0,0,0,0,0,0,0.335437002,0.801395944,0.496063942,0.857234862,0.571826421,0.415359552,0.310723452,0.780019712,0.412232146,0.875,0.46626705,0.735547784
2015/01/01 04:00,0.628797029,0.31091144,0,0,0,0,0,0,0,0.335660457,0.811326147,0.496324852,0.848005027,0.571832278,0.415381962,0.310770691,0.77941875,0.412372297,0.84375,0.466513745,0.735566339
2015/01/01 05:00,0.648334028,0.310940793,0,0,0,0,0,0,0,0.335883912,0.82125635,0.496585762,0.838775193,0.571838135,0.415404371,0.310817929,0.778817788,0.412512447,0.8125,0.466760441,0.735584895
2015/01/01 06:00,0.667871026,0.310970146,0,0,0,0,0,0,0,0.336107366,0.831186553,0.496846671,0.829545358,0.571843991,0.415426781,0.310865168,0.778216826,0.412652598,0.78125,0.467007137,0.735603451
2015/01/01 07:00,0.687408025,0.310999498,0,0,0,0,0,0,0,0.336330821,0.841116756,0.497107581,0.820315523,0.571849848,0.415449191,0.310912406,0.777615864,0.412792748,0.75,0.467253832,0.735622007
2015/01/01 08:00,0.706945023,0.311028851,0,0,0,0,0,0,0,0.336554276,0.851046958,0.497368491,0.811085688,0.571855705,0.4154716,0.310959645,0.777014902,0.412932899,0.71875,0.467500528,0.735640563
2015/01/01 09:00,0.726482021,0.311058204,0,0,0,0,0,0,0,0.33677773,0.860977161,0.4976294,0.801855853,0.571861562,0.41549401,0.311006883,0.77641394,0.413073049,0.6875,0.467747223,0.735659119
2015/01/01 10:00,0.74601902,0.311087557,0,0,0,0,0,0,0,0.337001185,0.870907364,0.49789031,0.792626018,0.571867419,0.41551642,0.311054122,0.775812978,0.4132132,0.65625,0.467993919,0.735677674
2015/01/01 11:00,0.765556018,0.31111691,0,0,0,0,0,0,0,0.33722464,0.880837567,0.49815122,0.783396183,0.571873276,0.41553883,0.311101361,0.775212016,0.41335335,0.625,0.468240614,0.73569623
2015/01/01 12:00,0.785093017,0.311146263,0,0,0,0,0,0,0,0.337448094,0.890767769,0.498412129,0.774166348,0.571879133,0.415561239,0.311148599,0.774611054,0.413493501,0.59375,0.46848731,0.735714786
2015/01/01 13:00,0.804630015,0.311175616,0,0,0,0,0,0,0,0.337671549,0.900697972,0.498673039,0.764936514,0.57188499,0.415583649,0.311195838,0.774010092,0.413633651,0.5625,0.468734006,0.735733342
2015/01/01 14:00,0.824167014,0.311204969,0,0,0,0,0,0,0,0.337895004,0.910628175,0.498933949,0.755706679,0.571890846,0.415606059,0.311243076,0.773409131,0.413773802,0.53125,0.468980701,0.735751898
2015/01/01 15:00,0.843704012,0.311234321,0,0,0,0,0,0,0,0.338118458,0.920558378,0.499194858,0.746476844,0.571896703,0.415628468,0.311290315,0.772808169,0.413913952,0.5,0.469227397,0.735770453
2015/01/01 16:00,0.863241011,0.311263674,0,0,0,0,0,0,0,0.338341913,0.93048858,0.499455768,0.737247009,0.57190256,0.415650878,0.311337553,0.772207207,0.414054103,0.46875,0.469474092,0.735789009
2015/01/01 17:00,0.882778009,0.311293027,0,0,0,0,0,0,0,0.338565368,0.940418783,0.499716678,0.728017174,0.571908417,0.415673288,0.311384792,0.771606245,0.414194253,0.4375,0.469720788,0.735807565
2015/01/01 18:00,0.902315008,0.31132238,0,0,0,0,0,0,0,0.338788822,0.950348986,0.499977587,0.718787339,0.571914274,0.415695697,0.311432031,0.771005283,0.414334404,0.40625,0.469967483,0.735826121
2015/01/01 19:00,0.921852006,0.311351733,0,0,0,0,0,0,0,0.339012277,0.960279189,0.500238497,0.709557504,0.571920131,0.415718107,0.311479269,0.770404321,0.414474554,0.375,0.470214179,0.735844677
2015/01/01 20:00,0.941389005,0.311381086,0,0,0,0,0,0,0,0.339235732,0.970209391,0.500499407,0.700327669,0.571925988,0.415740517,0.311526508,0.769803359,0.414614705,0.34375,0.470460874,0.735863233
2015/01/01 21:00,0.960926003,0.311410439,0,0,0,0,0,0,0,0.339459186,0.980139594,0.500760316,0.691097835,0.571931845,0.415762927,0.311573746,0.769202397,0.414754855,0.3125,0.47070757,0.735881788
2015/01/01 22:00,0.980463002,0.311439792,0,0,0,0,0,0,0,0.339682641,0.990069797,0.501021226,0.681868,0.571937701,0.415785336,0.311620985,0.768601435,0.414895006,0.28125,0.470954266,0.735900344
2015/01/01 23:00,1,0.311469144,0,0,0,0,0,0,0,0.339906096,1,0.501282136,0.672638165,0.571943558,0.415807746,0.311668223,0.768000473,0.415035156,0.25,0.471200961,0.7359189
2015/01/02 00:00,0.968595375,0.310989244,0,0,0,0,0,0,0,0.338515744,1,0.501521233,0.663333859,0.571949485,0.415829939,0.308973381,0.768357391,0.415168274,0.250102015,0.463184088,0.735936662
2015/01/02 01:00,0.93719075,0.310509344,0,0,0,0,0,0,0,0.337125392,1,0.50176033,0.654029554,0.571955412,0.415852133,0.306278538,0.768714309,0.415301392,0.25020403,0.455167214,0.735954423
2015/01/02 02:00,0.905786125,0.310029445,0,0,0,0,0,0,0,0.33573504,1,0.501999427,0.644725248,0.571961339,0.415874326,0.303583695,0.769071227,0.41543451,0.250306045,0.447150341,0.735972185
2015/01/02 03:00,0.8743815,0.309549545,0,0,0,0,0,0,0,0.334344688,1,0.502238524,0.635420943,0.571967267,0.415896519,0.300888853,0.769428146,0.415567628,0.25040806,0.439133468,0.735989947
2015/01/02 04:00,0.842976875,0.309069645,0,0,0,0,0,0,0,0.332954336,1,0.502477621,0.626116637,0.571973194,0.415918713,0.29819401,0.769785064,0.415700746,0.250510075,0.431116594,0.736007709
2015/01/02 05:00,0.81157225,0.308589745,0,0,0,0,0,0,0,0.331563984,1,0.502716718,0.616812331,0.571979121,0.415940906,0.295499168,0.770141982,0.415833864,0.25061209,0.423099721,0.73602547
2015/01/02 06:00,0.780167625,0.308109845,0,0,0,0,0,0,0,0.330173632,1,0.502955815,0.607508026,0.571985048,0.4159631,0.292804325,0.7704989,0.415966982,0.250714105,0.415082847,0.736043232
2015/01/02 07:00,0.748763,0.307629945,0,0,0,0,0,0,0,0.32878328,1,0.503194912,0.59820372,0.571990975,0.415985293,0.290109482,0.770855818,0.4161001,0.25081612,0.407065974,0.736060994
2015/01/02 08:00,0.717358375,0.307150045,0,0,0,0,0,0,0,0.327392928,1,0.503434009,0.588899415,0.571996902,0.416007486,0.28741464,0.771212737,0.416233218,0.250918135,0.399049101,0.736078756
2015/01/02 09:00,0.68595375,0.306670145,0,0,0,0,0,0,0,0.326002576,1,0.503673106,0.579595109,0.572002829,0.41602968,0.284719797,0.771569655,0.416366336,0.25102015,0.391032227,0.736096517
2015/01/02 10:00,0.654549125,0.306190245,0,0,0,0,0,0,0,0.324612224,1,0.503912203,0.570290803,0.572008756,0.416051873,0.282024954,0.771926573,0.416499454,0.251122165,0.383015354,0.736114279
2015/01/02 11:00,0.6231445,0.305710345,0,0,0,0,0,0,0,0.323221872,1,0.5041513,0.560986498,0.572014683,0.416074066,0.279330112,0.772283491,0.416632572,0.25122418,0.374998481,0.736132041
2015/01/02 12:00,0.591739875,0.305230445,0,0,0,0,0,0,0,0.32183152,1,0.504390397,0.551682192,0.57202061,0.41609626,0.276635269,0.772640409,0.41676569,0.251326195,0.366981607,0.736149803
2015/01/02 13:00,0.56033525,0.304750545,0,0,0,0,0,0,0,0.320441168,1,0.504629494,0.542377887,0.572026537,0.416118453,0.273940426,0.772997328,0.416898808,0.25142821,0.358964734,0.736167564
2015/01/02 14:00,0.528930625,0.304270645,0,0,0,0,0,0,0,0.319050816,1,0.504868591,0.533073581,0.572032464,0.416140647,0.271245584,0.773354246,0.417031926,0.251530225,0.35094786,0.736185326
2015/01/02 15:00,0.497526,0.303790745,0,0,0,0,0,0,0,0.317660464,1,0.505107688,0.523769276,0.572038391,0.41616284,0.268550741,0.773711164,0.417165044,0.25163224,0.342930987,0.736203088
2015/01/02 16:00,0.466121375,0.303310845,0,0,0,0,0,0,0,0.316270112,1,0.505346786,0.51446497,0.572044318,0.416185033,0.265855899,0.774068082,0.417298162,0.251734255,0.334914114,0.73622085
2015/01/02 17:00,0.43471675,0.302830945,0,0,0,0,0,0,0,0.31487976,1,0.505585883,0.505160664,0.572050245,0.416207227,0.263161056,0.774425001,0.41743128,0.25183627,0.32689724,0.736238611
2015/01/02 18:00,0.403312125,0.302351045,0,0,0,0,0,0,0,0.313489408,1,0.50582498,0.495856359,0.572056172,0.41622942,0.260466213,0.774781919,0.417564398,0.251938285,0.318880367,0.736256373
