,BE_P2HT_OTH,BE_STUR_BIO_CHP,BE_COMC_GAS_CHP,BE_COMC_CCS_GAS_CHP
2016-01-01 00:00:00,7107.397485741409,699.6556433190606,8.299669724893558,8.788256434866401
2016-01-01 01:00:00,7285.6104613311345,717.1990147618676,8.507778085380302,9.008615762263684
2016-01-01 02:00:00,7869.973008450042,774.7239463076645,9.190167968655354,9.731176717284892
2016-01-01 03:00:00,9018.45662891717,887.7812289390877,10.531310736236591,11.151270160511817
2016-01-01 04:00:00,11961.830934397873,1177.5284180278195,13.968438694991733,14.790735693747415
2016-01-01 05:00:00,14105.667025936513,1388.5686789398096,16.471905194476715,17.441576787771012
2016-01-01 06:00:00,13785.323701913498,1357.033927309282,16.09782399340424,17.045474095560586
2016-01-01 07:00:00,13608.870854477744,1339.6638237325772,15.891771024132185,16.827291156582046
2016-01-01 08:00:00,13039.469396667604,1283.6116690486454,15.226851966181945,16.12322950312011
2016-01-01 09:00:00,12417.264094238286,1222.3614783816597,14.500271171791189,15.353876197096023
2016-01-01 10:00:00,11855.783213121023,1167.089029095186,13.844601374307027,14.659608291518415
2016-01-01 11:00:00,11532.359664828555,1135.2510586989808,13.466923238608862,14.2596969195752
2016-01-01 12:00:00,11564.92203567705,1138.4565142218642,13.504947976080516,14.299960105321865
2016-01-01 13:00:00,11683.290654031707,1150.10877821721,13.643173035268006,14.446322226482035
2016-01-01 14:00:00,11943.349588781159,1175.709105433751,13.946857087237554,14.767883615350662
2016-01-01 15:00:00,12417.264094238286,1222.3614783816597,14.500271171791189,15.353876197096023
2016-01-01 16:00:00,12679.083157141711,1248.135073464302,14.806010614975417,15.677613974383386
2016-01-01 17:00:00,12690.08395810404,1249.2179976274383,14.81885681006719,15.691216402000503
2016-01-01 18:00:00,12526.832071823079,1233.1474030464965,14.62821927490526,15.4893563761625
2016-01-01 19:00:00,12118.482340101433,1192.9492581108796,14.151368513098598,14.984434263015148
2016-01-01 20:00:00,10980.559488558141,1080.9315826760671,12.822558092805464,13.577399150300655
2016-01-01 21:00:00,8688.8726320858,855.336821011526,10.146438731287034,10.743741429103018
2016-01-01 22:00:00,7200.684277901957,708.8388402224558,8.408605459271804,8.903605021059546
2016-01-01 23:00:00,8152.91360920114,802.5767557835286,9.520572106415791,10.081031155597122
2016-01-02 00:00:00,8463.576228377306,833.1585341504958,9.883348655807495,10.465163711504479
2016-01-02 01:00:00,8687.992568008814,855.250187078475,10.145411035679691,10.742653234893648
