,BE_P2HT_OTH,BE_STUR_BIO_CHP,BE_COMC_GAS_CHP
2016-01-01 00:00:00,7107.397485741409,699.6556433190606,17.08792615975996
2016-01-01 01:00:00,7285.6104613311345,717.1990147618676,17.516393847643986
2016-01-01 02:00:00,7869.973008450042,774.7239463076645,18.921344685940245
2016-01-01 03:00:00,9018.45662891717,887.7812289390877,21.68258089674841
2016-01-01 04:00:00,11961.830934397873,1177.5284180278195,28.759174388739147
2016-01-01 05:00:00,14105.667025936513,1388.5686789398096,33.913481982247724
2016-01-01 06:00:00,13785.323701913498,1357.033927309282,33.143298088964826
2016-01-01 07:00:00,13608.870854477744,1339.6638237325772,32.71906218071423
2016-01-01 08:00:00,13039.469396667604,1283.6116690486454,31.350081469302054
2016-01-01 09:00:00,12417.264094238286,1222.3614783816597,29.854147368887208
2016-01-01 10:00:00,11855.783213121023,1167.089029095186,28.504209665825442
2016-01-01 11:00:00,11532.359664828555,1135.2510586989808,27.726620158184062
2016-01-01 12:00:00,11564.92203567705,1138.4565142218642,27.804908081402377
2016-01-01 13:00:00,11683.290654031707,1150.10877821721,28.08949526175004
2016-01-01 14:00:00,11943.349588781159,1175.709105433751,28.714740702588216
2016-01-01 15:00:00,12417.264094238286,1222.3614783816597,29.854147368887208
2016-01-01 16:00:00,12679.083157141711,1248.135073464302,30.4836245893588
2016-01-01 17:00:00,12690.08395810404,1249.2179976274383,30.51007321206769
2016-01-01 18:00:00,12526.832071823079,1233.1474030464965,30.11757565106776
2016-01-01 19:00:00,12118.482340101433,1192.9492581108796,29.135802776113742
2016-01-01 20:00:00,10980.559488558141,1080.9315826760671,26.39995724310612
2016-01-01 21:00:00,8688.8726320858,855.336821011526,20.89018016039005
2016-01-01 22:00:00,7200.684277901957,708.8388402224558,17.31221048033135
2016-01-01 23:00:00,8152.91360920114,802.5767557835286,19.60160326201291
2016-01-02 00:00:00,8463.576228377306,833.1585341504958,20.348512367311972
2016-01-02 01:00:00,8687.992568008814,855.250187078475,20.888064270573338
2016-01-02 02:00:00,9345.840465556079,920.0090520340221,22.46969190856499
2016-01-02 03:00:00,10644.815043187864,1047.8807372171489,25.592745278030772
2016-01-02 04:00:00,14127.668627861172,1390.734527266082,33.966379227665506
2016-01-02 05:00:00,16660.053009389267,1640.0236696200438,40.05485217525209
2016-01-02 06:00:00,16264.464206783923,1601.081716713665,39.10375970264039
2016-01-02 07:00:00,16047.088379768305,1579.6831352500926,38.581134917912706
2016-01-02 08:00:00,15418.28259676159,1517.7831900852254,37.06933164387253
2016-01-02 09:00:00,14723.03197594241,1449.3423829750152,35.397778688670655
