ID,Name,Fuel,Fuel (detailed),Technology,Country,Model_Node,Province,Pmin,Pmax,Heat_Rate,IC,Status,Year_Built,Year_End,Fuel info Source,comments
99,Al Manah Power Plant,Gas,Gas,GT,Oman,OMA,,0,270,3280.247904,1,Active,1996,2100,,
154,Makkah B Power Plant,Oil,Diesel,GT,Saudi Arabia,WOA,Makkah,0,161.2,3806.920534,,Active,1978,2100,,
155,Makkah C Power Plant,Oil,Diesel,GT,Saudi Arabia,WOA,Makkah,0,555.1,3806.920534,,Active,1980,2100,,
156,Makkah Diesel Power Plant,Oil,Diesel,DG,Saudi Arabia,WOA,Makkah,0,43.5,2476.989981,,Active,1968,2100,,
136,Ras Abu Fontas - B Power Plant,Gas,Gas,CC,Qatar ,QAT,Al Wakrah,0,609,2128.104202,,Active,1995,2100,,
289,Al Mirfa Gas Turbine Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Abu Dhabi,0,244,3280.247904,,Active,1995,2100,,
330,Taweelah B IWPP,Gas,Gas,ST,United Arab Emirates,UAE,Abu Dhabi,0,876,2321.992855,,Active,1995,2100,,
118,Rabab Harweel Integrated Power Project,Gas,Gas,GT,Oman,OMA,,0,154.4,2491.302093,5,Permitting,2018,2100,,
216,Makkah Taif DG Power Plant,Oil,Diesel_ipp,DG,Saudi Arabia,WOA,Makkah,0,325,2476.989981,,Active,1988,2100,,
36,Sabiya Power Plant,Oil,HFO,ST,Kuwait,KUW,Al Jahra ,0,2400,2456.714235,,Active,1998,2100,,
114,Musandam Power Plant,Dual-Fuel,Gas,GT,Oman,OMA,Musandam,0,120,2491.302093,4,Under Construction,2017,2100,,
105,Duqm Diesel Fired Power Plant - Extension,Oil,Diesel,DG,Oman,OMA,Al Wusta,0,80,2379.747169,3,Announced,2018,2100,,
120,Saih Rawl Depletion Compression Power Plant II(SRDC2),Gas,Gas,GT,Oman,OMA,,0,76,2491.302093,5,Permitting,2020,2100,,
104,Duqm Diesel Fired Power Plant,Oil,Diesel,DG,Oman,OMA,Al Wusta,0,67,2379.747169,3,Active,2011,2100,,
109,Masirah Power Plant,Oil,Diesel,DG,Oman,OMA,Ash Sharqiyah South,0,56,2379.747169,5,Permitting,2017,2100,,
323,Ruwais Refinery Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Abu Dhabi,0,500,3280.247904,,Active,1999,2100,,
2,Al Hidd Power Plant I,Gas,Gas,GT,Bahrain,BAH,Al Hadd,0,272,3280.247904,,Active,2000,2100,,
7,Aluminium Bahrain (Alba) Power Station I,Gas,Gas,GT,Bahrain,BAH,Capital ,0,299,3280.247904,,Active,2000,2100,,
8,Aluminium Bahrain (Alba) Power Station II,Gas,Gas,CC,Bahrain,BAH,Capital ,0,168,2128.104202,,Active,2000,2100,,
10,Aluminium Bahrain (Alba) Power Station IV,Gas,Gas,CC,Bahrain,BAH,Capital ,0,918,2128.104202,,Active,2000,2100,,
119,Saih Al Khairat Power Plant,Oil,Crude,GT,Oman,OMA,Dhofar,0,48,2855.739443,5,Permitting,2018,2100,,
132,Mesaieed Black Start Power Plant,Oil,Crude,GT,Qatar ,QAT,Al Wakrah,0,64,3274.328859,,Active,2000,2100,,
217,Manifa Combined Cycle Power Plant,Gas,Gas_ipp,CC,Saudi Arabia,EOA,Eastern Province,0,418,1593.693192,,Active,2013,2100,,
218,Marafiq IWPP Power Plant,Gas,Gas_ipp,CC,Saudi Arabia,EOA,Eastern Province,0,2745,1860.898697,,Active,2009,2100,,
157,Marafiq Yanbu Diesel Fired Power Plant,Oil,Diesel_ipp,DG,Saudi Arabia,WOA,Al Madinah,0,8.4,2476.989981,,Active,1984,2100,,
219,Marafiq Yanbu Gas Turbine Power Plant,Gas,Gas_ipp,GT,Saudi Arabia,WOA,Al Madinah,0,517.6,3439.102255,,Active,1984,2100,,
220,Marafiq Yanbu Steam Turbine Power Plant,Oil,HFO_ipp,ST,Saudi Arabia,WOA,Al Madinah,0,512.5,2457.182317,,Active,1984,2100,,
221,Marafiq Yanbu Steam Turbine Power Plant - Extension,Oil,HFO_ipp,ST,Saudi Arabia,WOA,Al Madinah,0,801,2236.42638,,Under Construction,2017,2100,,
158,Najran CPS Power Plant,Oil,Crude,GT,Saudi Arabia,SOA,Najran,0,370,3361.284507,,Active,1985,2100,,
159,Qaisumah Power Plant,Oil,Diesel,GT,Saudi Arabia,EOA,Eastern Province,0,143.8,3806.920534,,Active,1977,2100,,
222,Qassim Power Plant,Oil,Crude,GT,Saudi Arabia,QASSIM,Qassim,0,915,3274.328859,,Active,2000,2100,,
223,Qassim Power Plant Extension,Oil,Crude,CC,Saudi Arabia,QASSIM,Qassim,0,360,2597.068314,,Under Construction,2018,2100,,
224,Qassim Power Plant Extension - Finished,Oil,Crude,CC,Saudi Arabia,QASSIM,Qassim,0,720,2597.068314,,Active,2012,2100,,
225,Qatif Power Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,144,3058.89281,,Active,2004,2100,,
286,Al Ain Gas Turbine Power Station,Gas,Gas,GT,United Arab Emirates,UAE,Abu Dhabi,0,352,3280.247904,,Active,2000,2100,,
336,Wasit Gas Turbine Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Sharjah,0,1195,3280.247904,,Active,2000,2100,,
329,Taweelah A2 IWPP,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,777,1860.898697,,Active,2001,2100,,
331,Taweelah B IWPP Extension,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,1378,1860.898697,,Active,2001,2100,,
108,Khasab Internal Combustion Power Plant Expansion,Oil,Diesel,DG,Oman,OMA,Musandam,0,8,2379.747169,4,Under Construction,2021,2100,,
137,Ras Abu Fontas - B1 Power Plant,Gas,Gas,GT,Qatar ,QAT,Al Wakrah,0,376.5,3058.89281,,Active,2002,2100,,
