PowerCapacity,InitialPower,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
10.8,0,[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],EL,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,0,,,
130,0,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],EL,HDAM,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,67783.33333,,,
210,0,[PIGAI AOOS 1;PIGAI AOOS 2],EL,HDAM,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,30576,,,
116,0,[PLATANOVRISI 1;PLATANOVRISI 2],EL,HDAM,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,14740.83333,,,
375,0,[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],EL,HDAM,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,371964.4444,,,
34,0,[POURNARI-II NO 1;POURNARI-II NO 2],EL,HDAM,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,163.3333333,,,
300,0,[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],EL,HDAM,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,71760.5,,,
315,0,[SFIKIA 1;SFIKIA 2;SFIKIA 3],EL,HPHS,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,4018,,315,0.8
6,0,[STRATOS-II NO 1;STRATOS-II NO 2],EL,HDAM,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,0,,,
150,0,[STRATOS-I NO 1;STRATOS-I NO 2],EL,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,778.5555556,,,
1613,0,Cluster Wind Onshore,EL,WTON,WIN,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
2429,0,Cluster Solar,EL,PHOT,SUN,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,
298,0,Cluster Other renewable,EL,STUR,BIO,0.39,1,1,0.04,0.05,10728,0,0,0.2,0.195,1,0,,,,,,
