,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
EL_COMC_GAS,414.435729463,EL_COMC_GAS,EL,COMC,GAS,0.57,2,4,0.03,0.03,55,0.0,0,0.36,0.57,1.0,0.42,,,,,,,9.0
EL_GTUR_GAS,61.0747390787,EL_GTUR_GAS,EL,GTUR,GAS,0.425,0,0,0.166666666667,0.166666666667,0,0.0,0,0.2,0.425,0.166666666667,0.564705882353,,,,,,,9.0
EL_ICEN_GAS,9.67331485048,EL_ICEN_GAS,EL,ICEN,GAS,0.49,0,0,1.0,1.0,0,0.0,0,0.3,0.49,0.0,0.489795918367,,,,,,,17.0
EL_STUR_GAS,114.421654029,EL_STUR_GAS,EL,STUR,GAS,0.38,0,0,0.02,0.02,0,0.0,0,0.4,0.38,0.0,0.0,,,,,,,7.0
EL_STUR_LIG,652.0,EL_STUR_LIG,EL,STUR,LIG,0.393,8.0,8.0,0.015209790209790195,0.017482517482517494,65.0,12.56164383561645,0.0,0.389,0.4075,5.0,1.0499999999999998,,,,,,,6.0
EL_PHOT_SUN,2441.0,EL_PHOT_SUN,EL,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
EL_HROR_WAT,299.0,EL_HROR_WAT,EL,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
EL_HPHS_WAT,3102.0,EL_HPHS_WAT,EL,HPHS,WAT,0.8,0,0,0.0666666666667,0.0666666666667,0,0.0,0,0.0,1.0,0.0,0.0,,,1700000.0,0.0,699.0,0.8,1
EL_WTON_WIN,1875.0,EL_WTON_WIN,EL,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
