,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
CH_STUR_NUC,843.25,CH_STUR_NUC,CH,STUR,NUC,1.0,24,24,0.00333333333333,0.00333333333333,300,0.0,0,0.5,1.0,12.0,0.0,,,,,,,4.0
CH_HROR_WAT,190.0,CH_HROR_WAT,CH,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0,0.0,1.0,0.0,0.0,,,,,,,1
CH_HPHS_WAT,11125.8,CH_HPHS_WAT,CH,HPHS,WAT,0.8,0,0,0.0666666666667,0.0666666666667,0,0.0,0,0.0,1.0,0.0,0.0,,,5732197.1,0.0,6228.0,0.8,1
