,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
57,400.0,Fujairah F2 Power Plant Block III,UAE,COMC,GAS,0.5395299617525793,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.3355666000451447,,,,,,
58,93.0,Galilah Power Station,UAE,GTUR,GAS,0.2500202562093072,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.7241342666901097,,,,,,
59,440.0,Hamriyah Desalination Power Plant,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
60,220.0,Hamriyah Desalination Power Plant Phase I,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
61,220.0,Hamriyah Desalination Power Plant Phase II,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
62,20.0,Hamriyah Oil Fired Power Plant,UAE,GTUR,OIL,0.29511575045759464,0.35714285714285715,0.42857142857142855,0.1796940442631579,0.18228932552631574,6458.016481947367,1146.8035067285714,0,0.17622986510526314,0.16899999999999998,0.6,0.8618348451610225,,,,,,
63,1027.0,Jebel Ali D Power Plant,UAE,COMC,GAS,0.3589703763201533,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.5043542499070434,,,,,,
64,616.0,Jebel Ali E Power Plant,UAE,COMC,GAS,0.4040428218303504,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.4480916999530772,,,,,,
65,818.0,Jebel Ali G Power Plant,UAE,COMC,GAS,0.4040428218303504,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.4480916999530772,,,,,,
66,918.0,Jebel Ali K Power Station,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
67,2362.0,Jebel Ali L Power Station,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
68,969.0,Jebel Ali L Power Station Block I,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
69,1393.0,Jebel Ali L Power Station Block II,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
70,2058.0,Jebel Ali M Power Station,UAE,COMC,GAS,0.5395299617525793,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.3355666000451447,,,,,,
71,107.0,Kalba Gas Fired Power Plant,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
72,6.0,Khorfakkan Oil Fired Power Plant,UAE,ICEN,OIL,0.42100000000000004,0.8,2.0,0.0579,0.0579,900.0,1146.8035067285714,0,0.8684000000000002,0.4063,0.3,0.604135480047981,,,,,,
73,146.0,Khorfakkan Power Plant,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
74,902.0,Layyah Cogeneration Plant,UAE,COMC,GAS,0.3229447188608819,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.5606168000715688,,,,,,
75,118.0,Madinat Zayed Gas Fired Power Plant,UAE,GTUR,GAS,0.26212812326671825,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6906860379249785,,,,,,
76,18.0,Madinat Zayed Gas Fired Power Plant Unit I,UAE,GTUR,GAS,0.26212812326671825,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6906860379249785,,,,,,
77,18.0,Madinat Zayed Gas Fired Power Plant Unit II,UAE,GTUR,GAS,0.26212812326671825,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6906860379249785,,,,,,
78,30.0,Madinat Zayed Gas Fired Power Plant Unit III,UAE,GTUR,GAS,0.26212812326671825,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6906860379249785,,,,,,
79,30.0,Madinat Zayed Gas Fired Power Plant Unit IV,UAE,GTUR,GAS,0.26212812326671825,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6906860379249785,,,,,,
80,22.0,Madinat Zayed Gas Fired Power Plant Unit V,UAE,GTUR,GAS,0.26212812326671825,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6906860379249785,,,,,,
81,500.0,Ruwais Refinery Power Plant,UAE,GTUR,GAS,0.26212812326671825,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6906860379249785,,,,,,
82,1500.0,Shuweihat S1 IWPP,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
83,1510.0,Shuweihat S2 Greenfield IWPP,UAE,COMC,GAS,0.5395299617525793,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.3355666000451447,,,,,,
84,1600.0,Shuweihat S3 Power Plant,UAE,COMC,GAS,0.5395299617525793,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.3355666000451447,,,,,,
85,1400.0,Taweelah A1 IWPP,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
86,216.8,Taweelah A10 Power Plant,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
87,777.0,Taweelah A2 IWPP,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
88,876.0,Taweelah B IWPP,UAE,STUR,GAS,0.3703048547602469,1.0,1.0,0.0767211054,0.10385452979999997,31847.015741362604,1174.437686624,0,0.3178000782,0.312,4.395348837209301,0.4889167197254794,,,,,,
89,1378.0,Taweelah B IWPP Extension,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
90,337.0,Taweelah B Extension Power Plant Phase I,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
91,1041.0,Taweelah B Extension Power Plant Phase II,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
92,120.0,Umm Al Nar East Power Plant A,UAE,GTUR,GAS,0.19236176089839144,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.9411862006369998,,,,,,
93,60.0,Umm Al Nar East Power Plant A Unit I,UAE,GTUR,GAS,0.19236176089839144,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.9411862006369998,,,,,,
94,60.0,Umm Al Nar East Power Plant A Unit II,UAE,GTUR,GAS,0.19236176089839144,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.9411862006369998,,,,,,
95,790.0,Umm Al Nar West Power Plant,UAE,STUR,GAS,0.3344310300555992,1.0,1.0,0.0767211054,0.10385452979999997,31847.015741362604,1174.437686624,0,0.3178000782,0.312,4.395348837209301,0.5413619509460611,,,,,,
96,360.0,Umm Al Nar West Power Phase I,UAE,STUR,GAS,0.3344310300555992,1.0,1.0,0.0767211054,0.10385452979999997,31847.015741362604,1174.437686624,0,0.3178000782,0.312,4.395348837209301,0.5413619509460611,,,,,,
97,300.0,Umm Al Nar West Power Phase II,UAE,STUR,GAS,0.3344310300555992,1.0,1.0,0.0767211054,0.10385452979999997,31847.015741362604,1174.437686624,0,0.3178000782,0.312,4.395348837209301,0.5413619509460611,,,,,,
98,130.0,Umm Al Nar West Power Phase III,UAE,STUR,GAS,0.3344310300555992,1.0,1.0,0.0767211054,0.10385452979999997,31847.015741362604,1174.437686624,0,0.3178000782,0.312,4.395348837209301,0.5413619509460611,,,,,,
99,88.0,Umm Al Quwain Power Station,UAE,GTUR,GAS,0.2500202562093072,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.7241342666901097,,,,,,
100,1691.0,Umm Sas Al Nakhl Combined Cycle Power Plant,UAE,COMC,GAS,0.46205912676024946,4.615384615384615,1.1888111888111887,0.035847027292307695,0.03657735236923078,102145.40750664317,340.0637477223776,0,0.4105047924895098,0.5121536713286714,0.8741258741258742,0.39182914999911095,,,,,,
101,1195.0,Wasit Gas Turbine Power Plant,UAE,GTUR,GAS,0.28109688058180304,3.1,1.6,0.062094452599999996,0.0927066974,8652.727910299998,1887.3093269,0,0.2460938565,0.2559,0.6,0.6440777091267382,,,,,,
102,0.85,Sir Bani Yas,UAE,WTON,WIN,1.0,0.0,0.0,0.6071204590416667,0.6071204590416667,0.0,0.0,0,0.0,0.9583333333333334,0.08333333333333333,0.0,,,,,,
