,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_COMC_GAS_CHP
2016-01-01 00:00:00,3035.998703543312,3863.413797260873,287.82827249206554
2016-01-01 01:00:00,3230.505584271714,4110.930558645274,306.26852393306143
2016-01-01 02:00:00,3606.1293793015616,4588.924884072397,341.8795892158541
2016-01-01 03:00:00,4753.438081569089,6048.91505629633,450.6503477156412
2016-01-01 04:00:00,5702.36386019515,7256.456067905374,540.613385995717
2016-01-01 05:00:00,5495.524115652448,6993.245308969426,521.0039157133536
2016-01-01 06:00:00,5468.391815260986,6958.718514356022,518.4316342623451
2016-01-01 07:00:00,5239.00054831499,6666.8101598972435,496.68416381290973
2016-01-01 08:00:00,5012.075854131855,6378.040604948776,475.170537131748
2016-01-01 09:00:00,4831.311307367961,6148.011440836098,458.0331295425616
2016-01-01 10:00:00,4705.516096462092,5987.932665810317,446.10709736061324
2016-01-01 11:00:00,4603.681878109723,5858.345086027542,436.4526903561788
2016-01-01 12:00:00,4641.73757216528,5906.772278472316,440.0605656381128
2016-01-01 13:00:00,4693.1832326477925,5972.23866825877,444.9378785192457
2016-01-01 14:00:00,4852.805727158599,6175.363836568796,460.07091095180215
2016-01-01 15:00:00,4957.458885811381,6308.538615791925,469.99256797712053
2016-01-01 16:00:00,4919.755559293375,6260.559823277194,466.41809894779703
2016-01-01 17:00:00,4866.548061123106,6192.851433840519,461.3737548036116
2016-01-01 18:00:00,4694.240335260446,5973.583868048903,445.03809727707727
2016-01-01 19:00:00,4262.237734222365,5423.845553814707,404.0820315766046
2016-01-01 20:00:00,3561.0263344949763,4531.529693026739,337.60358888171015
2016-01-01 21:00:00,3019.0850617408423,3841.8906006187503,286.22477236676156
2016-01-01 22:00:00,3451.7923978540257,4392.525714713035,327.2476505724552
2016-01-01 23:00:00,3447.9163549409595,4387.593315482549,326.8801817937397
2016-01-02 00:00:00,3507.4664687871546,4463.372903660019,332.5258384849142
2016-01-02 01:00:00,3673.4315789738885,4674.56927071084,348.2601834644596
