,IE_P2HT_OTH,IE_STUR_BIO_CHP,IE_COMC_GAS_CHP
2016-12-06 16:00:00,1920.8873209161156,29.33634073401086,9.663569120590154
2016-12-06 17:00:00,2018.776275397546,30.831328853040002,10.156027302532056
2016-12-06 18:00:00,2052.1046346321227,31.340329090568126,10.323695077540114
2016-12-06 19:00:00,2031.9818516980386,31.03300819243794,10.222461703950344
2016-12-06 20:00:00,1974.757687729237,30.15906438838022,9.934579297804435
2016-12-06 21:00:00,1800.360235633841,27.49561660458526,9.057223393359761
2016-12-06 22:00:00,1427.6695267088242,21.803777470465732,7.182296953332556
2016-12-06 23:00:00,1149.933199754017,17.562108824398035,5.7850654949320806
2016-12-07 00:00:00,1113.6702680082196,17.008290955892587,5.602634519608848
2016-12-07 01:00:00,1173.8290044882417,17.92705239092763,5.905280126069933
2016-12-07 02:00:00,1153.9158338763878,17.622932752152966,5.805101266788388
2016-12-07 03:00:00,1266.477650913921,19.342009026068705,6.371375450306167
2016-12-07 04:00:00,1554.2753693357702,23.7373381212015,7.819223595501527
2016-12-07 05:00:00,2136.1591758463705,32.62403409213277,10.74655531513905
2016-12-07 06:00:00,2346.190722720874,35.83169596636661,11.803178651982279
2016-12-07 07:00:00,2212.248448815876,33.78609123818754,11.12934400902537
2016-12-07 08:00:00,2152.0897123358536,32.8673298031525,10.826698402564285
2016-12-07 09:00:00,2057.554555010104,31.42356183381172,10.35111244955401
2016-12-07 10:00:00,1947.0888611948712,29.73649815345121,9.7953834091185
2016-12-07 11:00:00,1894.6857806373605,28.936183314570513,9.531754832061807
2016-12-07 12:00:00,1835.994330412948,28.03983069502413,9.23649082575831
2016-12-07 13:00:00,1818.8061199900849,27.777327427871263,9.150020652483716
2016-12-07 14:00:00,1862.195870691704,28.43998811446448,9.368305114286658
2016-12-07 15:00:00,1901.3933749487217,29.038623613947244,9.565499289925064
2016-12-07 16:00:00,1982.3037313295188,30.274309725179037,9.9725418129006
2016-12-07 17:00:00,2085.01376922224,31.842926809385204,10.489253823931717
2016-12-07 18:00:00,2112.2633711121453,32.25909052560317,10.6263406840012
2016-12-07 19:00:00,2099.477019456113,32.06381370491628,10.562015311199366
2016-12-07 20:00:00,2057.554555010104,31.42356183381172,10.35111244955401
2016-12-07 21:00:00,1866.3881171363048,28.50401330157493,9.38939540045119
2016-12-07 22:00:00,1488.2474878333066,22.72894142421182,7.487051588410093
2016-12-07 23:00:00,1219.9437153788515,18.631329449142644,6.137273273879822
2016-12-08 00:00:00,979.937606425452,14.965887487069052,4.929854390960168
2016-12-08 01:00:00,1026.2619296382916,15.673365804639587,5.162902053078284
2016-12-08 02:00:00,1051.6250206281268,16.060718186657844,5.290498284373724
2016-12-08 03:00:00,1161.0426528322093,17.731775570240742,5.840954753268099
2016-12-08 04:00:00,1379.039467951454,21.061085299984445,6.937649633823944
2016-12-08 05:00:00,1835.7847180907186,28.03662943566861,9.235436311450085
2016-12-08 06:00:00,2182.9027237036703,33.33791492841435,10.981712005873622
2016-12-08 07:00:00,2128.4035199238588,32.505587495978425,10.70753828573466
2016-12-08 08:00:00,2080.402298133179,31.77249910356371,10.46605450915073
2016-12-08 09:00:00,1969.3077673512557,30.075831645136624,9.907161925790538
2016-12-08 10:00:00,1864.2919939140043,28.47200070801971,9.378850257368926
2016-12-08 11:00:00,1768.4991626548747,27.009025182545795,8.89693721850929
2016-12-08 12:00:00,1723.6421256976453,26.32395568046391,8.67127115654876
2016-12-08 13:00:00,1714.8384081639836,26.189502787531957,8.626981555603235
2016-12-08 14:00:00,1728.8824337533965,26.403987164351985,8.69763401425443
2016-12-08 15:00:00,1765.564590143654,26.96420755156847,8.882174018194114
2016-12-08 16:00:00,1845.0076602688407,28.177484847311607,9.281834941012061
2016-12-08 17:00:00,1912.7124403491443,29.21149161914547,9.62244306256931
2016-12-08 18:00:00,1945.4119626170311,29.710888078607024,9.786947294652686
2016-12-08 19:00:00,1932.2063863165383,29.509208739209093,9.7205128932344
2016-12-08 20:00:00,1859.6805228249434,28.401573002198205,9.355650942587936
2016-12-08 21:00:00,1685.7022953740075,25.744527737114286,8.480404066759712
2016-12-08 22:00:00,1313.640423415681,20.062292381061333,6.60864116965719
2016-12-08 23:00:00,1060.8479628062487,16.201573598300847,5.336896913935702
2016-12-09 00:00:00,1014.5236395934091,15.49409528073031,5.103849251817585
2016-12-09 01:00:00,1063.363310673009,16.23998871056712,5.349551085634422
2016-12-09 02:00:00,1088.7264016628444,16.627341092585375,5.4771473169298615
2016-12-09 03:00:00,1196.6767476113166,18.275989660679613,6.0202221856666505
2016-12-09 04:00:00,1420.333095430773,21.691733393022435,7.14538895254462
2016-12-09 05:00:00,1895.3146176040507,28.945787092637083,9.53491837498649
2016-12-09 06:00:00,2257.105485773105,34.47116074026942,11.355010070985898
2016-12-09 07:00:00,2210.152325593576,33.75407864463231,11.118798865943102
2016-12-09 08:00:00,2165.924125603037,33.078612920617005,10.896296346907253
2016-12-09 09:00:00,2040.3663445872407,31.161058566658852,10.264642276279416
2016-12-09 10:00:00,1923.6122811051066,29.377957105632653,9.677277806597102
2016-12-09 11:00:00,1831.1732470016573,27.966201729847104,9.212236996669095
2016-12-09 12:00:00,1781.2855143109073,27.20430200323268,8.961262591311122
2016-12-09 13:00:00,1775.8355939329263,27.12106925998909,8.933845219297227
2016-12-09 14:00:00,1794.28147828917,27.402780083275093,9.026642478421183
2016-12-09 15:00:00,1832.0116962905777,27.979006767269198,9.216455053902003
2016-12-09 16:00:00,1908.9394185490032,29.153868950746055,9.603461805021226
2016-12-09 17:00:00,1970.7750536068663,30.098240460625284,9.914543525948126
2016-12-09 18:00:00,1982.3037313295188,30.274309725179037,9.9725418129006
2016-12-09 19:00:00,1972.2423398624765,30.12064927611394,9.921925126105712
2016-12-09 20:00:00,1913.7605019602943,29.227497915923088,9.627715634110444
2016-12-09 21:00:00,1729.5112707200863,26.413590942418548,8.70079755717911
2016-12-09 22:00:00,1343.6149854945768,20.52007246890109,6.759436715733619
2016-12-09 23:00:00,1088.7264016628444,16.627341092585375,5.4771473169298615
2016-12-10 00:00:00,1037.1617703942536,15.83983129112677,5.217736797106076
2016-12-10 01:00:00,1087.2591154072343,16.60493227709672,5.469765716772275
2016-12-10 02:00:00,1114.0894926526794,17.014693474603636,5.604743548225302
2016-12-10 03:00:00,1225.1840234346028,18.711360933030715,6.163636131585492
2016-12-10 04:00:00,1455.33835324319,22.226343705394743,7.321492842018491
2016-12-10 05:00:00,1942.2677777835802,29.662869188274183,9.771129580029283
2016-12-10 06:00:00,2314.5392620641373,35.348305803682656,11.643946991440034
2016-12-10 07:00:00,2265.909203306767,34.60561363320138,11.399299671931425
2016-12-10 08:00:00,2219.5848800939275,33.89813531563084,11.166252009813306
2016-12-10 09:00:00,2088.786791022381,31.900549477784622,10.508235081479802
2016-12-10 10:00:00,1969.3077673512557,30.075831645136624,9.907161925790538
2016-12-10 11:00:00,1874.1437730588164,28.62245989772928,9.428412429855584
2016-12-10 12:00:00,1824.4656526902959,27.863761430470376,9.17849253880584
2016-12-10 13:00:00,1817.1292214122445,27.751717353027075,9.1415845380179
2016-12-10 14:00:00,1835.7847180907186,28.03662943566861,9.235436311450085
2016-12-10 15:00:00,1874.5629977032763,28.628862416440324,9.430521458472038
2016-12-10 16:00:00,1953.3772308617724,29.832535934116898,9.827018838365305
2016-12-10 17:00:00,2016.680152175246,30.799316259484776,10.14548215944979
2016-12-10 18:00:00,2029.6761161535082,30.997794339527193,10.21086204655985
2016-12-10 19:00:00,2020.2435616531566,30.85373766852866,10.163408902689644
2016-12-10 20:00:00,1960.084825173134,29.93497623349362,9.86076329622856
2016-12-10 21:00:00,1771.4337351660952,27.053842813523108,8.911700418824463
