,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,430.0,Ghazlan GT-01,SA_EOA,STUR,GAS,0.32030032606360886,48.0,48.0,0.02326,0.02326,31847.015741362604,1174.437686624,0,0.5348837209302325,0.312,4.395348837209302,0.5356456653485208,,,,,,
1,430.0,Ghazlan GT-02,SA_EOA,STUR,GAS,0.3139027848380599,48.0,48.0,0.02326,0.02326,31847.015741362604,1174.437686624,0,0.5348837209302325,0.312,4.395348837209302,0.5356456653485208,,,,,,
2,430.0,Ghazlan GT-03,SA_EOA,STUR,GAS,0.3180377208131853,48.0,48.0,0.02326,0.02326,31847.015741362604,1174.437686624,0,0.5348837209302325,0.312,4.395348837209302,0.5356456653485208,,,,,,
3,430.0,Ghazlan GT-04,SA_EOA,STUR,GAS,0.3152017129441808,48.0,48.0,0.02326,0.02326,31847.015741362604,1174.437686624,0,0.5348837209302325,0.312,4.395348837209302,0.5356456653485208,,,,,,
4,664.0,Ghazlan GT-05,SA_EOA,STUR,GAS,0.37865376304033527,48.0,48.0,0.02259,0.02259,31847.015741362604,1174.437686624,0,0.6024096385542169,0.312,4.395348837209302,0.5356456653485208,,,,,,
5,664.0,Ghazlan GT-06,SA_EOA,STUR,GAS,0.37844128735954513,48.0,48.0,0.02259,0.02259,31847.015741362604,1174.437686624,0,0.6024096385542169,0.312,4.395348837209302,0.5356456653485208,,,,,,
6,664.0,Ghazlan GT-07,SA_EOA,STUR,GAS,0.37932672683142993,48.0,48.0,0.02259,0.02259,31847.015741362604,1174.437686624,0,0.6024096385542169,0.312,4.395348837209302,0.5356456653485208,,,,,,
7,664.0,Ghazlan GT-08,SA_EOA,STUR,GAS,0.3812628302046399,48.0,48.0,0.02259,0.02259,31847.015741362604,1174.437686624,0,0.6024096385542169,0.312,4.395348837209302,0.5356456653485208,,,,,,
8,625.0,Qurrayah ST-01,SA_EOA,STUR,GAS,0.3752100726171791,48.0,48.0,0.024,0.024,31847.015741362604,1174.437686624,0,0.64,0.312,4.395348837209302,0.5356456653485208,,,,,,
9,625.0,Qurrayah ST-02,SA_EOA,STUR,GAS,0.3756849531775281,48.0,48.0,0.024,0.024,31847.015741362604,1174.437686624,0,0.64,0.312,4.395348837209302,0.5356456653485208,,,,,,
10,625.0,Qurrayah ST-03,SA_EOA,STUR,GAS,0.3696776784101484,48.0,48.0,0.024,0.024,31847.015741362604,1174.437686624,0,0.64,0.312,4.395348837209302,0.5356456653485208,,,,,,
11,625.0,Qurrayah ST-04,SA_EOA,STUR,GAS,0.37080103796778574,48.0,48.0,0.024,0.024,31847.015741362604,1174.437686624,0,0.64,0.312,4.395348837209302,0.5356456653485208,,,,,,
12,135.0,Qurrayah GT-01,SA_EOA,GTUR,GAS,0.31854212559136214,48.0,48.0,0.15748,0.15748,8652.727910299998,1887.3093268999996,0,0.5185185185185185,0.2559,0.6,0.5001332455464089,,,,,,
13,135.0,Qurrayah GT-02,SA_EOA,GTUR,GAS,0.31854212559136214,48.0,48.0,0.15748,0.15748,8652.727910299998,1887.3093268999996,0,0.5185185185185185,0.2559,0.6,0.5001332455464089,,,,,,
14,135.0,Qurrayah GT-03,SA_EOA,GTUR,GAS,0.31854212559136214,48.0,48.0,0.15748,0.15748,8652.727910299998,1887.3093268999996,0,0.5185185185185185,0.2559,0.6,0.5001332455464089,,,,,,
15,135.0,Qurrayah GT-04,SA_EOA,GTUR,GAS,0.31854212559136214,48.0,48.0,0.15748,0.15748,8652.727910299998,1887.3093268999996,0,0.5185185185185185,0.2559,0.6,0.5001332455464089,,,,,,
16,135.0,Qurrayah GT-05,SA_EOA,GTUR,GAS,0.31854212559136214,48.0,48.0,0.15748,0.15748,8652.727910299998,1887.3093268999996,0,0.5185185185185185,0.2559,0.6,0.5001332455464089,,,,,,
17,135.0,Qurrayah GT-06,SA_EOA,GTUR,GAS,0.31854212559136214,48.0,48.0,0.15748,0.15748,8652.727910299998,1887.3093268999996,0,0.5185185185185185,0.2559,0.6,0.5001332455464089,,,,,,
18,135.0,Qurrayah GT-07,SA_EOA,GTUR,GAS,0.31854212559136214,48.0,48.0,0.15748,0.15748,8652.727910299998,1887.3093268999996,0,0.5185185185185185,0.2559,0.6,0.5001332455464089,,,,,,
