,NL_P2HT_OTH,NL_STUR_BIO_CHP,NL_COMC_GAS_CHP
2016-01-01 00:00:00,7481.253077014117,4358.81328780264,2884.292016265606
2016-01-01 01:00:00,7660.747113699782,4463.392157696862,2953.493420315204
2016-01-01 02:00:00,8245.926859317278,4804.336278246323,3179.101249777715
2016-01-01 03:00:00,9345.948036989272,5445.243206102138,3603.19896012395
2016-01-01 04:00:00,12337.223454861456,7188.054324062941,4756.443171675708
2016-01-01 05:00:00,14581.920424210168,8495.88536204094,5621.8545514244215
2016-01-01 06:00:00,14349.015966852183,8360.187901592828,5532.061510072261
2016-01-01 07:00:00,14147.048693053028,8242.515417093962,5454.195865190436
2016-01-01 08:00:00,13605.647980773498,7927.078337982119,5245.466426959534
2016-01-01 09:00:00,12951.005502259755,7545.6630450183075,4993.07821674287
2016-01-01 10:00:00,12378.959466643651,7212.371036900134,4772.533904649842
2016-01-01 11:00:00,12014.717909271763,7000.152452139175,4632.105689602853
2016-01-01 12:00:00,11969.187714600279,6973.625129044055,4614.55216272198
2016-01-01 13:00:00,12058.788802831983,7025.829540519708,4649.096603442673
2016-01-01 14:00:00,12262.50723796466,7144.522306676078,4727.637383973762
2016-01-01 15:00:00,12731.526615125415,7417.787743944397,4908.461215368402
2016-01-01 16:00:00,12955.96712603806,7548.553843047905,4994.991101082453
2016-01-01 17:00:00,12896.135780476172,7513.694219749832,4971.923966399254
2016-01-01 18:00:00,12695.919668010534,7397.042016908469,4894.733457166693
2016-01-01 19:00:00,12321.463002859788,7178.8717891454,4750.366950832329
2016-01-01 20:00:00,11203.346491408101,6527.421950828702,4319.292838777028
2016-01-01 21:00:00,8980.247178506119,5232.174386626591,3462.2081320359075
2016-01-01 22:00:00,7538.1658203534735,4391.97244167154,2906.233924866698
2016-01-01 23:00:00,7958.444540397961,4636.840039472648,3068.266480690147
2016-01-02 00:00:00,8234.544310649408,4797.704447472543,3174.7128680574965
2016-01-02 01:00:00,8442.64064911588,4918.947917772674,3254.941487711746
2016-01-02 02:00:00,9073.05872918261,5286.249314474337,3497.99032144692
2016-01-02 03:00:00,10234.370553527759,5962.866100342814,3945.717779517409
2016-01-02 04:00:00,13442.20625631175,7831.852049948354,5182.453766361526
2016-01-02 05:00:00,15892.372822126657,9259.39613574023,6127.081062290592
2016-01-02 06:00:00,15619.19165409774,9100.232197169511,6021.759901005352
2016-01-02 07:00:00,15468.299919192881,9012.317927681195,5963.585712560404
2016-01-02 08:00:00,14845.17834468248,8649.267704552469,5723.349944030499
2016-01-02 09:00:00,14150.259155497813,8244.385933466056,5455.433613880755
2016-01-02 10:00:00,13539.103850099786,7888.307634996943,5219.8112722874885
2016-01-02 11:00:00,13156.47509872595,7665.3760928321835,5072.294132923223
2016-01-02 12:00:00,13068.625171827764,7614.191963014037,5038.424827851794
2016-01-02 13:00:00,13157.35067939271,7665.886233660936,5072.631700747856
2016-01-02 14:00:00,13367.198179192701,7788.149985618572,5153.535456051369
2016-01-02 15:00:00,13855.480331022163,8072.638521119444,5341.785779587918
2016-01-02 16:00:00,14091.303390602681,8210.036450996731,5432.704047022186
2016-01-02 17:00:00,14027.969722373755,8173.136264383647,5408.286641040459
2016-01-02 18:00:00,13814.328039684477,8048.661902168086,5325.920091830206
2016-01-02 19:00:00,13378.580727860573,7794.781816392353,5157.923837771588
2016-01-02 20:00:00,12156.561977286776,7082.795266397048,4686.791677193267
2016-01-02 21:00:00,9832.479027485217,5728.711459945504,3790.7741480112354
2016-01-02 22:00:00,8298.753559545094,4835.114774914377,3199.4678418638564
2016-01-02 23:00:00,8321.226796658582,4848.20838951902,3208.1320826960823
2016-01-03 00:00:00,8598.20214757679,5009.5829383476685,3314.9160378880647
2016-01-03 01:00:00,8801.62872248721,5128.105657561121,3393.344295810942
2016-01-03 02:00:00,9434.381684331967,5496.767429806122,3637.2933104118015
2016-01-03 03:00:00,10580.2249168977,6164.371727699976,4079.057070247122
2016-01-03 04:00:00,13837.384997242472,8062.095610658564,5334.809377878853
2016-01-03 05:00:00,16351.46895173081,9526.879976949356,6304.079125006068
2016-01-03 06:00:00,16063.402912366982,9359.043644289848,6193.0193107020805
2016-01-03 07:00:00,15986.059953469909,9313.981204416727,6163.200819526237
2016-01-03 08:00:00,15340.757002068269,8938.007413626276,5914.413332772316
2016-01-03 09:00:00,14621.029693992085,8518.671652391879,5636.932580924659
2016-01-03 10:00:00,14011.041829483076,8163.273541694438,5401.760329764236
2016-01-03 11:00:00,13609.442163662789,7929.288948240045,5246.929220866275
2016-01-03 12:00:00,13492.114354317035,7860.930077187234,5201.69513236556
2016-01-03 13:00:00,13601.561937661954,7924.697680781274,5243.891110444584
2016-01-03 14:00:00,13802.361770572095,8041.689977508471,5321.3066648935655
2016-01-03 15:00:00,14276.050911288901,8317.67616586347,5503.930858019578
2016-01-03 16:00:00,14519.754196870255,8459.665363199529,5597.887235875536
2016-01-03 17:00:00,14434.822872194596,8410.181702810554,5565.1431568862145
2016-01-03 18:00:00,14212.717243059977,8280.775979250386,5479.51345203785
2016-01-03 19:00:00,13738.444381898666,8004.4496970095515,5296.664213695416
2016-01-03 20:00:00,12484.612867099277,7273.928030236246,4813.2670888221255
2016-01-03 21:00:00,10174.539207965869,5928.00647704474,3922.6506448342093
2016-01-03 22:00:00,8644.899783137289,5036.790449214458,3332.919655201781
2016-01-03 23:00:00,7340.868310110366,4277.020708259352,2830.168641716245
2016-01-04 00:00:00,7635.6471345860145,4448.768120605962,2943.816476009081
2016-01-04 01:00:00,7855.126021720357,4576.643421679875,3028.433477383549
2016-01-04 02:00:00,8365.881410663309,4874.225571785389,3225.348041752324
2016-01-04 03:00:00,9535.073461009291,5555.433625112637,3676.113610244503
2016-01-04 04:00:00,12647.179010894264,7368.644177441259,4875.942181595502
2016-01-04 05:00:00,15275.672172505823,8900.086945355688,5889.320791141324
2016-01-04 06:00:00,14982.93636958595,8729.529861609499,5776.4606151059625
2016-01-04 07:00:00,14669.770351108358,8547.06949185909,5655.723856495852
2016-01-04 08:00:00,14086.341766824378,8207.145652967136,5430.791162682604
2016-01-04 09:00:00,13481.023665871417,7854.468293356372,5197.419273253553
2016-01-04 10:00:00,12899.346242920958,7515.564736121924,4973.161715089572
2016-01-04 11:00:00,12462.723350430295,7261.174509517438,4804.827893206321
2016-01-04 12:00:00,12342.768799084264,7191.2852159783715,4758.581101231711
2016-01-04 13:00:00,12458.929167541006,7258.963899259513,4803.365099299582
2016-01-04 14:00:00,12656.81039822862,7374.255726557532,4879.655427666456
2016-01-04 15:00:00,13146.8437113916,7659.764543715909,5068.58088685227
2016-01-04 16:00:00,13359.60981341412,7783.728765102719,5150.60986823789
2016-01-04 17:00:00,13356.983071413842,7782.198342616463,5149.5971647639935
2016-01-04 18:00:00,13156.766958948207,7665.546139775101,5072.406655531434
2016-01-04 19:00:00,12733.861496903442,7419.148119487737,4909.361396234089
2016-01-04 20:00:00,11597.64965167206,6757.1553707101575,4471.310882469721
2016-01-04 21:00:00,9330.479445209858,5436.230718127515,3597.2352618887826
2016-01-04 22:00:00,7763.481911932879,4523.248681603799,2993.10137840538
2016-01-04 23:00:00,5774.746357500149,3364.54881256439,2226.3723260574757
2016-01-05 00:00:00,5830.491659950493,3397.0277786616207,2247.864144225725
2016-01-05 01:00:00,6150.954183984414,3583.739321984965,2371.413968041105
2016-01-05 02:00:00,6547.300365804145,3814.6630704668437,2524.2196699912743
2016-01-05 03:00:00,7515.40072301773,4378.7087801239795,2897.4571614262613
2016-01-05 04:00:00,10276.69028575446,5987.522907065842,3962.033557707964
2016-01-05 05:00:00,12130.58641750625,7067.661088477395,4676.777165062512
2016-01-05 06:00:00,11559.999683001408,6735.2193150738085,4456.795466010538
