,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
NL_STUR_GEO,NL_STUR_GEO,12.0,1.0,NL,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
NL_STUR_NUC,NL_STUR_NUC,600.0,2.0,NL,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
NL_COMC_GAS,NL_COMC_GAS,419.7558139534885,86.0,NL,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
NL_STUR_OIL,NL_STUR_OIL,135.0,1.0,NL,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
NL_HROR_WAT,NL_HROR_WAT,523.0,1,NL,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
NL_WTOF_WIN,NL_WTOF_WIN,96738.99999999997,1,NL,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
NL_WTON_WIN,NL_WTON_WIN,48864.999999999985,1,NL,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
NL_PHOT_SUN,NL_PHOT_SUN,101107.99999999999,1,NL,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
NL_P2HT_OTH,NL_P2HT_OTH,0.0029999999262681886,13562667.0,NL,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.4574215802522366,5.0,0.09716143868348438,0.0,,,,
NL_P2GS_HYD,NL_P2GS_HYD,10070.0,1,NL,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,0,0.0,190916.0,0.72
NL_STUR_BIO_CHP,NL_STUR_BIO_CHP,177.58333333333334,12.0,NL,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,back-pressure,0.45,0.0,,,,,,,,
