,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,NL_STUR_GEO,NL_STUR_GEO,12.0,1.0,NL,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
1,1,NL_STUR_NUC,NL_STUR_NUC,600.0,2.0,NL,STUR,NUC,0.34,24,24,0.05,0.05,300.0,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
2,2,NL_COMC_GAS,NL_COMC_GAS,1281.1226643568625,52.0,NL,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
3,3,NL_COMC_CCS_GAS,NL_COMC_CCS_GAS,721.6459749327054,20.0,NL,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
4,4,NL_STUR_OIL,NL_STUR_OIL,135.0,1.0,NL,STUR,OIL,0.33,5,5,0.02,0.02,120.0,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,
5,5,NL_WTOF_WIN,NL_WTOF_WIN,96738.99999999996,1.0,NL,WTOF,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
6,6,NL_WTON_WIN,NL_WTON_WIN,48864.99999999999,1.0,NL,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,NL_PHOT_SUN,NL_PHOT_SUN,101108.0,1.0,NL,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,NL_BATS_OTH,NL_BATS_OTH,19242.0,1.0,NL,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,76968.0,0.0,19242.0,0.89
9,9,NL_BEVS_OTH,NL_BEVS_OTH,18559.0,1.0,NL,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,191355.06,0.0,18559.0,0.94
10,10,NL_P2HT_OTH,NL_P2HT_OTH,40687.99999999999,1.0,NL,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.4574215802522366,5.0,0.09716143868348437,0.0,203440.0,0.03,,
11,11,NL_P2GS_HYD,NL_P2GS_HYD,10070.0,1.0,NL,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,76622.99999999999,0.0,190916.0,0.72
12,12,NL_STUR_BIO_CHP,NL_STUR_BIO_CHP,177.58333333333337,12.0,NL,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4735.555555555556,0.03,,
