PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
905.0,CHINON 1,FR,STUR,NUC,0.405,24,24,0.0037900552,0.0037900552,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
890.0,DAMPIERRE 4,FR,STUR,NUC,0.405,24,24,0.0038539326000000002,0.0038539326000000002,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
890.0,DAMPIERRE 3,FR,STUR,NUC,0.405,24,24,0.0038539326000000002,0.0038539326000000002,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
890.0,DAMPIERRE 1,FR,STUR,NUC,0.405,24,24,0.0038539326000000002,0.0038539326000000002,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
890.0,DAMPIERRE 2,FR,STUR,NUC,0.405,24,24,0.0038539326000000002,0.0038539326000000002,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
880.0,BUGEY 5,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
880.0,FESSENHEIM 2,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
880.0,FESSENHEIM 1,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
880.0,BUGEY 4,FR,STUR,NUC,0.405,24,24,0.0038977273,0.0038977273,200000.0,0,0,0.9,0.405,72.0,205.8,0.0,,,,,,,,,,
808.0,REVIN,FR,HPHS,WAT,0.86,0,0,0.37128712869999997,0.37128712869999997,0.0,0,0,0.0,0.86,0.3,18000.0,0.0,,,29896.0,0.0,808.0,0.86,,,,
796.0,DK6,FR,COMC,GAS,0.525,5,1,0.014032663300000001,0.014032663300000001,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
742.0,SUPER BISSORTE,FR,HPHS,WAT,0.86,0,0,0.4043126685,0.4043126685,0.0,0,0,0.0,0.86,0.3,18000.0,0.0,,,27454.0,0.0,742.0,0.86,,,,
685.0,CORDEMAIS 3,FR,STUR,OIL,0.41,8,6,0.0072992701,0.0072992701,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
