,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
UK_STUR_LIG,UK_STUR_LIG,448.0,1.0,UK,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
UK_STUR_NUC,UK_STUR_NUC,955.7894736842105,19.0,UK,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
UK_COMC_GAS,UK_COMC_GAS,417.6268656716417,134.0,UK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
UK_HROR_WAT,UK_HROR_WAT,15861.0,1,UK,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_WTOF_WIN,UK_WTOF_WIN,68493.0,1,UK,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_WTON_WIN,UK_WTON_WIN,220196.0,1,UK,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_PHOT_SUN,UK_PHOT_SUN,143448.0,1,UK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_P2HT_OTH,UK_P2HT_OTH,0.0029999998810750863,16817334.0,UK,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.6134873727075176,5.0,0.04416951514477883,0.00021816772740533926,,,,
UK_P2GS_HYD,UK_P2GS_HYD,41216.0,1,UK,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,0,0.0,304838.0,0.72
UK_STUR_BIO_CHP,UK_STUR_BIO_CHP,178.34883720930233,43.0,UK,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,back-pressure,0.45,0.0,,,,,,,,
UK_COMC_GAS_CHP,UK_COMC_GAS_CHP,343.4,5.0,UK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,back-pressure,0.95,0.0,,,,,,,,
