,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
UK_STUR_LIG,UK_STUR_LIG,448.0,1.0,UK,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
UK_STUR_NUC,UK_STUR_NUC,955.7894736842105,19.0,UK,STUR,NUC,0.34,24,24,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
UK_COMC_GAS,UK_COMC_GAS,417.6268656716417,134.0,UK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
UK_HDAM_WAT,UK_HDAM_WAT,1501.0,1,UK,HDAM,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,7505.0,0.0,0.0,0.89
UK_HPHS_WAT,UK_HPHS_WAT,671.0,1,UK,HPHS,WAT,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,3355.0,0.0,671.0,0.89
UK_HROR_WAT,UK_HROR_WAT,13689.0,1,UK,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_WTOF_WIN,UK_WTOF_WIN,68493.0,1,UK,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_WTON_WIN,UK_WTON_WIN,220196.0,1,UK,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_PHOT_SUN,UK_PHOT_SUN,143448.0,1,UK,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
UK_BATS_OTH,UK_BATS_OTH,31219444.444444448,1,UK,BATS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,124877777.77777779,0.0,31219444.444444448,0.89
UK_BEVS_OTH,UK_BEVS_OTH,206737.5,1,UK,BEVS,OTH,0.89,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,927631.1625,0.0,206737.5,0.89
UK_P2HT_OTH,UK_P2HT_OTH,0.0029999998810750863,16817334.0,UK,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.6134873727075176,5.0,0.04416951514477883,0.00021816772740533926,0.014999999405375431,0.03,,
UK_P2GS_HYD,UK_P2GS_HYD,41216.0,1,UK,P2GS,HYD,0.46,0,0,1.0,1.0,0,0.0,0.0,0.15,0.47,0.0,0.0,,,,,,,,29770277.77777778,0.0,304838.0,0.72
UK_STUR_BIO_CHP,UK_STUR_BIO_CHP,178.34883720930233,43.0,UK,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4755.968992248062,0.03,,
UK_COMC_GAS_CHP,UK_COMC_GAS_CHP,343.4,5.0,UK,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4337.684210526316,0.03,,
