PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
640.0,Claus A,NL,COMC,GAS,0.525,5,1,0.016330409,0.016330409,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
1280.0,Claus C,NL,COMC,GAS,0.585,5,1,0.008423831,0.008423831,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
777.0,Eemshaven 1,NL,STUR,HRD,0.46,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.8,,,,,,,,,,
777.0,Eemshaven 2,NL,STUR,HRD,0.46,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.8,,,,,,,,,,
430.0,Eemshaven 3,NL,COMC,GAS,0.58,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
430.0,Eemshaven 4,NL,COMC,GAS,0.58,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
430.0,Eemshaven 5,NL,COMC,GAS,0.58,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
800.0,Maasvlakte,NL,STUR,HRD,0.395,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
459.0,Velsen 1,NL,COMC,GAS,0.525,5,1,0.024495614,0.024495614,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
361.0,Velsen 2,NL,COMC,GAS,0.525,5,1,0.030941827999999998,0.030941827999999998,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435.0,Sloecentrale 1,NL,COMC,GAS,0.5870000000000001,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435.0,Sloecentrale 2,NL,COMC,GAS,0.5870000000000001,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435.0,Enecogen 1,NL,COMC,GAS,0.59,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435.0,Enecogen 2,NL,COMC,GAS,0.59,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
820.0,Rijnmond,NL,COMC,GAS,0.5,5,1,0.013297618999999998,0.013297618999999998,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
358.2,Moerdijk I,NL,COMC,GAS,0.525,5,1,0.031114206000000002,0.031114206000000002,112542.12,0,0,0.4,0.525,1,0.45,Steam,2.8,,,,,,,,
430.0,Moerdijk II,NL,COMC,GAS,0.58,5,1,0.026159251,0.026159251,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
800.0,MVL380 CR10,NL,STUR,HRD,0.395,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
249.0,Diemen,NL,COMC,GAS,0.525,5,1,0.016330409,0.016330409,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435.0,Diemen 34,NL,COMC,GAS,0.59,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,DHN,1.6730769231,,,,,,,,
640.0,Amer,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
520.0,Maasvlakte 1,NL,STUR,HRD,0.395,8,6,0.012254902,0.012254902,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
520.0,Maasvlakte 2,NL,STUR,HRD,0.395,8,6,0.012254902,0.012254902,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
