Date,Date,US retail regular gas,Refiner Acquisition
4M 2010,2010,2.86,81.15
5M 2010,2010,2.84,72.84
6M 2010,2010,2.73,72.73
7M 2010,2010,2.73,73.69
8M 2010,2010,2.72,74.42
9M 2010,2010,2.69,73.57
10M 2010,2010,2.78,77.32
11M 2010,2010,2.84,80.26
12M 2010,2010,2.97,85.2
1M 2011,2011,3.06,87.19
2M 2011,2011,3.17,89.62
3M 2011,2011,3.51,101.04
4M 2011,2011,3.74,110.64
5M 2011,2011,3.83,105.8
6M 2011,2011,3.6,102.04
7M 2011,2011,3.57,102.24
8M 2011,2011,3.55,95.29
9M 2011,2011,3.52,96.85
10M 2011,2011,3.36,98.07
11M 2011,2011,3.3,104.52
12M 2011,2011,3.18,102.83
1M 2012,2012,3.28,101.63
2M 2012,2012,3.47,103.85
3M 2012,2012,3.73,107.31
4M 2012,2012,3.77,105.99
5M 2012,2012,3.6,99.53
6M 2012,2012,3.41,88.56
7M 2012,2012,3.3,89.18
8M 2012,2012,3.57,93.69
9M 2012,2012,3.69,97.64
10M 2012,2012,3.58,95.69
11M 2012,2012,3.3,92.48
12M 2012,2012,3.16,90.72
1M 2013,2013,3.16,96.05
2M 2013,2013,3.49,96.59
3M 2013,2013,3.53,96.29
4M 2013,2013,3.4,94.63
5M 2013,2013,3.43,95.16
6M 2013,2013,3.44,93.61
7M 2013,2013,3.4,98.31
8M 2013,2013,3.38,100.36
9M 2013,2013,3.33,99.72
10M 2013,2013,3.15,94.54
11M 2013,2013,3.05,87.73
12M 2013,2013,3.08,88.54
1M 2014,2014,3.11,87.76
2M 2014,2014,3.14,93.04
3M 2014,2014,3.3,93.57
4M 2014,2014,3.42,93.43
5M 2014,2014,3.42,93.69
6M 2014,2014,3.43,95.31
7M 2014,2014,3.35,93.93
8M 2014,2014,3.23,88.62
9M 2014,2014,3.15,85.44
10M 2014,2014,2.94,78.69
11M 2014,2014,2.7,70.03
12M 2014,2014,2.35,56.18
1M 2015,2015,1.96,43.55
2M 2015,2015,2.05,45.31
3M 2015,2015,2.28,44.39
4M 2015,2015,2.28,49.35
5M 2015,2015,2.5,54.01
6M 2015,2015,2.58,55.28
7M 2015,2015,2.57,49.05
8M 2015,2015,2.42,41.27
9M 2015,2015,2.17,40.69
10M 2015,2015,2.1,41.03
11M 2015,2015,1.98,37.95
12M 2015,2015,1.87,32.62
1M 2016,2016,1.79,27.48
2M 2016,2016,1.61,26.12
3M 2016,2016,1.8,30.92
4M 2016,2016,1.93,34.37
5M 2016,2016,2.06,39.01
6M 2016,2016,2.15,41.75
7M 2016,2016,2.03,39.28
8M 2016,2016,1.97,38.72
9M 2016,2016,2.01,38.69
10M 2016,2016,2.03,42.34
11M 2016,2016,1.97,39.75
12M 2016,2016,2.03,43.83
1M 2017,2017,2.11,44.94
2M 2017,2017,2.07,46
3M 2017,2017,2.08,43.62
4M 2017,2017,2.17,44.36
5M 2017,2017,2.14,43.29
6M 2017,2017,2.1,40.4
7M 2017,2017,2.05,41.35
8M 2017,2017,2.12,42.94
9M 2017,2017,2.35,45.15
10M 2017,2017,2.22,46.95
11M 2017,2017,2.27,49.33
12M 2017,2017,2.19,50.33
1M 2018,2018,2.26,55.36
2M 2018,2018,2.3,54.64
3M 2018,2018,2.36,53.66
4M 2018,2018,2.4,51.81
5M 2018,2018,2.4,49.97
6M 2018,2018,2.37,49
7M 2018,2018,2.33,48.02
8M 2018,2018,2.3,47.93
9M 2018,2018,2.27,47.84
10M 2018,2018,2.23,47.76
11M 2018,2018,2.16,47.67
12M 2018,2018,2.1,47.58
1M 2019,2019,2.06,47.48
2M 2019,2019,2.07,47.39
3M 2019,2019,2.17,47.3
4M 2019,2019,2.24,47.21
5M 2019,2019,2.29,47.98
6M 2019,2019,2.3,47.89
7M 2019,2019,2.3,48.66
8M 2019,2019,2.28,48.58
9M 2019,2019,2.22,48.49
10M 2019,2019,2.2,49.27
11M 2019,2019,2.15,49.18
12M 2019,2019,2.12,49.94
