,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2014/12/31 23:00,0.001153387,0.000426669,0.00398415,0.052205008,0.021809662,0.067698128,0.003210317,0.004469598,0.226771581,0.929267182,0.001056571,0.072092916,0.213658032,0.022531243,0.047160932,0.032028166,0.014581104,0.300709178,0.00535508,0.010383304,0.365621831
2015/01/01 00:00,0.001153108,0.000429084,0.003990941,0.052555741,0.021842012,0.067831899,0.00321831,0.004480829,0.225985334,0.934075015,0.001052841,0.072302795,0.215404882,0.022589596,0.047269586,0.031835602,0.014486433,0.301279117,0.005359876,0.010394412,0.366796715
2015/01/01 01:00,0.001152828,0.000431498,0.003997732,0.052906474,0.021874361,0.067965669,0.003226304,0.00449206,0.225199086,0.938882848,0.001049111,0.072512675,0.217151732,0.02264795,0.04737824,0.031643038,0.014391763,0.301849057,0.005364671,0.01040552,0.3679716
2015/01/01 02:00,0.001152548,0.000433913,0.004004524,0.053257207,0.021906711,0.06809944,0.003234298,0.004503291,0.224412839,0.943690682,0.001045381,0.072722554,0.218898582,0.022706303,0.047486894,0.031450474,0.014297092,0.302418996,0.005369467,0.010416627,0.369146484
2015/01/01 03:00,0.001152268,0.000436327,0.004011315,0.05360794,0.02193906,0.068233211,0.003242292,0.004514523,0.223626591,0.948498515,0.001041651,0.072932433,0.220645432,0.022764657,0.047595548,0.03125791,0.014202422,0.302988936,0.005374262,0.010427735,0.370321368
2015/01/01 04:00,0.001151988,0.000438742,0.004018106,0.053958672,0.02197141,0.068366982,0.003250286,0.004525754,0.222840344,0.953306348,0.001037922,0.073142312,0.222392282,0.022823011,0.047704202,0.031065346,0.014107752,0.303558875,0.005379058,0.010438843,0.371496253
2015/01/01 05:00,0.001151708,0.000441156,0.004024897,0.054309405,0.022003759,0.068500752,0.00325828,0.004536985,0.222054096,0.958114182,0.001034192,0.073352192,0.224139132,0.022881364,0.047812856,0.030872783,0.014013081,0.304128815,0.005383853,0.010449951,0.372671137
2015/01/01 06:00,0.001151428,0.000443571,0.004031689,0.054660138,0.022036109,0.068634523,0.003266273,0.004548217,0.221267849,0.962922015,0.001030462,0.073562071,0.225885982,0.022939718,0.04792151,0.030680219,0.013918411,0.304698754,0.005388649,0.010461059,0.373846021
2015/01/01 07:00,0.001151149,0.000445985,0.00403848,0.055010871,0.022068458,0.068768294,0.003274267,0.004559448,0.220481601,0.967729848,0.001026732,0.07377195,0.227632832,0.022998072,0.048030164,0.030487655,0.01382374,0.305268693,0.005393444,0.010472167,0.375020906
2015/01/01 08:00,0.001150869,0.0004484,0.004045271,0.055361604,0.022100808,0.068902065,0.003282261,0.004570679,0.219695354,0.972537682,0.001023003,0.073981829,0.229379682,0.023056425,0.048138818,0.030295091,0.01372907,0.305838633,0.00539824,0.010483275,0.37619579
2015/01/01 09:00,0.001150589,0.000450814,0.004052063,0.055712336,0.022133157,0.069035835,0.003290255,0.00458191,0.218909106,0.977345515,0.001019273,0.074191709,0.231126532,0.023114779,0.048247472,0.030102527,0.013634399,0.306408572,0.005403035,0.010494382,0.377370674
