,EE_P2HT_OTH,EE_STUR_BIO_CHP,EE_COMC_GAS_CHP,EE_STUR_GAS_CHP
2016-01-01 00:00:00,351.361869435464,323.04716601563,154.9983061389489,196.5666651236258
2016-01-01 01:00:00,374.99146884194255,344.77256022135947,165.42216883250393,209.786060731355
2016-01-01 02:00:00,428.92859792194804,394.363133951829,189.21576845909695,239.96076809682387
2016-01-01 03:00:00,582.0073071204397,535.1059051106854,256.74427025647526,325.5994613816784
2016-01-01 04:00:00,696.3026520756894,640.1906923014423,307.16404089377954,389.5411031799339
2016-01-01 05:00:00,670.3614614229249,616.3399877929783,295.72045250194196,375.02850582797026
2016-01-01 06:00:00,659.0603486633046,605.9495818684991,290.7351268658939,368.7061861894911
2016-01-01 07:00:00,633.1191580105401,582.0988773600351,279.29153847405627,354.19358883752744
2016-01-01 08:00:00,605.1232195832991,556.3590081380296,266.9415272393009,338.53147882402226
2016-01-01 09:00:00,584.0620548949161,536.9950698242271,257.6506930993931,326.7489740432201
2016-01-01 10:00:00,569.9356639453908,524.007062418628,251.41903605433305,318.8460744951211
2016-01-01 11:00:00,554.0113686931988,509.3660358886798,244.39425902171985,309.93735136817315
2016-01-01 12:00:00,558.8913946575802,513.8528020833413,246.54701327364972,312.66744393933465
2016-01-01 13:00:00,561.4598293756757,516.2142579752685,247.68004182729703,314.10433476626173
2016-01-01 14:00:00,582.7778375358683,535.8143418782635,257.08417882256947,326.03052862975653
2016-01-01 15:00:00,597.9316023726318,549.7469316406335,263.76904728908846,334.50818450862636
2016-01-01 16:00:00,595.1063241827267,547.1493301595137,262.5227158800765,332.92760459900654
2016-01-01 17:00:00,589.7126112747262,542.1902727864667,260.1433559174171,329.91013386245965
2016-01-01 18:00:00,570.4493508890099,524.4793535970134,251.64564176506252,319.1334526605065
2016-01-01 19:00:00,515.4848479217663,473.94419750977306,227.39883071701058,288.38398896426685
2016-01-01 20:00:00,422.50751112670923,388.45949422201124,186.38319707497874,236.36854102950616
2016-01-01 21:00:00,351.61871290727356,323.2833116048227,155.11160899431363,196.7103542063185
2016-01-01 22:00:00,388.86101631965823,357.524422037766,171.5405230221993,217.54527119676132
2016-01-01 23:00:00,394.51157269946833,362.7196250000056,174.0331858402233,220.70643101600086
2016-01-02 00:00:00,403.24425074099304,370.74857503255777,177.88548292262408,225.59185982755298
2016-01-02 01:00:00,427.1306936192812,392.71011482748,188.42264847154385,238.95494451797492
2016-01-02 02:00:00,482.8657270019535,443.9537076822986,213.00936808569003,270.1354754622928
2016-01-02 03:00:00,650.0708271499703,597.684486246754,286.76952692812836,363.6770682952462
2016-01-02 04:00:00,799.8105712149378,735.3573647461052,352.82509160576524,447.4478035050956
2016-01-02 05:00:00,762.3114243307436,700.8801087239692,336.2828747225148,426.46919743196
2016-01-02 06:00:00,747.4145029657898,687.1836645507918,329.71130911136055,418.1352306357829
2016-01-02 07:00:00,718.3911906513107,660.4992129720155,316.90808645514625,401.8983642915069
2016-01-02 08:00:00,688.0836609777838,632.6340334472754,303.53834952210826,384.94305253376723
2016-01-02 09:00:00,663.6835311558766,610.2002024739678,292.774578262459,371.2925896779598
2016-01-02 10:00:00,646.4750185446367,594.3784479980561,285.1832869530222,361.6654211375484
2016-01-02 11:00:00,627.7254451025395,577.1398199869882,276.91217851139703,351.1761181009806
2016-01-02 12:00:00,633.8896884259688,582.8073141276132,279.6314470401505,354.6246560856056
2016-01-02 13:00:00,638.5128709185406,587.0579347330821,281.6708984367156,357.2110595740744
2016-01-02 14:00:00,663.426687684067,609.9640568847751,292.66127540709425,371.14890059526715
2016-01-02 15:00:00,677.2962351617826,622.7159187011814,298.7796295967896,378.9081110606734
2016-01-02 16:00:00,676.7825482181636,622.2436275227961,298.5530238860602,378.62073289528803
2016-01-02 17:00:00,669.0772440638771,615.1592598470148,295.15393822511834,374.3100604145068
2016-01-02 18:00:00,647.7592359036844,595.5591759440197,285.74980122984584,362.3838665510119
2016-01-02 19:00:00,588.6852373874881,541.245690429696,259.69014449595824,329.3353775316889
2016-01-02 20:00:00,489.2868137971922,449.85734741211644,215.84193946980824,273.7277025296105
2016-01-02 21:00:00,408.6379636489936,375.7076324056048,180.2648428852834,228.60933056409988
