,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,BE_STUR_GEO,BE_STUR_GEO,32.25,4.0,BE,STUR,GEO,0.1,2,2,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,
1,1,BE_COMC_GAS,BE_COMC_GAS,963.0409812425636,32.0,BE,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
2,2,BE_COMC_CCS_GAS,BE_COMC_CCS_GAS,744.4844318876884,19.0,BE,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
3,3,BE_HPHS_WAT,BE_HPHS_WAT,1310.0,1.0,BE,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,7860.0,0.0,1310.0,0.89
4,4,BE_HROR_WAT,BE_HROR_WAT,141.0,1.0,BE,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
5,5,BE_WTOF_WIN,BE_WTOF_WIN,3864.0,1.0,BE,WTOF,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
6,6,BE_WTON_WIN,BE_WTON_WIN,18130.0,1.0,BE,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
7,7,BE_PHOT_SUN,BE_PHOT_SUN,156334.0,1.0,BE,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,BE_BATS_OTH,BE_BATS_OTH,7772.0,1.0,BE,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,31088.0,0.0,7772.0,0.89
9,9,BE_BEVS_OTH,BE_BEVS_OTH,13922.0,1.0,BE,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,145869.18000000002,0.0,13922.0,0.94
10,10,BE_P2HT_OTH,BE_P2HT_OTH,14981.000000000002,1.0,BE,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.8173758865248228,5.0,0.054491725768321855,0.0,74905.00000000001,0.03,,
11,11,BE_P2GS_HYD,BE_P2GS_HYD,0.0,1.0,BE,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,204872.0,0.0,135273.0,0.72
12,12,BE_STUR_BIO_CHP,BE_STUR_BIO_CHP,163.77777777777774,9.0,BE,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4367.407407407407,0.03,,
13,13,BE_COMC_GAS_CHP,BE_COMC_GAS_CHP,76.0,1.0,BE,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,960.0,0.03,,
