,HE Bistrica,HE Kokin Brod,HE Pirot,HE Potpec,RHE Bajina Basta G2,HE Uvac,HE Vrla 1-4,HDAM,HROR
2009-12-31 23:00:00+00:00,0.876412143,0.965395726,0.666985417,0.919591193,0.1,0.588569082,0.757673803,0.757673803,1
2010-01-01 00:00:00+00:00,0.876201667,0.965387001,0.666985417,0.919591193,0.1,0.588569082,0.757673803,0.757673803,1
2010-01-01 01:00:00+00:00,0.878765159,0.965427551,0.667303034,0.921764741,0.1,0.588902524,0.757985138,0.757673803,1
2010-01-01 02:00:00+00:00,0.88133438,0.965468184,0.667619517,0.923951838,0.1,0.589235619,0.75829556,0.757985138,1
2010-01-01 03:00:00+00:00,0.883909332,0.965508899,0.667934868,0.926152483,0.1,0.589568366,0.758605068,0.75829556,1
2010-01-01 04:00:00+00:00,0.886490012,0.965549698,0.668249084,0.928366677,0.1,0.589900767,0.758913663,0.758605068,1
2010-01-01 05:00:00+00:00,0.889076423,0.96559058,0.668562168,0.930594418,0.1,0.590232822,0.759221344,0.758913663,1
2010-01-01 06:00:00+00:00,0.891668563,0.965631544,0.668874118,0.932835709,0.1,0.590564529,0.759528112,0.759221344,1
2010-01-01 07:00:00+00:00,0.894266434,0.965672592,0.669184935,0.935090547,0.1,0.59089589,0.759833967,0.759528112,1
2010-01-01 08:00:00+00:00,0.896870033,0.965713723,0.669494618,0.937358935,0.1,0.591226904,0.760138908,0.759833967,1
2010-01-01 09:00:00+00:00,0.899479363,0.965754936,0.669803168,0.93964087,0.1,0.591557571,0.760442936,0.760138908,1
2010-01-01 10:00:00+00:00,0.902094422,0.965796233,0.670110585,0.941936354,0.1,0.591887891,0.76074605,0.760442936,1
2010-01-01 11:00:00+00:00,0.904715212,0.965837612,0.670416869,0.944245386,0.1,0.592217865,0.761048251,0.76074605,1
2010-01-01 12:00:00+00:00,0.907341731,0.965879075,0.670722019,0.946567967,0.1,0.592547491,0.761349538,0.761048251,1
2010-01-01 13:00:00+00:00,0.909973979,0.965920621,0.671026035,0.948904096,0.1,0.592876771,0.761649912,0.761349538,1
2010-01-01 14:00:00+00:00,0.912611958,0.965962249,0.671328919,0.951253773,0.1,0.593205704,0.761949373,0.761649912,1
2010-01-01 15:00:00+00:00,0.915255666,0.966003961,0.671630669,0.953616999,0.1,0.593534291,0.76224792,0.761949373,1
2010-01-01 16:00:00+00:00,0.917905104,0.966045755,0.671931285,0.955993773,0.1,0.59386253,0.762545554,0.76224792,1
2010-01-01 17:00:00+00:00,0.920560271,0.966087633,0.672230768,0.958384096,0.1,0.594190423,0.762842274,0.762545554,1
