,HE Bistrica,HE Kokin Brod,HE Pirot,HE Potpec,RHE Bajina Basta G2,HE Uvac,HE Vrla 1-4
2014-12-31 23:00:00+00:00,0.860191959,0.971209287,0.666929167,0.921031193,0.1,0.588482545,0.732523537
2015-01-01 00:00:00+00:00,0.860191959,0.971209287,0.666929167,0.921031193,0.1,0.588482545,0.732523537
2015-01-01 01:00:00+00:00,0.846743037,0.971128669,0.665760445,0.902195076,0.1,0.58748887,0.732162253
2015-01-01 02:00:00+00:00,0.850348898,0.971178925,0.666021078,0.905802817,0.1,0.587735607,0.732567151
2015-01-01 03:00:00+00:00,0.853957783,0.971229284,0.666280778,0.90941443,0.1,0.587982087,0.732970857
2015-01-01 04:00:00+00:00,0.857569692,0.971279745,0.666539545,0.913029914,0.1,0.58822831,0.733373372
2015-01-01 05:00:00+00:00,0.861184625,0.971330309,0.666797379,0.916649269,0.1,0.588474276,0.733774696
2015-01-01 06:00:00+00:00,0.847750823,0.971250204,0.66562399,0.897832507,0.1,0.58751378,0.733407455
2015-01-01 07:00:00+00:00,0.851371805,0.971300974,0.665879957,0.901459604,0.1,0.587759232,0.733806396
2015-01-01 08:00:00+00:00,0.85499581,0.971351846,0.66613499,0.905090571,0.1,0.588004428,0.734204145
2015-01-01 09:00:00+00:00,0.858622839,0.97140282,0.66638909,0.90872541,0.1,0.588249366,0.734600703
2015-01-01 10:00:00+00:00,0.862252892,0.971453898,0.666642257,0.91236412,0.1,0.588494048,0.734996069
2015-01-01 11:00:00+00:00,0.86588597,0.971505078,0.66689449,0.9160067,0.1,0.588738473,0.735390244
2015-01-01 12:00:00+00:00,0.852470312,0.971425589,0.665715501,0.897213164,0.1,0.587776435,0.735015855
2015-01-01 13:00:00+00:00,0.856109437,0.971476974,0.665965868,0.900863486,0.1,0.588020347,0.735407647
2015-01-01 14:00:00+00:00,0.859751587,0.971528462,0.666215301,0.90451768,0.1,0.588264001,0.735798247
2015-01-01 15:00:00+00:00,0.86339676,0.971580053,0.666463801,0.908175745,0.1,0.588507398,0.736187657
2015-01-01 16:00:00+00:00,0.849993199,0.971500974,0.666711368,0.889397692,0.1,0.588750538,0.735808502
2015-01-01 17:00:00+00:00,0.836592661,0.971421998,0.665527712,0.87062351,0.1,0.587787217,0.735428155
2015-01-01 18:00:00+00:00,0.823195147,0.971343124,0.664343123,0.8518532,0.1,0.586789175,0.735046617
2015-01-01 19:00:00+00:00,0.809800658,0.971264354,0.6631576,0.83308676,0.1,0.585790876,0.734663887
2015-01-01 20:00:00+00:00,0.796409192,0.971185685,0.661971144,0.814324191,0.1,0.584792321,0.734279966
2015-01-01 21:00:00+00:00,0.78302075,0.97110712,0.661075356,0.795565493,0.1,0.585034177,0.733894854
2015-01-01 22:00:00+00:00,0.769635333,0.971042501,0.661317323,0.799250655,0.1,0.585275776,0.73350855
2015-01-01 23:00:00+00:00,0.773304699,0.971094913,0.661558356,0.802939687,0.1,0.585517118,0.733888428
2015-01-02 00:00:00+00:00,0.776977089,0.9710576,0.661798667,0.80663259,0.1,0.58575801,0.734274396
2015-01-02 01:00:00+00:00,0.780652503,0.97111012,0.662038257,0.810329364,0.1,0.585998452,0.734666455
2015-01-02 02:00:00+00:00,0.78433094,0.971162694,0.662277125,0.81403001,0.1,0.586238444,0.735064604
2015-01-02 03:00:00+00:00,0.788012402,0.971215322,0.662515271,0.817734526,0.1,0.586477985,0.735468843
2015-01-02 04:00:00+00:00,0.791696888,0.971268005,0.662752695,0.821442913,0.1,0.586717077,0.735879173
2015-01-02 05:00:00+00:00,0.795384398,0.971320741,0.662989397,0.825155171,0.1,0.586955719,0.736295593
2015-01-02 06:00:00+00:00,0.799074933,0.971373532,0.663225378,0.8288713,0.1,0.58719391,0.736718104
2015-01-02 07:00:00+00:00,0.802768491,0.971426377,0.663460637,0.8325913,0.1,0.587431651,0.737146705
2015-01-02 08:00:00+00:00,0.806465073,0.971479276,0.663695174,0.836315171,0.1,0.587668943,0.737581396
2015-01-02 09:00:00+00:00,0.810164679,0.971532229,0.663928989,0.840042913,0.1,0.587905784,0.738022178
2015-01-02 10:00:00+00:00,0.79681555,0.971585236,0.664162082,0.843774526,0.1,0.588142175,0.738086658
2015-01-02 11:00:00+00:00,0.783469445,0.971507525,0.662964165,0.825070022,0.1,0.58717191,0.737772247
2015-01-02 12:00:00+00:00,0.786527129,0.971429869,0.663195815,0.828809376,0.1,0.587407401,0.737463927
2015-01-02 13:00:00+00:00,0.790238831,0.971483038,0.663426743,0.832552602,0.1,0.587642442,0.737372112
2015-01-02 14:00:00+00:00,0.776901799,0.971419285,0.663656949,0.836299699,0.1,0.587877032,0.737843345
2015-01-02 15:00:00+00:00,0.764256712,0.97134179,0.663886433,0.840050667,0.1,0.588111173,0.737553297
2015-01-02 16:00:00+00:00,0.750925727,0.97126435,0.664115196,0.821365517,0.1,0.588344863,0.737269338
2015-01-02 17:00:00+00:00,0.737597766,0.971186964,0.662912948,0.802684239,0.1,0.588578103,0.73699147
2015-01-02 18:00:00+00:00,0.724272829,0.971109632,0.663140267,0.784006831,0.1,0.588810894,0.736719692
2015-01-02 19:00:00+00:00,0.710950916,0.971032354,0.663366864,0.765333295,0.1,0.589043234,0.736454005
2015-01-02 20:00:00+00:00,0.697632028,0.97095513,0.66216245,0.74666363,0.1,0.588034455,0.736194408
2015-01-02 21:00:00+00:00,0.684316163,0.970877961,0.662387604,0.727997835,0.1,0.588265895,0.735940902
2015-01-02 22:00:00+00:00,0.671003322,0.970931617,0.662612036,0.723290709,0.1,0.588496885,0.735693486
2015-01-02 23:00:00+00:00,0.674745265,0.970985328,0.662835746,0.727072645,0.1,0.588727425,0.736219533
2015-01-03 00:00:00+00:00,0.678490232,0.971038989,0.663058804,0.730858451,0.1,0.588957434,0.736741912
2015-01-03 01:00:00+00:00,0.682238223,0.971092601,0.663281211,0.734648129,0.1,0.589186914,0.737260623
2015-01-03 02:00:00+00:00,0.685989237,0.971146164,0.663502967,0.738441677,0.1,0.589415863,0.737775665
2015-01-03 03:00:00+00:00,0.689743276,0.971199677,0.663724071,0.742239097,0.1,0.589644282,0.73828704
2015-01-03 04:00:00+00:00,0.693500339,0.971253141,0.663944523,0.746040387,0.1,0.589872171,0.738794745
