,EL_P2HT_OTH,EL_STUR_BIO_CHP,EL_COMC_GAS_CHP
2016-01-01 00:00:00,2859.3171393020693,137.19178639324463,3.4032350214363083
2016-01-01 01:00:00,3180.7667336936693,152.61513467588108,3.785832846008862
2016-01-01 02:00:00,3920.765164026001,188.1207122804241,4.666598585247428
2016-01-01 03:00:00,5384.919516858965,258.37173426731346,6.409273891130364
2016-01-01 04:00:00,6434.6134228690535,308.736690344476,7.6586473914038535
2016-01-01 05:00:00,6283.854074148033,301.50316452034605,7.479209619942958
2016-01-01 06:00:00,6054.904283547974,290.5180134382775,7.206707512775226
2016-01-01 07:00:00,5625.112377533133,269.8963347328764,6.695157798203654
2016-01-01 08:00:00,5255.624211006699,252.16806635712743,6.255383192216443
2016-01-01 09:00:00,4928.042032938311,236.45047295622126,5.865486204059039
2016-01-01 10:00:00,4769.616954621306,228.84914073425418,5.676924478117081
2016-01-01 11:00:00,4799.2577757257795,230.27132547255772,5.712203768777189
2016-01-01 12:00:00,4819.69972131507,231.25214253345666,5.736534314060022
2016-01-01 13:00:00,4985.279480588326,239.19676072673843,5.933611730850973
2016-01-01 14:00:00,5186.121596003109,248.83328835007086,6.172659338254809
2016-01-01 15:00:00,5373.676446784853,257.832284883819,6.3958920912248045
2016-01-01 16:00:00,5541.3004006170395,265.87498478319065,6.595402562544038
2016-01-01 17:00:00,5639.932788085369,270.60742710202817,6.7127974435337086
2016-01-01 18:00:00,5450.333742744694,261.51034886219014,6.487131636035429
2016-01-01 19:00:00,4947.972929887871,237.40676959059778,5.889208485709801
2016-01-01 20:00:00,3775.1163017023027,181.13239072151887,4.493243450107241
2016-01-01 21:00:00,2886.9137658476116,138.51588942545825,3.4360812575681337
2016-01-01 22:00:00,2766.3062868707952,132.72906876615428,3.292531040399417
2016-01-01 23:00:00,2906.8446627971703,139.47218605983477,3.459803539218896
2016-01-02 00:00:00,3004.966001625767,144.18010795214985,3.5765901565764957
2016-01-02 01:00:00,3346.857541606658,160.58427329568528,3.983518526431883
2016-01-02 02:00:00,4140.516079110878,198.66449568508813,4.928151947037886
2016-01-02 03:00:00,5715.056938126012,274.2119298008319,6.802212197448121
2016-01-02 04:00:00,6840.8970914562115,328.2304294298432,8.142216978900166
2016-01-02 05:00:00,6678.89467266108,320.45745422221876,7.949397407533711
2016-01-02 06:00:00,6415.193574559226,307.80491413662196,7.6355333733851625
2016-01-02 07:00:00,5954.73875016045,285.71200983987245,7.087487840889341
2016-01-02 08:00:00,5561.742346206331,266.8558018440896,6.619733107826872
2016-01-02 09:00:00,5212.185076629456,250.0838301027171,6.203680783490422
