,CH_P2HT_OTH,CH_STUR_BIO_CHP,CH_COMC_GAS_CHP
2016-01-01 00:00:00,2997.7331355157767,605.7370257949744,43.35801868848238
2016-01-01 01:00:00,3070.0544558747206,620.3506353177099,44.40404547537292
2016-01-01 02:00:00,3241.493442382976,654.9924586883375,46.88367072716521
2016-01-01 03:00:00,3686.9466745540058,745.002977900086,53.32652894442721
2016-01-01 04:00:00,4909.205801895212,991.9788009895016,71.00479838661695
2016-01-01 05:00:00,5796.366540481629,1171.2429592385145,83.83633813496735
2016-01-01 06:00:00,5540.792790846634,1119.6004427179314,80.13982116296773
2016-01-01 07:00:00,5409.116123898275,1092.993193507214,78.23530227209532
2016-01-01 08:00:00,5253.524438663894,1061.5535554901744,75.98488607719142
2016-01-01 09:00:00,5039.153672340965,1018.2367208889186,72.88431265310155
2016-01-01 10:00:00,4897.680491877851,989.6499389141654,70.83810089069816
2016-01-01 11:00:00,4775.224072943383,964.9057793637172,69.06693999656082
2016-01-01 12:00:00,4676.682672294941,944.9940086195916,67.64167640645498
2016-01-01 13:00:00,4683.5978583053575,946.3913258647934,67.74169490400627
2016-01-01 14:00:00,4695.411301073153,948.7784094920132,67.91255983732304
2016-01-01 15:00:00,4907.765138143043,991.6876932300848,70.98396119962713
2016-01-01 16:00:00,5028.492760574906,1016.0825234692327,72.73011746937665
2016-01-01 17:00:00,5033.391017332286,1017.0722898512505,72.80096390514214
2016-01-01 18:00:00,4971.730608739401,1004.6128777482014,71.90913230197653
2016-01-01 19:00:00,4818.443985508489,973.6390121462283,69.69205560625635
2016-01-01 20:00:00,4387.973656360029,886.656013632417,63.465904133688795
2016-01-01 21:00:00,3645.4555584915033,736.6190744288753,52.72641795911949
2016-01-01 22:00:00,3078.1221728868736,621.9808387704453,44.520733722516084
2016-01-01 23:00:00,3134.019926471078,633.2758198358264,45.329216577722306
2016-01-02 00:00:00,3203.459919325682,647.3072138397276,46.33356899063314
2016-01-02 01:00:00,3238.612114878636,654.4102431695036,46.841996353185515
