,DK_P2HT_OTH,DK_STUR_BIO_CHP,DK_COMC_GAS_CHP
2016-01-01 00:00:00,2908.5498064652047,1084.9691609867841,694.7975588626907
2016-01-01 01:00:00,3002.6788553097367,1120.081887927999,717.2832090000458
2016-01-01 02:00:00,3196.607377627992,1192.4225663249606,763.609066511946
2016-01-01 03:00:00,3688.422207132961,1375.883039218619,881.0943308842312
2016-01-01 04:00:00,5035.7150990282025,1878.4603838711919,1202.9371304405904
2016-01-01 05:00:00,5980.029813942432,2230.7157730244267,1428.5160623406427
2016-01-01 06:00:00,5689.326044619356,2122.2752629128026,1359.0724279806989
2016-01-01 07:00:00,5537.73669286571,2065.728260891006,1322.8605978398175
2016-01-01 08:00:00,5338.51577422688,1991.4133729471491,1275.27048690654
2016-01-01 09:00:00,5106.028364430143,1904.689167851377,1219.7336401817474
2016-01-01 10:00:00,4960.487465614298,1850.398405311747,1184.966671093869
2016-01-01 11:00:00,4810.03219878649,1794.2744481928569,1149.0257524004257
2016-01-01 12:00:00,4729.512169052012,1764.2382600865164,1129.791039632327
2016-01-01 13:00:00,4737.072735224263,1767.0585594392244,1131.5971159485805
2016-01-01 14:00:00,4801.715575997015,1791.172118904878,1147.0390684525473
2016-01-01 15:00:00,5030.044674399013,1876.3451593566608,1201.5825732034002
2016-01-01 16:00:00,5197.133186805775,1938.6737750515088,1241.496859792601
2016-01-01 17:00:00,5224.351225025881,1948.8268527212579,1247.9987345311135
2016-01-01 18:00:00,5166.134865499544,1927.1105477054057,1234.0919468959619
2016-01-01 19:00:00,4996.400154932494,1863.79482723711,1193.5455335960728
2016-01-01 20:00:00,4557.8873169418985,1700.2174647800437,1088.7931072533745
2016-01-01 21:00:00,3673.3010747884578,1370.2424405132028,877.4821782517242
2016-01-01 22:00:00,3031.4090067642937,1130.7990254682898,724.1462990018088
2016-01-01 23:00:00,3073.37014902029,1146.4516868758194,734.1700225570153
2016-01-02 00:00:00,3153.134122137545,1176.2058450468894,753.224127693489
2016-01-02 01:00:00,3186.400613295453,1188.615162198805,761.170863485004
2016-01-02 02:00:00,3409.059287068263,1271.6729781360566,814.3598109986672
2016-01-02 03:00:00,3959.846532716794,1477.1317859808373,945.9324706377288
2016-01-02 04:00:00,5343.430142238844,1993.2465675264093,1276.4444365121049
2016-01-02 05:00:00,6003.845597385025,2239.599715985457,1434.205202736841
2016-01-02 06:00:00,5667.778431028439,2114.2374097575844,1353.9251104793764
2016-01-02 07:00:00,5585.368259750896,2083.496146813067,1334.2388786322142
2016-01-02 08:00:00,5397.4881903704445,2013.4117078982722,1289.3578821733167
2016-01-02 09:00:00,5192.974875411037,1937.1226104075195,1240.5035178186617
2016-01-02 10:00:00,5055.75059938467,1885.9341771558684,1207.723232678662
2016-01-02 11:00:00,4923.062663061653,1836.4379235158424,1176.0265933284147
2016-01-02 12:00:00,4865.224331843929,1814.8626334676258,1162.210109509076
2016-01-02 13:00:00,4932.513370776968,1839.9632977067272,1178.2841887237314
2016-01-02 14:00:00,5025.886363004275,1874.7939947126715,1200.589231229461
2016-01-02 15:00:00,5224.351225025881,1948.8268527212579,1247.9987345311135
2016-01-02 16:00:00,5394.841992210155,2012.424603124824,1288.725755462628
2016-01-02 17:00:00,5410.341152863271,2018.2062167978756,1292.4282119109475
2016-01-02 18:00:00,5345.320283781907,1993.9516423645862,1276.895955591168
2016-01-02 19:00:00,5188.816564016299,1935.5714457635302,1239.5101758447224
2016-01-02 20:00:00,4738.206820150101,1767.4816043421306,1131.8680273960185
2016-01-02 21:00:00,3863.071285711974,1441.0319542661746,922.8146937896851
2016-01-02 22:00:00,3231.7640103289623,1205.536958315053,772.0073213825245
2016-01-02 23:00:00,3430.6069006591797,1279.7108312912744,819.5071284999893
2016-01-03 00:00:00,3515.2852417883983,1311.2981840416046,839.7351832420277
2016-01-03 01:00:00,3598.829497991779,1342.4624918890286,859.6923265366281
2016-01-03 02:00:00,3825.6464831593285,1427.0714724702696,913.8746160242306
2016-01-03 03:00:00,4318.973425898747,1611.0960052344699,1031.7210956597664
2016-01-03 04:00:00,5643.962647585846,2105.353466796554,1348.2359700831782
2016-01-03 05:00:00,6692.613175677148,2496.5289870171596,1598.7387551475276
2016-01-03 06:00:00,6437.822095672269,2401.4848988308986,1537.8739832897872
2016-01-03 07:00:00,6383.76404754067,2381.319758459036,1524.9605376285754
2016-01-03 08:00:00,6199.664261246342,2312.6454692205953,1480.9825793278046
2016-01-03 09:00:00,5946.0072661673,2218.0244259372403,1420.3887189175023
2016-01-03 10:00:00,5695.374497557157,2124.531502394969,1360.5172890337014
2016-01-03 11:00:00,5580.453891738933,2081.6629522338067,1333.0649290266495
2016-01-03 12:00:00,5501.067946930291,2052.049809030372,1314.1011277059888
2016-01-03 13:00:00,5533.20035316236,2064.0360812793815,1321.7769520500656
2016-01-03 14:00:00,5575.917552035582,2079.970772622182,1331.9812832368975
2016-01-03 15:00:00,5792.905801179204,2160.9133640449027,1383.8156735133707
2016-01-03 16:00:00,5934.288388600309,2213.6529619405433,1417.5893006273097
2016-01-03 17:00:00,5947.897407710362,2218.7295007754174,1420.8402379965655
2016-01-03 18:00:00,5859.81681180363,2185.8730133163685,1399.7994489122134
2016-01-03 19:00:00,5608.806014884876,2092.2390748064618,1339.8377152126
2016-01-03 20:00:00,5108.6745625904305,1905.6762726248248,1220.365766892436
2016-01-03 21:00:00,4236.185226312591,1580.2137273223163,1011.9445599967913
2016-01-03 22:00:00,3567.075120068322,1330.6172346076548,852.1068060083637
2016-01-03 23:00:00,3261.2502184007435,1216.5361257906143,779.0510190159127
2016-01-04 00:00:00,3344.794474604124,1247.700433638038,799.0081623105131
2016-01-04 01:00:00,3424.558447721379,1277.4545918091078,818.0622674469865
2016-01-04 02:00:00,3646.8390931855765,1360.3713927787246,871.1609111448373
2016-01-04 03:00:00,4110.3017995446025,1533.2557430997276,981.8733893311719
2016-01-04 04:00:00,5405.426784851307,2016.3730222186155,1291.2542623053828
2016-01-04 05:00:00,6402.287434662685,2388.2294918731704,1529.385424603396
2016-01-04 06:00:00,6163.751571928147,2299.2490472952322,1472.403716825601
2016-01-04 07:00:00,6155.812977447282,2296.2877329748885,1470.5073366935346
2016-01-04 08:00:00,5918.7892279471935,2207.8713482674916,1413.88684417899
2016-01-04 09:00:00,5676.851110435142,2117.621768980834,1356.0924020588807
2016-01-04 10:00:00,5459.862861291519,2036.6791775581128,1304.2580117824073
2016-01-04 11:00:00,5333.223377906304,1989.4391634002534,1274.0062334851625
2016-01-04 12:00:00,5247.788980159861,1957.5697807146526,1253.5975711114988
2016-01-04 13:00:00,5311.675764315387,1981.4013102450356,1268.8589159838405
2016-01-04 14:00:00,5378.964803248427,2006.5019744841372,1284.9329951984957
2016-01-04 15:00:00,5571.3812123322305,2078.278593010557,1330.8976374471454
2016-01-04 16:00:00,5677.229138743754,2117.7627839484694,1356.1827058746933
2016-01-04 17:00:00,5662.486034707863,2112.263200210689,1352.6608570579992
2016-01-04 18:00:00,5588.770514528409,2084.7652815217853,1335.0516129745283
2016-01-04 19:00:00,5377.83071832259,2006.0789295812313,1284.662083751058
2016-01-04 20:00:00,4860.309963831965,1813.0294388883656,1161.0361599035111
2016-01-04 21:00:00,4001.429646664179,1492.6434324207319,955.8658903771227
2016-01-04 22:00:00,3382.597305465382,1261.8019304015784,808.0385438917801
2016-01-04 23:00:00,3238.946548192601,1208.2162427001258,773.7230938829653
2016-01-05 00:00:00,3317.576436384018,1237.5473559682894,792.5062875720008
2016-01-05 01:00:00,3397.340409501273,1267.301514139359,811.5603927084743
2016-01-05 02:00:00,3621.133168199921,1350.7823749795173,865.0202516695756
2016-01-05 03:00:00,4076.6572800780823,1520.7054109801768,973.8363497238441
2016-01-05 04:00:00,5357.039161348896,1998.3231063612836,1279.6953738813606
2016-01-05 05:00:00,6344.071075136349,2366.513186857319,1515.478636968245
2016-01-05 06:00:00,6108.937467179322,2278.8018769880987,1459.3096635327634
2016-01-05 07:00:00,6102.132957624295,2276.2636075706614,1457.6841948481356
2016-01-05 08:00:00,5866.2432930500445,2188.2702677661705,1401.3346137810286
2016-01-05 09:00:00,5629.597571858569,2099.9948980264085,1344.8044250822966
2016-01-05 10:00:00,5414.4994642580095,2019.757381441865,1293.4215538848869
2016-01-05 11:00:00,5292.396320576146,1974.20954689563,1264.2534213773943
2016-01-05 12:00:00,5206.205866212476,1942.0581342747582,1243.6641513721052
2016-01-05 13:00:00,5269.336593750779,1965.6076338698706,1258.7448886128211
2016-01-05 14:00:00,5335.869576066592,1990.4262681737014,1274.6383601958514
2016-01-05 15:00:00,5523.371617138433,2060.369692120861,1319.4290528389363
2016-01-05 16:00:00,5630.731656784406,2100.417942929315,1345.0753365297346
2016-01-05 17:00:00,5615.988552748515,2094.9183591915344,1341.5534877130406
2016-01-05 18:00:00,5542.273032569063,2067.4204405026308,1323.9442436295697
2016-01-05 19:00:00,5331.333236363242,1988.7340885620765,1273.5547144060993
2016-01-05 20:00:00,4816.836708341518,1796.8127176102944,1150.6512210850542
2016-01-05 21:00:00,3970.809353666559,1481.2212200422641,948.5512812962962
2016-01-05 22:00:00,3358.403493714177,1252.7769724729126,802.2590996797692
2016-01-05 23:00:00,3218.533019527522,1200.6014344478137,768.8466878290809
2016-01-06 00:00:00,3298.675020953389,1230.496607586519,787.9910967813672
