,DK_P2HT_OTH,DK_STUR_BIO_CHP,DK_COMC_GAS_CHP,DK_ICEN_GAS_CHP
2016-01-01 00:00:00,2908.5498064652047,1067.579090043884,576.6872068384827,135.50042296710834
2016-01-01 01:00:00,3002.6788553097367,1102.1290242030893,595.3504658068713,139.88560691808442
2016-01-01 02:00:00,3196.607377627992,1173.3102138563922,633.8012764525877,148.9201425279267
2016-01-01 03:00:00,3688.422207132961,1353.83015096935,731.3149307412369,171.83228839226362
2016-01-01 04:00:00,5035.7150990282025,1848.3521001396643,998.4468783851609,234.5985357869574
2016-01-01 05:00:00,5980.029813942432,2194.961479776995,1185.6790908471482,278.5912647409263
2016-01-01 06:00:00,5689.326044619356,2088.259072674871,1128.040351302205,265.04826691642586
2016-01-01 07:00:00,5537.73669286571,2032.618415655427,1097.9842595499003,257.98618352549653
2016-01-01 08:00:00,5338.51577422688,1959.4946594228918,1058.4841090425075,248.7050913882901
2016-01-01 09:00:00,5106.028364430143,1874.1604846923242,1012.3881079760056,237.874215364795
2016-01-01 10:00:00,4960.487465614298,1820.739903763432,983.5312617799026,231.09391086228175
2016-01-01 11:00:00,4810.03219878649,1765.5155110109667,953.7000285693857,224.08466101293038
2016-01-01 12:00:00,4729.512169052012,1735.960748055502,937.735072102451,220.33347956089065
2016-01-01 13:00:00,4737.072735224263,1738.7358431686912,939.234129047703,220.6857031714108
2016-01-01 14:00:00,4801.715575997015,1762.4629063864588,952.0510659296085,223.69721504135825
2016-01-01 15:00:00,5030.044674399013,1846.2707788047724,997.3225856762217,234.33436807906725
2016-01-01 16:00:00,5197.133186805775,1907.600380806254,1030.4517441662933,242.118509871563
2016-01-01 17:00:00,5224.351225025881,1917.5907232137351,1035.848349169201,243.38651486943562
2016-01-01 18:00:00,5166.134865499544,1896.2224908421779,1024.3056106907595,240.67439306843028
2016-01-01 19:00:00,4996.400154932494,1833.9216055510806,990.65178226985,232.76697301225252
2016-01-01 20:00:00,4557.8873169418985,1672.9660889861073,903.7064794452283,212.33800360208284
2016-01-01 21:00:00,3673.3010747884578,1348.2799607429713,728.3168168507326,171.12784117122328
2016-01-01 22:00:00,3031.4090067642937,1112.6743856332084,601.0468821988293,141.22405663806106
2016-01-01 23:00:00,3073.37014902029,1128.0761635114084,609.3666482449785,143.17889767644797
2016-01-02 00:00:00,3153.134122137545,1157.3534169555546,625.1816990173882,146.89485676743578
2016-01-02 01:00:00,3186.400613295453,1169.5638354535872,631.7775495764974,148.44464065372452
2016-01-02 02:00:00,3409.059287068263,1251.2903865370088,675.9247766141717,158.81762598354342
2016-01-02 03:00:00,3959.846532716794,1453.4560655328416,785.1310750757871,184.4771160099376
2016-01-02 04:00:00,5343.430142238844,1961.2984712464647,1059.4584960569214,248.93403673512822
2016-01-02 05:00:00,6003.845597385025,2203.7030293835414,1190.4011202246925,279.7007691140648
2016-01-02 06:00:00,5667.778431028439,2080.350051602281,1123.7680390082364,264.0444296264434
2016-01-02 07:00:00,5585.368259750896,2050.101514868519,1107.4283183049886,260.20519227177357
2016-01-02 08:00:00,5397.4881903704445,1981.1404013057677,1070.176753215474,251.45243555034745
2016-01-02 09:00:00,5192.974875411037,1906.0740784939999,1029.6272628464046,241.9247868857769
2016-01-02 10:00:00,5055.75059938467,1855.7061021896159,1002.419379290079,235.53192835483586
2016-01-02 11:00:00,4923.062663061653,1807.0031829531456,976.1109299009048,229.35040399020693
2016-01-02 12:00:00,4865.224331843929,1785.7737053372482,964.6431442697261,226.65589336972764
2016-01-02 13:00:00,4932.513370776968,1810.472051844632,977.9847510824698,229.79068350335712
2016-01-02 14:00:00,5025.886363004275,1844.7444764925183,996.4981043563331,234.14064509328117
2016-01-02 15:00:00,5224.351225025881,1917.5907232137351,1035.848349169201,243.38651486943562
2016-01-02 16:00:00,5394.841992210155,1980.1691180161513,1069.6520832846356,251.32915728666535
2016-01-02 17:00:00,5410.341152863271,1985.8580629981893,1072.7251500224024,252.0512156882317
2016-01-02 18:00:00,5345.320283781907,1961.992245024762,1059.8332602932344,249.02209263775825
2016-01-02 19:00:00,5188.816564016299,1904.547776181746,1028.8027815265161,241.73106389999083
2016-01-02 20:00:00,4738.206820150101,1739.1521074356697,939.4589875894909,220.73853671298883
2016-01-02 21:00:00,3863.071285711974,1417.93484808402,765.9431461765603,179.96865379527947
2016-01-02 22:00:00,3231.7640103289623,1186.2144061327222,640.77189124801,150.5579823168455
2016-01-02 23:00:00,3430.6069006591797,1259.1994076095978,680.1970889081401,159.82146327352586
2016-01-03 00:00:00,3515.2852417883983,1290.280472877317,696.9865266949637,163.76636771135176
2016-01-03 01:00:00,3598.829497991779,1320.9452738780578,713.5511059399995,167.65843860759963
2016-01-03 02:00:00,3825.6464831593285,1404.1981272737335,758.5228142975623,178.22514692320462
2016-01-03 03:00:00,4318.973425898747,1585.2730834093288,856.3362799752621,201.2077375096456
2016-01-03 04:00:00,5643.962647585846,2071.6085019957354,1119.0460096306922,262.93492525330487
2016-01-03 05:00:00,6692.613175677148,2456.514194195077,1326.9652079371585,311.7883400324521
2016-01-03 06:00:00,6437.822095672269,2362.993488880601,1276.4469888821627,299.91840435792244
2016-01-03 07:00:00,6383.76404754067,2343.1515588212983,1265.7287317236103,297.40000554270324
2016-01-03 08:00:00,6199.664261246342,2275.5779928151414,1229.2266951067218,288.8233606265372
2016-01-03 09:00:00,5946.0072661673,2182.4735517676436,1178.9333345935136,277.0062584935855
2016-01-03 10:00:00,5695.374497557157,2090.479148765422,1129.2395968584065,265.330045804842
2016-01-03 11:00:00,5580.453891738933,2048.297703044946,1106.4539312905747,259.9762469249354
2016-01-03 12:00:00,5501.067946930291,2019.1592043564597,1090.7138333654277,256.27789901447375
2016-01-03 13:00:00,5533.20035316236,2030.9533585875138,1097.0848253827492,257.77484935918443
2016-01-03 14:00:00,5575.917552035582,2046.6326459770328,1105.5544971234235,259.7649127586234
2016-01-03 15:00:00,5792.905801179204,2126.277875725563,1148.5774314521589,269.87373038055216
2016-01-03 16:00:00,5934.288388600309,2178.172154342201,1176.609796328373,276.4603118972793
2016-01-03 17:00:00,5947.897407710362,2183.167325545941,1179.3080988298266,277.09431439621557
