,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
AT_STUR_GEO,AT_STUR_GEO,39.5,12.0,AT,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
AT_COMC_GAS,AT_COMC_GAS,405.3846153846155,26.0,AT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
AT_HDAM_WAT,AT_HDAM_WAT,3684.0000000000005,1,AT,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,1735630.76,0.0,0.0,0.9,
AT_HPHS_WAT,AT_HPHS_WAT,2055.0,1,AT,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,10275.0,0.0,2055.0,0.9,
AT_HROR_WAT,AT_HROR_WAT,6280.000000000001,1,AT,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
AT_WTON_WIN,AT_WTON_WIN,12362.0,1,AT,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
AT_PHOT_SUN,AT_PHOT_SUN,78132.0,1,AT,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
AT_BATS_OTH,AT_BATS_OTH,128333.33333333334,1,AT,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,513333.3333333334,0.0,0.0,0.9,
AT_BEVS_OTH,AT_BEVS_OTH,68362.0,1,AT,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,280284.19999999995,0.0,68362.0,0.88,
AT_STUR_BIO_CHP,AT_STUR_BIO_CHP,171.75,12.0,AT,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4580.0,0.03,,,
AT_STUR_LIG_CHP,AT_STUR_LIG_CHP,246.0,1.0,AT,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8.0,2.2,0.43,0.395,7.0,1.15,Extraction,0.45,0.23600000000000002,,,,,6560.0,0.03,,,
AT_COMC_GAS_CHP,AT_COMC_GAS_CHP,30.0,1.0,AT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,378.94736842105266,0.03,,,
