0,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK
2016-08-15 04:00:00,158.3656865,230.29785224999998,107.68165529999999,163.3628,199.56765565,1513.126598,151.84831395,26.98044375,182.13327420000002,822.30343797,280.1095608,1092.11266135,39.6231423,120.98304079999998,84.227911,581.7433624,30.232022399999998,11.8535392,21.863652412500002,307.0864370499999,341.1359902,384.8137326,131.527172,159.4404395,420.27979124999996,29.5736,88.5065
2016-08-15 05:00:00,169.01929850000002,233.77252165000002,124.292767,171.2275,227.15835384999997,1823.1069609,169.668693,30.347099999999998,217.7901554,798.9647802,288.46008759999995,1089.40916945,44.0568285,135.948808,86.007734,687.9873592,33.71447015,10.4725946,25.6555857,343.84570145000004,378.6802092,403.71131625,125.39329149999999,167.58273325,473.65773705,34.261050000000004,98.7695
2016-08-15 06:00:00,186.1684015,259.87944894,137.3096889,190.4228,253.88078640000003,2226.47220905,181.99286559999996,32.03049375,252.025885,796.9241558399999,295.7411092,1159.5329882499998,48.94542465,144.474582,93.315548,860.2152860000001,37.837943599999996,10.26051,27.994352924999998,397.60863125,391.2752684,439.29658109999997,126.93399349999999,180.63156,503.6149917,36.66755,106.7305
2016-08-15 07:00:00,195.7357355,297.34582611,144.96252184999997,211.20929999999998,276.20509385,2550.0080846,190.00046259999996,32.54150625,279.727849,881.0115081450001,299.6005276,1298.37260495,53.15450475,150.3212112,110.317382,1020.7243348,40.7348225,10.807652599999999,28.769659424999997,434.99154910000004,394.1606408,468.41344664999997,136.4027345,190.33899649999998,521.0623596,39.6005,111.8565
2016-08-15 08:00:00,201.0891665,325.75209894,151.54567415,223.671,288.9696566,2817.4132765000004,199.37853360000003,32.617856249999996,301.9090354,977.70823131,305.48617279999996,1413.3908032,55.49759219999999,154.291648,126.21577400000001,1144.2530324,42.88938625,10.9445872,28.798866337499998,456.4908297999999,393.4736232,485.12478165,149.77967274999997,197.41736849999998,536.11121805,40.972300000000004,115.4765
2016-08-15 09:00:00,202.7304815,348.5798326,154.58404245,233.32580000000002,301.32351695,2992.1832859,203.5109135,32.34875625,311.49781160000003,1051.06069066,306.5388236,1475.2190913,56.97833475,157.21498400000002,132.141885,1232.055936,44.402377650000005,11.089995400000001,28.2707008125,468.18831885,393.276327,491.6409303,165.91565075,201.38382299999998,547.16095995,42.05745,118.45049999999999
2016-08-15 10:00:00,202.610444,362.37191734,156.65356095,239.716,303.7950189,3040.10561265,198.54695379999998,33.03991875,307.9709338,1108.38238426,304.61438759999993,1546.6851215,57.496137899999994,158.9281736,134.577363,1270.4828324,45.60287875,11.1908594,29.1470406,474.28521185,394.5574228,494.59956525,183.892732,202.24193525,557.0529228,41.80045,120.858
2016-08-15 11:00:00,194.50332149999997,364.32304294,155.44654375,238.5574,298.80866535,3022.0970385,195.48384365,32.8310625,293.189386,1154.77432926,306.0231712,1515.9483502500002,56.366108999999994,159.6535084,137.453417,1250.7679192,46.05792635,10.8623128,28.6881489375,475.2989759999999,391.9904734,497.63712014999993,197.40881674999997,198.52248175,555.8504207999999,39.687799999999996,119.64849999999998
2016-08-15 12:00:00,188.12106599999998,355.94120317,152.445291,240.26469999999998,289.21190765,2947.1498536,187.2925373,32.48115,280.1319614,1177.2638532199999,307.35035999999997,1476.018123,54.7144437,157.26913919999998,139.98352,1213.2707064,46.6138561,10.6274712,28.0563476625,471.53559309999997,387.6662658,492.5294815499999,202.26638250000002,193.74209975,555.11390265,38.5306,116.089
2016-08-15 13:00:00,183.513092,351.74131504,147.86145245,232.4355,283.20439235000003,2803.959767,173.39776655000003,31.20778125,267.4052656,1153.9513984,303.45805720000004,1429.2676384,53.577420450000005,157.43346879999999,139.711894,1160.0937571999998,46.69009079999999,10.3879504,27.5657097375,464.31842405,387.2731814,486.13200659999995,201.753834,188.345847,544.8308982,36.69199999999999,111.5525
2016-08-15 14:00:00,177.57836250000003,335.90712864,140.2094979,219.4499,267.76707650000003,2568.8597287499997,162.43317299999998,30.0497625,250.79189300000002,1119.140344585,301.03638759999996,1386.06871985,53.11200735,156.4623232,141.184537,1082.7635804,46.03707315,10.486520599999999,26.8344695625,455.36815859999996,383.5351104,481.0823646,201.30478125,182.98069649999996,525.4634991,36.2526,107.4215
2016-08-15 15:00:00,178.939065,322.7486695,134.72608505,209.1933,249.14549004999998,2313.9012141,160.26062894999998,28.5976125,231.70743879999998,1084.945383585,297.12944200000004,1355.17840015,53.9785596,155.05427680000003,140.62107699999999,985.3375163999999,44.7790166,11.0157752,26.2441956375,448.26678534999996,379.4230165999999,479.62651635,211.14977525,175.070287,518.56597515,36.3775,102.3125
2016-08-15 16:00:00,178.85657949999998,307.19641279999996,128.4644995,200.94129999999998,225.8695946,2111.9834109,151.04391545000001,27.495712499999996,209.3401464,1053.6196367999999,298.8395268,1350.9039572,55.4954865,150.92999680000003,140.115161,894.8322412,42.94280675,11.8930648,25.509971587499997,435.08338159999994,377.6077034,480.23777190000004,215.45727824999997,172.79337575,511.5884268,37.51915,97.5445
2016-08-15 17:00:00,176.74932549999997,287.52320635,129.68141195,197.8777,217.81778895000002,1942.1170813499996,141.54366994999998,27.334968749999998,200.7504978,1026.351598485,297.74272199999996,1350.63282775,58.4589249,150.31546959999997,134.59508999999997,829.4556616,41.93836715,13.0563276,25.49076255,415.86110535,375.9057498,492.09338775,218.72960875,185.60446925,503.26483559999997,39.17655,97.0185
