PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
3000,KW Janschwalde,DE,STUR,LIG,0.385,8,6,0.0016666667,0.0016666667,136849.915,0,0,0.3,0.385,7,1,,,,,,
2484,KW Boxberg,DE,STUR,LIG,0.385,8,6,0.0020128824,0.0020128824,136849.915,0,0,0.3,0.385,7,1,,,,,,
1782,KW Lippendorf,DE,STUR,LIG,0.385,8,6,0.0028058361,0.0028058361,136849.915,0,0,0.3,0.385,7,1,,,,,,
1600,KW Moorburg,DE,STUR,HRD,0.395,8,6,0.003125,0.003125,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
1524,KW Schwarze Pumpe,DE,STUR,LIG,0.385,8,6,0.0032808399,0.0032808399,136849.915,0,0,0.3,0.385,7,1,,,,,,
1060,PSW Goldisthal,DE,HPHS,WAT,0.86,0,0,0.2830188679,0.2830188679,0,0,0,0,0.86,0.3,0,,,6678,0,1060,0.86
900,Schkopau,DE,STUR,LIG,0.385,8,6,0.0055555556,0.0055555556,136849.915,0,0,0.3,0.385,7,1,,,,,,
870,PSW Markersbach,DE,HPHS,WAT,0.86,0,0,0.3448275862,0.3448275862,0,0,0,0,0.86,0.3,0,,,5481,0,870,0.86
564,HKW Reuter West,DE,STUR,HRD,0.395,8,6,0.0088652482,0.0088652482,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
514,Kraftwerk Rostock,DE,STUR,HRD,0.395,8,6,0.0097276265,0.0097276265,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
444,Heizkraftwerk Mitte,DE,COMC,GAS,0.525,5,1,0.0251576577,0.0251576577,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
359,Industriekraftwerk PCK,DE,STUR,OIL,0.41,8,6,0.0139275766,0.0139275766,35280.965,0,0,0.3,0.41,7,0.79,,,,,,
336,Windpark Baltic 1 and 2,DE,WTOF,WIN,1,0,0,0.4166666667,0.4166666667,0,0,0,0,1,0,0,,,,,,
320,PSW Hohenwarte II,DE,HPHS,WAT,0.86,0,0,0.9375,0.9375,0,0,0,0,0.86,0.3,0,,,2016,0,320,0.86
314,HKW Tiefstack,DE,STUR,HRD,0.395,8,6,0.0159235669,0.0159235669,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
300,Thyrow,DE,COMC,GAS,0.525,5,1,0.0372333333,0.0372333333,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
288,HKW Lichterfelde,DE,COMC,GAS,0.525,5,1,0.0387847222,0.0387847222,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
276,Wilmersdorf,DE,STUR,OIL,0.41,8,6,0.018115942,0.018115942,35280.965,0,0,0.3,0.41,7,0.79,,,,,,
270,Heizkraftwerk Nossener Bruecke,DE,COMC,GAS,0.525,5,1,0.0413703704,0.0413703704,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
256,Brunsb??ttel,DE,STUR,OIL,0.41,8,6,0.01953125,0.01953125,35280.965,0,0,0.3,0.41,7,0.79,,,,,,
250,HKW Wedel,DE,STUR,HRD,0.395,8,6,0.02,0.02,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
213,Charlottenburg,DE,COMC,GAS,0.525,5,1,0.0524413146,0.0524413146,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
167,HKW Nord 2,DE,COMC,GAS,0.525,5,1,0.0668862275,0.0668862275,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
164,HKW Klingenberg,DE,STUR,LIG,0.385,8,6,0.0304878049,0.0304878049,136849.915,0,0,0.3,0.385,7,1,,,,,,
160,HKW Reuter,DE,STUR,HRD,0.395,8,6,0.03125,0.03125,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
152,Ahrensfelde,DE,COMC,GAS,0.525,5,1,0.0734868421,0.0734868421,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
140,Moabit,DE,STUR,HRD,0.395,8,6,0.0357142857,0.0357142857,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
120,PSW Geesthacht,DE,HPHS,WAT,0.86,0,0,2.5,2.5,0,0,0,0,0.86,0.3,0,,,756,0,120,0.86
1824,Vorarlberger Illwerke AG,DE,HPHS,WAT,0.86,0,0,0.1644736842,0.1644736842,0,0,0,0,0.86,0.3,0,,,11491.2,0,1824,0.86
1402,Kernkraftwerk Philippsburg,DE,STUR,NUC,0.405,24,24,0.002446505,0.002446505,200000,0,0,0.9,0.405,72,0,,,,,,
1347,Rheinhafen-Dampfkraftwerk Karlsruhe,DE,STUR,HRD,0.395,8,6,0.0037119525,0.0037119525,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
1310,Kernkraftwerk Neckarwestheim,DE,STUR,NUC,0.405,24,24,0.0026183206,0.0026183206,200000,0,0,0.9,0.405,72,0,,,,,,
1022,HKW Altbach/Deizisau,DE,STUR,HRD,0.395,8,6,0.0048923679,0.0048923679,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
778,Heizkraftwerk Heilbronn,DE,STUR,HRD,0.395,8,6,0.0064267352,0.0064267352,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
455,Schluchseewerk AG 1,DE,HPHS,WAT,0.86,0,0,0.6593406593,0.6593406593,0,0,0,0,0.86,0.3,0,,,2866.5,0,455,0.86
353,Rheinhafen-Dampfkraftwerk Karlsruhe 2,DE,COMC,GAS,0.525,5,1,0.0316430595,0.0316430595,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
235,Schluchseewerk AG 2,DE,HPHS,WAT,0.86,0,0,1.2765957447,1.2765957447,0,0,0,0,0.86,0.3,0,,,1480.5,0,235,0.86
180,Schluchseewerk AG 3,DE,HPHS,WAT,0.86,0,0,1.6666666667,1.6666666667,0,0,0,0,0.86,0.3,0,,,1134,0,180,0.86
178,Heizkraftwerk Stuttgart-Manster,DE,STUR,WST,0.465,7.335,7.335,1.8134831461,1.8134831461,0,0,0,0.3,0.465,0,0,,,,,,
146,Rheinkraftwerk Iffezheim,DE,HROR,WAT,1,0,0,1.5068493151,1.5068493151,0,0,0,0,1,0.3,0,,,,,,
136,Kraftwerk Walheim,DE,STUR,OIL,0.41,8,6,0.0367647059,0.0367647059,35280.965,0,0,0.3,0.41,7,0.79,,,,,,
106,KW Laufenburg,DE,HROR,WAT,1,0,0,2.0754716981,2.0754716981,0,0,0,0,1,0.3,0,,,,,,
100,KW Rheinfelden DE,DE,HROR,WAT,1,0,0,2.2,2.2,0,0,0,0,1,0.3,0,,,,,,
1811,Irsching,DE,COMC,GAS,0.525,5,1,0.0061678631,0.0061678631,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
1410,Isar 2,DE,STUR,NUC,0.405,24,24,0.0024326241,0.0024326241,200000,0,0,0.9,0.405,72,0,,,,,,
1410,Brokdorf,DE,STUR,NUC,0.405,24,24,0.0024326241,0.0024326241,200000,0,0,0.9,0.405,72,0,,,,,,
1360,Grohnde,DE,STUR,NUC,0.405,24,24,0.0025220588,0.0025220588,200000,0,0,0.9,0.405,72,0,,,,,,
1132,Staudinger,DE,STUR,HRD,0.395,8,6,0.0044169611,0.0044169611,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
875,Heyden,DE,STUR,HRD,0.395,8,6,0.0057142857,0.0057142857,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
823,Franken I,DE,COMC,GAS,0.525,5,1,0.0135722965,0.0135722965,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
772,Ingolstadt,DE,STUR,OIL,0.41,8,6,0.0064766839,0.0064766839,35280.965,0,0,0.3,0.41,7,0.79,,,,,,
757,Wilhelmshaven,DE,STUR,HRD,0.395,8,6,0.0066050198,0.0066050198,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
720,Kraftwerk Wilhelmshaven,DE,STUR,HRD,0.395,8,6,0.0069444444,0.0069444444,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
690,KW Mehrum (KWM),DE,STUR,HRD,0.395,8,6,0.0072463768,0.0072463768,117242.17,0,0,0.3,0.395,7,0.95,,,,,,
