,CH_P2HT_OTH,CH_STUR_BIO_CHP,CH_ICEN_GAS_CHP
2016-01-01 00:00:00,6839.787219698731,467.8142605076818,100.04028032395043
2016-01-01 01:00:00,7004.799387340443,479.1004369193915,102.45378574122373
2016-01-01 02:00:00,7395.963689120599,505.8545204451576,108.17504360288756
2016-01-01 03:00:00,8412.333454754418,575.3701727658878,123.04069848378215
2016-01-01 04:00:00,11201.104829798825,766.1110506084085,163.82990159164427
2016-01-01 05:00:00,13225.29791413681,904.5578122484654,193.4362090808257
2016-01-01 06:00:00,12642.167265936812,864.6739936142561,184.90720786520248
2016-01-01 07:00:00,12341.726785409868,844.1250588726172,180.5128972050674
2016-01-01 08:00:00,11986.72052833208,819.8440418912498,175.32049511212884
2016-01-01 09:00:00,11497.600796358238,786.3901962724766,168.16651889519116
2016-01-01 10:00:00,11174.808070015286,764.3124567579368,163.4452792143896
2016-01-01 11:00:00,10895.404997315172,745.2023970966752,159.35866645605824
2016-01-01 12:00:00,10670.567701165906,729.8244196751425,156.07014513053048
2016-01-01 13:00:00,10686.34575703603,730.9035759854255,156.30091855688332
2016-01-01 14:00:00,10713.299935814159,732.747134682159,156.69515649356939
2016-01-01 15:00:00,11197.817734825885,765.8862263770997,163.78182379448748
2016-01-01 16:00:00,11473.276293558465,784.7264969607903,167.81074319623056
2016-01-01 17:00:00,11484.452416466467,785.4908993472408,167.97420770656382
2016-01-01 18:00:00,11343.76475162453,775.8684222472173,165.9164779882511
2016-01-01 19:00:00,10994.017846503448,751.947124035944,160.8010003707634
2016-01-01 20:00:00,10011.833868588232,684.769643720827,146.43535458029996
2016-01-01 21:00:00,8317.665119533673,568.8952349041896,121.65605792566518
2016-01-01 22:00:00,7023.207119188923,480.3594526147217,102.72302140530203
2016-01-01 23:00:00,7150.74640413909,489.08263278950926,104.58843993498738
2016-01-02 00:00:00,7309.184381834919,499.919160738601,106.905789757947
2016-01-02 01:00:00,7389.389499174715,505.40487198253976,108.0788880085739
2016-01-02 02:00:00,7833.804739516538,535.8011080555109,114.5790061841785
2016-01-02 03:00:00,8895.536415776964,608.4193347683047,130.10813466583747
2016-01-02 04:00:00,11894.68186908969,813.5489634145989,173.97431679173732
2016-01-02 05:00:00,13364.670740989572,914.0903596559652,195.47470768027566
2016-01-02 06:00:00,12621.787277104566,863.2800833801405,184.60912552283006
2016-01-02 07:00:00,12471.238327343803,852.9831335861902,182.40716241304685
2016-01-02 08:00:00,12068.240483661053,825.4196828277118,176.51282448161837
2016-01-02 09:00:00,11641.575556173117,796.237497603809,170.2723264106607
2016-01-02 10:00:00,11367.431835429714,777.4871567126418,166.26263812778032
2016-01-02 11:00:00,11057.130069983945,756.263749277076,161.72409407617474
2016-01-02 12:00:00,10892.11790234223,744.9775728653663,159.31058865890142
2016-01-02 13:00:00,10989.415913541328,751.6323701121114,160.73369145474385
2016-01-02 14:00:00,11185.3267739287,765.0318942981254,163.59912816529143
2016-01-02 15:00:00,11644.205232151471,796.417356988856,170.31078864838616
2016-01-02 16:00:00,11964.368282516072,818.3152371183487,174.9935660914623
2016-01-02 17:00:00,11932.154751781236,816.111959651521,174.5224036793253
2016-01-02 18:00:00,11780.94838302588,805.770045011309,172.3108250101107
