,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2014/12/31 23:00,0.057669374,0.008106717,0.033865272,0.25058404,0.22463952,0.73113978,0.0192619,1.407923272,87.08028728,143.107146,0.114109632,23.06973312,14.95606224,2.929061534,9.90379572,3.71526722,5.46791392,90.2127534,0.18207273,1.557495576,159.7767402
2015/01/01 00:00,0.05765538,0.008152592,0.033922998,0.252267558,0.22497272,0.732584504,0.019309863,1.411461121,86.77836823,143.8475523,0.113706814,23.13689448,15.07834174,2.936647506,9.92661306,3.692929815,5.432412505,90.38373523,0.182235778,1.559161756,160.2901647
2015/01/01 01:00,0.057641387,0.008198468,0.033980724,0.253951075,0.22530592,0.734029228,0.019357826,1.41499897,86.47644917,144.5879587,0.113303997,23.20405584,15.20062124,2.944233478,9.9494304,3.670592409,5.396911091,90.55471705,0.182398825,1.560827935,160.8035891
2015/01/01 02:00,0.057627393,0.008244343,0.03403845,0.255634593,0.22563912,0.735473953,0.019405789,1.418536819,86.17453012,145.328365,0.112901179,23.2712172,15.32290074,2.951819449,9.97224774,3.648255004,5.361409676,90.72569888,0.182561873,1.562494115,161.3170136
2015/01/01 03:00,0.0576134,0.008290219,0.034096176,0.25731811,0.22597232,0.736918677,0.019453751,1.422074668,85.87261107,146.0687713,0.112498362,23.33837856,15.44518024,2.959405421,9.99506508,3.625917598,5.325908261,90.8966807,0.18272492,1.564160295,161.830438
2015/01/01 04:00,0.057599406,0.008336094,0.034153902,0.259001628,0.22630552,0.738363401,0.019501714,1.425612517,85.57069201,146.8091777,0.112095544,23.40553992,15.56745974,2.966991393,10.01788242,3.603580193,5.290406847,91.06766253,0.182887968,1.565826474,162.3438625
2015/01/01 05:00,0.057585413,0.008381969,0.034211629,0.260685145,0.22663872,0.739808125,0.019549677,1.429150366,85.26877296,147.549584,0.111692727,23.47270128,15.68973924,2.974577365,10.04069976,3.581242788,5.254905432,91.23864435,0.183051015,1.567492654,162.8572869
2015/01/01 06:00,0.057571419,0.008427845,0.034269355,0.262368663,0.22697192,0.741252849,0.01959764,1.432688215,84.96685391,148.2899903,0.111289909,23.53986264,15.81201874,2.982163336,10.0635171,3.558905382,5.219404017,91.40962618,0.183214063,1.569158834,163.3707114
2015/01/01 07:00,0.057557425,0.00847372,0.034327081,0.26405218,0.22730512,0.742697573,0.019645603,1.436226064,84.66493485,149.0303967,0.110887091,23.607024,15.93429824,2.989749308,10.08633444,3.536567977,5.183902603,91.580608,0.18337711,1.570825013,163.8841358
2015/01/01 08:00,0.057543432,0.008519596,0.034384807,0.265735698,0.22763832,0.744142298,0.019693566,1.439763913,84.3630158,149.770803,0.110484274,23.67418536,16.05657774,2.99733528,10.10915178,3.514230571,5.148401188,91.75158983,0.183540158,1.572491193,164.3975603
