,Unnamed: 0,Unnamed: 0.1,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,0,CZ_STUR_LIG,CZ_STUR_LIG,494.66666666666674,3.0,CZ,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65.0,8.0,2.2,0.43,0.395,7.0,1.15,,,,,,,,,,,
1,1,CZ_STUR_NUC,CZ_STUR_NUC,891.5,6.0,CZ,STUR,NUC,0.34,24,24,0.05,0.05,300.0,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,
2,2,CZ_COMC_GAS,CZ_COMC_GAS,2803.5680361654804,6.0,CZ,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,
3,3,CZ_COMC_CCS_GAS,CZ_COMC_CCS_GAS,482.936982615894,2.0,CZ,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55.0,2.9,0.25,0.062,0.2,1.0,0.03569,,,,,,,,,,,
4,4,CZ_GTUR_GAS,CZ_GTUR_GAS,63.51552152317882,27.0,CZ,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25.0,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,
5,5,CZ_HDAM_WAT,CZ_HDAM_WAT,1077.0,1.0,CZ,HDAM,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,6462.0,0.0,0.0,0.89
6,6,CZ_HPHS_WAT,CZ_HPHS_WAT,1147.0,1.0,CZ,HPHS,WAT,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,6882.0,0.0,1147.0,0.89
7,7,CZ_HROR_WAT,CZ_HROR_WAT,227.0,1.0,CZ,HROR,WAT,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
8,8,CZ_WTON_WIN,CZ_WTON_WIN,43962.0,1.0,CZ,WTON,WIN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
9,9,CZ_PHOT_SUN,CZ_PHOT_SUN,36847.0,1.0,CZ,PHOT,SUN,1.0,0,0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
10,10,CZ_BATS_OTH,CZ_BATS_OTH,2383.0,1.0,CZ,BATS,OTH,0.89,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,,,,,,,,9532.0,0.0,2383.0,0.89
11,11,CZ_BEVS_OTH,CZ_BEVS_OTH,14675.0,1.0,CZ,BEVS,OTH,0.94,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,156645.6,0.0,14675.0,0.94
12,12,CZ_P2HT_OTH,CZ_P2HT_OTH,13434.999999999998,1.0,CZ,P2HT,OTH,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.5831551945275757,5.0,0.04283867570931755,0.000264114768596314,67174.99999999999,0.03,,
13,13,CZ_P2GS_HYD,CZ_P2GS_HYD,3842.0,1.0,CZ,P2GS,HYD,0.46,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,,,,,,,,26160.0,0.0,46013.0,0.72
14,14,CZ_STUR_BIO_CHP,CZ_STUR_BIO_CHP,167.0769230769231,13.0,CZ,STUR,BIO,0.4,4,6,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4455.384615384615,0.03,,
15,15,CZ_COMC_GAS_CHP,CZ_COMC_GAS_CHP,248.5,2.0,CZ,COMC,GAS,0.51,3,3,0.07,0.07,55.0,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,3138.947368421052,0.03,,
16,16,CZ_ICEN_GAS_CHP,CZ_ICEN_GAS_CHP,9.428571428571429,14.0,CZ,ICEN,GAS,0.36,0,0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0076,back-pressure,0.75,0.0,,,,,150.85714285714286,0.03,,
