,HE Fierza,HE Koman,HE Ulza,HE Shkopetit,HE Vau Dejes
2015-01-03 09:00:00+00:00,1.590214961,0.386428558,0.618022025,0.53178581,0.52575271
2015-01-03 10:00:00+00:00,1.590268868,0.386929606,0.618292022,0.532177117,0.526026968
2015-01-03 11:00:00+00:00,1.590322775,0.387430655,0.618562018,0.532568424,0.526301226
2015-01-03 12:00:00+00:00,1.590376681,0.387931703,0.618832015,0.53295973,0.526575484
2015-01-03 13:00:00+00:00,1.590430588,0.388432752,0.619102011,0.533351037,0.526849742
2015-01-03 14:00:00+00:00,1.590484495,0.3889338,0.619372008,0.533742344,0.527124
2015-01-03 15:00:00+00:00,1.590538401,0.389434848,0.619642005,0.53413365,0.527398258
2015-01-03 16:00:00+00:00,1.590592308,0.389935897,0.619912001,0.534524957,0.527672516
2015-01-03 17:00:00+00:00,1.590646215,0.390436945,0.620181998,0.534916264,0.527946774
2015-01-03 18:00:00+00:00,1.590700121,0.390937994,0.620451994,0.535307571,0.528221032
2015-01-03 19:00:00+00:00,1.590754028,0.391439042,0.620721991,0.535698877,0.52849529
2015-01-03 20:00:00+00:00,1.590807935,0.39194009,0.620991987,0.536090184,0.528769548
2015-01-03 21:00:00+00:00,1.590861841,0.392441139,0.621261984,0.536481491,0.529043806
2015-01-03 22:00:00+00:00,1.590915748,0.392942187,0.62153198,0.536872797,0.529318065
2015-01-03 23:00:00+00:00,1.590969655,0.393443235,0.621801977,0.537264104,0.529592323
2015-01-04 00:00:00+00:00,1.589447999,0.393944284,0.622071973,0.537655411,0.529866581
2015-01-04 01:00:00+00:00,1.587926343,0.394445332,0.62234197,0.538046717,0.530140839
2015-01-04 02:00:00+00:00,1.586404687,0.394946381,0.622611966,0.538438024,0.530415097
2015-01-04 03:00:00+00:00,1.584883031,0.395447429,0.622881963,0.538829331,0.530689355
2015-01-04 04:00:00+00:00,1.583361376,0.395948477,0.623151959,0.539220638,0.530963613
2015-01-04 05:00:00+00:00,1.58183972,0.396449526,0.623421956,0.539611944,0.531237871
2015-01-04 06:00:00+00:00,1.580318064,0.396950574,0.623691952,0.540003251,0.531512129
2015-01-04 07:00:00+00:00,1.578796408,0.397451623,0.623961949,0.540394558,0.531786387
2015-01-04 08:00:00+00:00,1.577274753,0.397952671,0.624231945,0.540785864,0.532060645
2015-01-04 09:00:00+00:00,1.575753097,0.398453719,0.624501942,0.541177171,0.532334903
2015-01-04 10:00:00+00:00,1.574231441,0.398954768,0.624771938,0.541568478,0.532609161
2015-01-04 11:00:00+00:00,1.572709785,0.399455816,0.625041935,0.541959785,0.532883419
2015-01-04 12:00:00+00:00,1.571188129,0.399956865,0.625311931,0.542351091,0.533157677
2015-01-04 13:00:00+00:00,1.569666474,0.400457913,0.625581928,0.542742398,0.533431935
2015-01-04 14:00:00+00:00,1.568144818,0.400958961,0.625851924,0.543133705,0.533706194
2015-01-04 15:00:00+00:00,1.566623162,0.40146001,0.626121921,0.543525011,0.533980452
2015-01-04 16:00:00+00:00,1.565101506,0.401961058,0.626391917,0.543916318,0.53425471
2015-01-04 17:00:00+00:00,1.563579851,0.402462106,0.626661914,0.544307625,0.534528968
2015-01-04 18:00:00+00:00,1.562058195,0.402963155,0.62693191,0.544698931,0.534803226
2015-01-04 19:00:00+00:00,1.560536539,0.403464203,0.627201907,0.545090238,0.535077484
2015-01-04 20:00:00+00:00,1.559014883,0.403965252,0.627471903,0.545481545,0.535351742
2015-01-04 21:00:00+00:00,1.557493228,0.4044663,0.6277419,0.545872852,0.535626
2015-01-04 22:00:00+00:00,1.555971572,0.404967348,0.628011897,0.546264158,0.535900258
2015-01-04 23:00:00+00:00,1.554449916,0.405468397,0.628281893,0.546655465,0.536174516
2015-01-05 00:00:00+00:00,1.553677244,0.405969445,0.62855189,0.547046772,0.536448774
2015-01-05 01:00:00+00:00,1.552904571,0.406470494,0.628821886,0.547438078,0.536723032
2015-01-05 02:00:00+00:00,1.552131899,0.406971542,0.629091883,0.547829385,0.53699729
2015-01-05 03:00:00+00:00,1.551359226,0.40747259,0.629361879,0.548220692,0.537271548
2015-01-05 04:00:00+00:00,1.550586554,0.407973639,0.629631876,0.548611998,0.537545806
2015-01-05 05:00:00+00:00,1.549813882,0.408474687,0.629901872,0.549003305,0.537820065
2015-01-05 06:00:00+00:00,1.549041209,0.408975735,0.630171869,0.549394612,0.538094323
2015-01-05 07:00:00+00:00,1.548268537,0.409476784,0.630441865,0.549785919,0.538368581
2015-01-05 08:00:00+00:00,1.547495864,0.409977832,0.630711862,0.550177225,0.538642839
2015-01-05 09:00:00+00:00,1.546723192,0.410478881,0.630981858,0.550568532,0.538917097
2015-01-05 10:00:00+00:00,1.54595052,0.410979929,0.631251855,0.550959839,0.539191355
2015-01-05 11:00:00+00:00,1.545177847,0.411480977,0.631521851,0.551351145,0.539465613
2015-01-05 12:00:00+00:00,1.544405175,0.411982026,0.631791848,0.551742452,0.539739871
2015-01-05 13:00:00+00:00,1.543632502,0.412483074,0.632061844,0.552133759,0.540014129
2015-01-05 14:00:00+00:00,1.54285983,0.412984123,0.632331841,0.552525066,0.540288387
2015-01-05 15:00:00+00:00,1.542087158,0.413485171,0.632601837,0.552916372,0.540562645
2015-01-05 16:00:00+00:00,1.541314485,0.413986219,0.632871834,0.553307679,0.540836903
2015-01-05 17:00:00+00:00,1.540541813,0.414487268,0.63314183,0.553698986,0.541111161
2015-01-05 18:00:00+00:00,1.53976914,0.414988316,0.633411827,0.554090292,0.541385419
2015-01-05 19:00:00+00:00,1.538996468,0.415489365,0.633681823,0.554481599,0.541659677
2015-01-05 20:00:00+00:00,1.538223795,0.415990413,0.63395182,0.554872906,0.541933935
2015-01-05 21:00:00+00:00,1.537451123,0.416491461,0.634221816,0.555264212,0.542208194
2015-01-05 22:00:00+00:00,1.536678451,0.41699251,0.634491813,0.555655519,0.542482452
2015-01-05 23:00:00+00:00,1.535905778,0.417493558,0.634761809,0.556046826,0.54275671
2015-01-06 00:00:00+00:00,1.536314479,0.417994606,0.635031806,0.556438133,0.543030968
2015-01-06 01:00:00+00:00,1.53672318,0.418495655,0.635301802,0.556829439,0.543305226
2015-01-06 02:00:00+00:00,1.53713188,0.418996703,0.635571799,0.557220746,0.543579484
2015-01-06 03:00:00+00:00,1.537540581,0.419497752,0.635841795,0.557612053,0.543853742
2015-01-06 04:00:00+00:00,1.537949282,0.4199988,0.636111792,0.558003359,0.544128
2015-01-06 05:00:00+00:00,1.538357983,0.420499848,0.636381789,0.558394666,0.544402258
2015-01-06 06:00:00+00:00,1.538766683,0.421000897,0.636651785,0.558785973,0.544676516
2015-01-06 07:00:00+00:00,1.539175384,0.421501945,0.636921782,0.559177279,0.544950774
2015-01-06 08:00:00+00:00,1.539584085,0.422002994,0.637191778,0.559568586,0.545225032
2015-01-06 09:00:00+00:00,1.539992786,0.422504042,0.637461775,0.559959893,0.54549929
2015-01-06 10:00:00+00:00,1.540401486,0.42300509,0.637731771,0.5603512,0.545773548
2015-01-06 11:00:00+00:00,1.540810187,0.423506139,0.638001768,0.560742506,0.546047806
2015-01-06 12:00:00+00:00,1.541218888,0.424007187,0.638271764,0.561133813,0.546322065
2015-01-06 13:00:00+00:00,1.541627588,0.424508235,0.638541761,0.56152512,0.546596323
2015-01-06 14:00:00+00:00,1.542036289,0.425009284,0.638811757,0.561916426,0.546870581
2015-01-06 15:00:00+00:00,1.54244499,0.425510332,0.639081754,0.562307733,0.547144839
2015-01-06 16:00:00+00:00,1.542853691,0.426011381,0.63935175,0.56269904,0.547419097
2015-01-06 17:00:00+00:00,1.543262391,0.426512429,0.639621747,0.563090347,0.547693355
2015-01-06 18:00:00+00:00,1.543671092,0.427013477,0.639891743,0.563481653,0.547967613
2015-01-06 19:00:00+00:00,1.544079793,0.427514526,0.64016174,0.56387296,0.548241871
2015-01-06 20:00:00+00:00,1.544488494,0.428015574,0.640431736,0.564264267,0.548516129
2015-01-06 21:00:00+00:00,1.544897194,0.428516623,0.640701733,0.564655573,0.548790387
2015-01-06 22:00:00+00:00,1.545305895,0.429017671,0.640971729,0.56504688,0.549064645
2015-01-06 23:00:00+00:00,1.545714596,0.429518719,0.641241726,0.565438187,0.549338903
2015-01-07 00:00:00+00:00,1.545043423,0.430019768,0.641511722,0.565829493,0.549613161
2015-01-07 01:00:00+00:00,1.54437225,0.430520816,0.641781719,0.5662208,0.549887419
2015-01-07 02:00:00+00:00,1.543701077,0.431021865,0.642051715,0.566612107,0.550161677
2015-01-07 03:00:00+00:00,1.543029904,0.431522913,0.642321712,0.567003414,0.550435935
2015-01-07 04:00:00+00:00,1.542358731,0.432023961,0.642591708,0.56739472,0.550710194
2015-01-07 05:00:00+00:00,1.541687558,0.43252501,0.642861705,0.567786027,0.550984452
2015-01-07 06:00:00+00:00,1.541016385,0.433026058,0.643131701,0.568177334,0.55125871
2015-01-07 07:00:00+00:00,1.540345213,0.433527106,0.643401698,0.56856864,0.551532968
2015-01-07 08:00:00+00:00,1.53967404,0.434028155,0.643671694,0.568959947,0.551807226
2015-01-07 09:00:00+00:00,1.539002867,0.434529203,0.643941691,0.569351254,0.552081484
2015-01-07 10:00:00+00:00,1.538331694,0.435030252,0.644211687,0.56974256,0.552355742
2015-01-07 11:00:00+00:00,1.537660521,0.4355313,0.644481684,0.570133867,0.55263
2015-01-07 12:00:00+00:00,1.536989348,0.436032348,0.644751681,0.570525174,0.552904258
2015-01-07 13:00:00+00:00,1.536318175,0.436533397,0.645021677,0.570916481,0.553178516
2015-01-07 14:00:00+00:00,1.535647002,0.437034445,0.645291674,0.571307787,0.553452774
2015-01-07 15:00:00+00:00,1.534975829,0.437535494,0.64556167,0.571699094,0.553727032
2015-01-07 16:00:00+00:00,1.534304656,0.438036542,0.645831667,0.572090401,0.55400129
2015-01-07 17:00:00+00:00,1.533633484,0.43853759,0.646101663,0.572481707,0.554275548
2015-01-07 18:00:00+00:00,1.532962311,0.439038639,0.64637166,0.572873014,0.554549806
2015-01-07 19:00:00+00:00,1.532291138,0.439539687,0.646641656,0.573264321,0.554824065
2015-01-07 20:00:00+00:00,1.531619965,0.440040735,0.646911653,0.573655628,0.555098323
2015-01-07 21:00:00+00:00,1.530948792,0.440541784,0.647181649,0.574046934,0.555372581
2015-01-07 22:00:00+00:00,1.530277619,0.441042832,0.647451646,0.574438241,0.555646839
2015-01-07 23:00:00+00:00,1.529606446,0.441543881,0.647721642,0.574829548,0.555921097
2015-01-08 00:00:00+00:00,1.528886714,0.442044929,0.647991639,0.575220854,0.556195355
2015-01-08 01:00:00+00:00,1.528166982,0.442545977,0.648261635,0.575612161,0.556469613
2015-01-08 02:00:00+00:00,1.527447249,0.443047026,0.648531632,0.576003468,0.556743871
2015-01-08 03:00:00+00:00,1.526727517,0.443548074,0.648801628,0.576394774,0.557018129
2015-01-08 04:00:00+00:00,1.526007785,0.444049123,0.649071625,0.576786081,0.557292387
2015-01-08 05:00:00+00:00,1.525288052,0.444550171,0.649341621,0.577177388,0.557566645
2015-01-08 06:00:00+00:00,1.52456832,0.445051219,0.649611618,0.577568695,0.557840903
2015-01-08 07:00:00+00:00,1.523848588,0.445552268,0.649881614,0.577960001,0.558115161
2015-01-08 08:00:00+00:00,1.523128855,0.446053316,0.650151611,0.578351308,0.558389419
2015-01-08 09:00:00+00:00,1.522409123,0.446554365,0.650421607,0.578742615,0.558663677
2015-01-08 10:00:00+00:00,1.521689391,0.447055413,0.650691604,0.579133921,0.558937935
2015-01-08 11:00:00+00:00,1.520969659,0.447556461,0.6509616,0.579525228,0.559212194
2015-01-08 12:00:00+00:00,1.520249926,0.44805751,0.651231597,0.579916535,0.559486452
2015-01-08 13:00:00+00:00,1.519530194,0.448558558,0.651501593,0.580307841,0.55976071
2015-01-08 14:00:00+00:00,1.518810462,0.449059606,0.65177159,0.580699148,0.560034968
2015-01-08 15:00:00+00:00,1.518090729,0.449560655,0.652041586,0.581090455,0.560309226
2015-01-08 16:00:00+00:00,1.517370997,0.450061703,0.652311583,0.581481762,0.560583484
2015-01-08 17:00:00+00:00,1.516651265,0.450562752,0.652581579,0.581873068,0.560857742
