,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits
PT_STUR_BIO,161.9204087,PT_STUR_BIO,PT,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,back-pressure,1,0,,,,,161.9204087,2
PT_COMC_GAS,394.2800561,PT_COMC_GAS,PT,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,9
PT_GTUR_GAS,58.04818301,PT_GTUR_GAS,PT,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,7
PT_ICEN_GAS,9.815312958,PT_ICEN_GAS,PT,ICEN,GAS,0.49,0,0,1,1,0,0,0,0.3,0.49,0,0.489795918,,,,,,,,,38
PT_STUR_GAS,61.69426771,PT_STUR_GAS,PT,STUR,GAS,0.38,0,0,0.02,0.02,0,0,0,0.4,0.38,0,0,,,,,,,,,1
PT_STUR_HRD,585.3333333,PT_STUR_HRD,PT,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,3
PT_PHOT_SUN,439,PT_PHOT_SUN,PT,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
PT_HROR_WAT,2986.8,PT_HROR_WAT,PT,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
PT_HPHS_WAT,3134.3,PT_HPHS_WAT,PT,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,2897771,0,1623.4,0.8,,1
PT_WTON_WIN,5045,PT_WTON_WIN,PT,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,1
