,PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
0,630,TE Tuzla,BA,STUR,LIG,0.341,6,1.5,0.025,0.025,75075,0,1.8,0.053968254,0.29,6,1.062,,,,,,,,
1,385,TE Kakanj,BA,STUR,LIG,0.342,6,1.5,0.025,0.025,47250,0,1.8,0.088311688,0.29,6,1.062,,,,,,,,
2,264,TE Ugljevik,BA,STUR,LIG,0.34,6,1.5,0.025,0.025,31500,0,1.8,0.3,0.29,6,1.062,,,,,,,,
3,255,TE Gacko,BA,STUR,LIG,0.342,6,1.5,0.025,0.025,31500,0,1.8,0.3,0.29,6,1.062,,,,,,,,
4,168,HE Trebinje 1,BA,HDAM,WAT,0.787918,0,0,1,1,0,0,0,0,0.5,1,0,,,,1010700,,,,
5,114,HE Grabovica,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
6,420,RHE Capljina,BA,HPHS,WAT,0.83567,0,0,1,1,0,0,0,0,0.5,1,0,,,,3400,0.123529412,250,0.658354,
7,315,HE Visegrad,BA,HDAM,WAT,0.933433,0,0,1,1,0,0,0,0,0.5,1,0,,,,18865.18,,,,
8,210,HE Salakovac,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
9,181,HE Jablanica,BA,HDAM,WAT,0.943061,0,0,1,1,0,0,0,0,0.5,1,0,,,,73535.76,,,,
10,160,HE Rama,BA,HDAM,WAT,0.894185,0,0,1,1,0,0,0,0,0.5,1,0,,,,303000,,,,
11,110,HE Bocac,BA,HDAM,WAT,0.851646,0,0,1,1,0,0,0,0,0.5,1,0,,,,5322,,,,
12,108,HE Dubrovnik,BA,HDAM,WAT,0.899442,0,0,1,1,0,0,0,0,0.5,1,0,,,,821990.8,,,,
13,72,HE Mostar,BA,HROR,WAT,0.849474,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
14,60,HE Mostarsko Blato,BA,HROR,WAT,0.938645,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
15,60,HE Jajce 1,BA,HROR,WAT,0.838246,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
16,30,HE Jajce 2,BA,HROR,WAT,0.782084,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
17,30,HE Pec Mlini,BA,HROR,WAT,0.904135,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
18,8,HE Trebinje 2,BA,HDAM,WAT,0.85,0,0,1,1,0,0,0,0,0.5,1,0,,,,6037,,,,
19,7,HE Bogatici,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
20,5.77,HE Novakovici,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
21,4.8975,HE Mesica Nova,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
22,3.87,HE Bistrica B-5 A,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
23,2.635,HE Majdan,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
24,1.043,HE Botun,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
25,1.898,HE Modrac,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
26,1.536,HE Mujakovici,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
27,1.294,HE Jezernica,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
28,1.23,HE Tresanica T-4,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
29,1.084,HE Osanica,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
30,0.9,HE Vlasenica,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
31,9.4,HE Una Kostela,BA,HROR,WAT,1,0,0,1,1,0,0,0,0,0.5,1,0,,,,,,,,
