,PHOT,WTOF,WTON,HE Raven,HE Vrben,HE Matka ,HE Dosnica,HE Kalimanci,HE Pesocani,HE Popova Sapka,HE Pena cascade,HE Sapuncica,HE Strezevo 1,HE Turija,HE Zrnovci,HROR
2010-01-02 17:00:00+00:00,0,0,0,1,1,0.955692663,1,0.776484749,1,1,1,1,1,0.670122912,0.767017107,0.9426129
2010-01-02 18:00:00+00:00,0,0,0,1,1,0.956697978,1,0.774447691,1,1,1,1,1,0.669132178,0.765193493,0.9423273
2010-01-02 19:00:00+00:00,0,0,0,1,1,0.957703292,1,0.772410634,1,1,1,1,1,0.668141443,0.76336988,0.9420417
2010-01-02 20:00:00+00:00,0,0,0,1,1,0.958708606,1,0.770373576,1,1,1,1,1,0.667150709,0.761546266,0.9417561
2010-01-02 21:00:00+00:00,0,0,0,1,1,0.95971392,1,0.768336519,1,1,1,1,1,0.666159974,0.759722653,0.9414705
2010-01-02 22:00:00+00:00,0,0,0,1,1,0.960719234,1,0.766299461,1,1,1,1,1,0.66516924,0.757899039,0.9411849
2010-01-02 23:00:00+00:00,0,0,0,1,1,0.961724549,1,0.764262404,1,1,1,1,1,0.664178505,0.756075426,0.9408993
2010-01-03 00:00:00+00:00,0,0,0,1,1,0.962347421,1,0.762338639,1,1,1,1,1,0.663491554,0.754351322,0.9405955
2010-01-03 01:00:00+00:00,0,0,0,1,1,0.962970293,1,0.760414875,1,1,1,1,1,0.662804602,0.752627219,0.9402917
2010-01-03 02:00:00+00:00,0,0,0,1,1,0.963593165,1,0.75849111,1,1,1,1,1,0.66211765,0.750903115,0.9399879
2010-01-03 03:00:00+00:00,0,0,0,1,1,0.964216038,1,0.756567346,1,1,1,1,1,0.661430699,0.749179012,0.9396841
2010-01-03 04:00:00+00:00,0,0,0,1,1,0.96483891,1,0.754643581,1,1,1,1,1,0.660743747,0.747454909,0.9393802
2010-01-03 05:00:00+00:00,0,0,0,1,1,0.965461782,1,0.752719817,1,1,1,1,1,0.660056795,0.745730805,0.9390764
2010-01-03 06:00:00+00:00,0,0,0,1,1,0.966084655,1,0.750796052,1,1,1,1,1,0.659369844,0.744006702,0.9387726
2010-01-03 07:00:00+00:00,0,0,0,1,1,0.966707527,1,0.748872288,1,1,1,1,1,0.658682892,0.742282599,0.9384688
