,PHOT,WTOF,WTON,HE Raven,HE Vrben,HE Matka ,HE Dosnica,HE Kalimanci,HE Pesocani,HE Popova Sapka,HE Pena cascade,HE Sapuncica,HE Strezevo 1,HE Turija,HE Zrnovci,HROR
2014-12-31 23:00:00+00:00,0,0,0,0.419805935,0.907936003,0.633301034,0.487433445,0.45612245,0.725599603,0.531131004,0.531107455,0.58000031,0.57370828,0.388281859,0.450390984,0.5983156
2015-01-01 00:00:00+00:00,0,0,0,0.419805935,0.907936003,0.633301034,0.487433445,0.45612245,0.725599603,0.531131004,0.531107455,0.58000031,0.57370828,0.388281859,0.450390984,0.5983156
2015-01-01 01:00:00+00:00,0,0,0,0.419638613,0.909422109,0.632337788,0.487235981,0.454458242,0.733119508,0.533896858,0.533873186,0.583056406,0.574069507,0.387638876,0.448874606,0.5983954
2015-01-01 02:00:00+00:00,0,0,0,0.419471292,0.910908215,0.631374543,0.487038518,0.452794035,0.740639414,0.536662711,0.536638917,0.586112502,0.574430734,0.386995892,0.447358228,0.5984751
2015-01-01 03:00:00+00:00,0,0,0,0.41930397,0.912394321,0.630411297,0.486841055,0.451129827,0.74815932,0.539428565,0.539404649,0.589168598,0.574791961,0.386352909,0.445841849,0.5985548
2015-01-01 04:00:00+00:00,0,0,0,0.419136649,0.913880427,0.629448051,0.486643592,0.449465619,0.755679226,0.542194419,0.54217038,0.592224694,0.575153189,0.385709926,0.444325471,0.5986346
2015-01-01 05:00:00+00:00,0,0,0,0.418969327,0.915366532,0.628484806,0.486446129,0.447801412,0.763199132,0.544960273,0.544936111,0.595280791,0.575514416,0.385066943,0.442809093,0.5987143
2015-01-01 06:00:00+00:00,0,0,0,0.418802006,0.916852638,0.62752156,0.486248666,0.446137204,0.770719038,0.547726126,0.547701842,0.598336887,0.575875643,0.38442396,0.441292715,0.5987941
2015-01-01 07:00:00+00:00,0,0,0,0.418634684,0.918338744,0.626558315,0.486051203,0.444472997,0.778238944,0.55049198,0.550467573,0.601392983,0.57623687,0.383780977,0.439776336,0.5988738
2015-01-01 08:00:00+00:00,0,0,0,0.418467363,0.91982485,0.625595069,0.485853739,0.442808789,0.78575885,0.553257834,0.553233304,0.604449079,0.576598097,0.383137994,0.438259958,0.5989535
2015-01-01 09:00:00+00:00,0,0,0,0.418300042,0.921310956,0.624631823,0.485656276,0.441144581,0.793278756,0.556023688,0.555999035,0.607505175,0.576959324,0.382495011,0.43674358,0.5990333
2015-01-01 10:00:00+00:00,0,0,0,0.41813272,0.922797062,0.623668578,0.485458813,0.439480374,0.800798662,0.558789541,0.558764766,0.610561271,0.577320551,0.381852028,0.435227201,0.599113
2015-01-01 11:00:00+00:00,0,0,0,0.417965399,0.924283168,0.622705332,0.48526135,0.437816166,0.808318568,0.561555395,0.561530497,0.613617367,0.577681779,0.381209045,0.433710823,0.5991928
2015-01-01 12:00:00+00:00,0,0,0,0.417798077,0.925769274,0.621742087,0.485063887,0.436151958,0.815838474,0.564321249,0.564296229,0.616673463,0.578043006,0.380566062,0.432194445,0.5992725
2015-01-01 13:00:00+00:00,0,0,0,0.417630756,0.92725538,0.620778841,0.484866424,0.434487751,0.82335838,0.567087103,0.56706196,0.619729559,0.578404233,0.379923079,0.430678066,0.5993522
2015-01-01 14:00:00+00:00,0,0,0,0.417463434,0.928741486,0.619815595,0.48466896,0.432823543,0.830878286,0.569852956,0.569827691,0.622785655,0.57876546,0.379280096,0.429161688,0.599432
2015-01-01 15:00:00+00:00,0,0,0,0.417296113,0.930227591,0.61885235,0.484471497,0.431159335,0.838398192,0.57261881,0.572593422,0.625841751,0.579126687,0.378637113,0.42764531,0.5995117
2015-01-01 16:00:00+00:00,0,0,0,0.417128791,0.931713697,0.617889104,0.484274034,0.429495128,0.845918098,0.575384664,0.575359153,0.628897848,0.579487914,0.37799413,0.426128932,0.5995915
