,HR_P2HT_OTH,HR_STUR_BIO_CHP,HR_COMC_GAS_CHP
2016-01-01 00:00:00,1171.4635377115305,384.6600462577929,212.21801932860276
2016-01-01 01:00:00,1201.7468614500285,394.6038339516432,217.70403470644837
2016-01-01 02:00:00,1277.1283723386634,419.35599612482457,231.35987154626548
2016-01-01 03:00:00,1452.945942532676,477.0871951819269,263.21033492699496
2016-01-01 04:00:00,1910.4637831862399,627.3170812041261,346.09258164264793
2016-01-01 05:00:00,2269.9420865568973,745.3548487929968,411.2143469192323
2016-01-01 06:00:00,2146.8480008572483,704.9358556489291,388.9150757790686
2016-01-01 07:00:00,2137.0440471289576,701.7166438055962,387.13902763516177
2016-01-01 08:00:00,2060.5732080482903,676.6067914275999,373.28585211268825
2016-01-01 09:00:00,1987.3703535437203,652.5700096640481,360.02469263818386
2016-01-01 10:00:00,1905.235007864485,625.6001682210152,345.1453559658976
2016-01-01 11:00:00,1867.5442524201676,613.2240871344245,338.317437545989
2016-01-01 12:00:00,1857.304567415064,609.8617992091657,336.46245392901966
2016-01-01 13:00:00,1885.84496604631,619.2332825753125,341.63272741461515
2016-01-01 14:00:00,1927.457302981944,632.8970483992364,349.1710650920865
2016-01-01 15:00:00,2008.2854548307405,659.4376615964916,363.81359534518515
2016-01-01 16:00:00,2046.4119415518705,671.9568187650082,370.7204492381562
2016-01-01 17:00:00,2052.294313788845,673.8883458710077,371.78607812450025
2016-01-01 18:00:00,2028.3290935641344,666.019161365083,367.4446271060613
2016-01-01 19:00:00,1949.6795980994025,640.1939285774574,353.1967742182753
2016-01-01 20:00:00,1757.7399706633123,577.1689144890968,318.4256983342323
2016-01-01 21:00:00,1428.9807223079654,469.21801067600217,258.86888390855603
2016-01-01 22:00:00,1189.7642513376732,390.66924169868093,215.53330919722893
2016-01-01 23:00:00,1150.330570786104,377.72085628438657,208.38964888507024
2016-01-02 00:00:00,1179.3067006941633,387.23541573245916,213.63885784372823
2016-01-02 01:00:00,1210.8972182630998,397.6084316720872,219.36167964076142
2016-01-02 02:00:00,1288.0216542589862,422.9328981729722,233.33325837282862
2016-01-02 03:00:00,1468.4144028595344,482.1663960902965,266.01254422071463
2016-01-02 04:00:00,1931.37888447326,634.1847331365695,349.8814843496492
2016-01-02 05:00:00,2275.824458793872,747.2863758989967,412.2799758055765
