,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2015/01/01 15:00,0.000388903,9.88E-05,0.001137792,0.013410456,0.002457034,0.00769904,0.000403671,0.000762281,0.020396009,0.139024009,0.000106641,0.011707521,0.077331513,0.003035215,0.003263015,0.006025437,0.000622245,0.03419826,0.000572954,0.001337937,0.064032953
2015/01/01 16:00,0.000388828,9.88E-05,0.001134474,0.013336041,0.002445188,0.007693526,0.00040222,0.000762355,0.020374233,0.138976441,0.000106748,0.011655711,0.076959609,0.003037543,0.003262995,0.00602262,0.000625832,0.034114006,0.000569726,0.00133075,0.063896214
2015/01/01 17:00,0.000388752,9.88E-05,0.001131156,0.013261625,0.002433342,0.007688012,0.00040077,0.000762429,0.020352457,0.138928873,0.000106855,0.011603901,0.076587706,0.003039871,0.003262974,0.006019802,0.00062942,0.034029753,0.000566498,0.001323563,0.063759476
2015/01/01 18:00,0.000388677,9.88E-05,0.001127839,0.01318721,0.002421496,0.007682497,0.000399319,0.000762503,0.020330681,0.138881305,0.000106962,0.011552091,0.076215802,0.0030422,0.003262954,0.006016984,0.000633008,0.033945499,0.00056327,0.001316376,0.063622737
2015/01/01 19:00,0.000388601,9.87E-05,0.001124521,0.013112795,0.00240965,0.007676983,0.000397869,0.000762576,0.020308905,0.138833736,0.000107069,0.01150028,0.075843899,0.003044528,0.003262934,0.006014166,0.000636596,0.033861246,0.000560042,0.001309189,0.063485998
2015/01/01 20:00,0.000388526,9.87E-05,0.001121204,0.013038379,0.002397804,0.007671468,0.000396418,0.00076265,0.020287129,0.138786168,0.000107176,0.01144847,0.075471995,0.003046856,0.003262913,0.006011349,0.000640184,0.033776992,0.000556814,0.001302002,0.063349259
2015/01/01 21:00,0.00038845,9.87E-05,0.001117886,0.012963964,0.002385958,0.007665954,0.000394968,0.000762724,0.020265353,0.1387386,0.000107283,0.01139666,0.075100092,0.003049185,0.003262893,0.006008531,0.000643771,0.033692739,0.000553586,0.001294815,0.06321252
2015/01/01 22:00,0.000388375,9.87E-05,0.001114568,0.012889549,0.002374112,0.00766044,0.000393517,0.000762798,0.020243577,0.138691032,0.00010739,0.01134485,0.074728188,0.003051513,0.003262873,0.006005713,0.000647359,0.033608485,0.000550358,0.001287628,0.063075781
2015/01/01 23:00,0.0003883,9.87E-05,0.001111251,0.012815133,0.002362266,0.007654925,0.000392067,0.000762872,0.020221801,0.138643464,0.000107497,0.01129304,0.074356285,0.003053841,0.003262852,0.006002895,0.000650947,0.033524232,0.00054713,0.001280441,0.062939042
2015/01/02 00:00,0.000388164,9.87E-05,0.001110404,0.012749831,0.002353142,0.007650786,0.000391549,0.000762599,0.020205347,0.138547086,0.000107421,0.011253701,0.074045439,0.003055365,0.00326154,0.005999464,0.000648181,0.033454141,0.000544752,0.001274497,0.062826817
2015/01/02 01:00,0.000388028,9.86E-05,0.001109557,0.012684528,0.002344018,0.007646646,0.000391031,0.000762326,0.020188894,0.138450709,0.000107346,0.011214363,0.073734592,0.003056889,0.003260228,0.005996033,0.000645414,0.03338405,0.000542375,0.001268553,0.062714593
2015/01/02 02:00,0.000387892,9.86E-05,0.001108709,0.012619225,0.002334894,0.007642506,0.000390513,0.000762054,0.02017244,0.138354332,0.00010727,0.011175025,0.073423746,0.003058413,0.003258915,0.005992601,0.000642648,0.03331396,0.000539997,0.001262609,0.062602368
2015/01/02 03:00,0.000387757,9.86E-05,0.001107862,0.012553923,0.00232577,0.007638367,0.000389996,0.000761781,0.020155986,0.138257955,0.000107194,0.011135686,0.0731129,0.003059937,0.003257603,0.00598917,0.000639881,0.033243869,0.00053762,0.001256665,0.062490143
2015/01/02 04:00,0.000387621,9.86E-05,0.001107015,0.01248862,0.002316646,0.007634227,0.000389478,0.000761508,0.020139533,0.138161577,0.000107118,0.011096348,0.072802054,0.003061461,0.00325629,0.005985738,0.000637115,0.033173778,0.000535243,0.001250721,0.062377918
2015/01/02 05:00,0.000387485,9.86E-05,0.001106168,0.012423317,0.002307522,0.007630087,0.00038896,0.000761236,0.020123079,0.1380652,0.000107042,0.011057009,0.072491208,0.003062984,0.003254978,0.005982307,0.000634348,0.033103687,0.000532865,0.001244777,0.062265693
