,RO_P2HT_OTH,RO_STUR_BIO_CHP,RO_COMC_GAS_CHP,RO_GTUR_GAS_CHP
2016-01-01 00:00:00,6043.718988688104,3494.001021731809,799.2907156506866,2207.110722099795
2016-01-01 01:00:00,6305.431795755839,3645.3026982337233,833.902618892324,2302.6858379632504
2016-01-01 02:00:00,6822.551077190879,3944.2602277073847,902.29240361074,2491.533054850078
2016-01-01 03:00:00,8946.433840227653,5172.121509474208,1183.1790194185203,3267.1555527781193
2016-01-01 04:00:00,11827.9774319872,6838.0024467939065,1564.2673929757568,4319.468833636164
2016-01-01 05:00:00,10799.144297146055,6243.2123794438685,1428.2026993373747,3943.74841258258
2016-01-01 06:00:00,10398.241718333175,6011.442169311849,1375.1827442856413,3797.3424691772875
2016-01-01 07:00:00,9909.050481714312,5728.630429757496,1310.486484525885,3618.6943180108283
2016-01-01 08:00:00,9545.535446768252,5518.474744840037,1262.4110870800998,3485.9419625860296
2016-01-01 09:00:00,9166.254580071123,5299.204501097159,1212.2506352221674,3347.4320700610215
2016-01-01 10:00:00,8874.81191884423,5130.715370810173,1173.706915089053,3240.9998842371733
2016-01-01 11:00:00,8740.126670456531,5052.850996844472,1155.8945931109988,3191.814067295395
2016-01-01 12:00:00,8686.522842502898,5021.861496838056,1148.8054081096993,3172.2384411546873
2016-01-01 13:00:00,9003.641286867245,5205.194337212149,1190.744788285453,3288.0471873988745
2016-01-01 14:00:00,9469.40900202738,5474.464446511596,1252.3432529185907,3458.141283445024
2016-01-01 15:00:00,9744.635379167457,5633.578602006724,1288.742345656354,3558.651431108658
2016-01-01 16:00:00,9542.382280418036,5516.651833074953,1261.9940761976704,3484.7904551659876
2016-01-01 17:00:00,9563.103087862299,5528.630967531215,1264.7344334250636,3492.3575039262614
2016-01-01 18:00:00,9343.28234801883,5401.547975908265,1235.662817621416,3412.0809866433588
2016-01-01 19:00:00,8638.774894913951,4994.257404395367,1142.490671890055,3154.8013287940576
2016-01-01 20:00:00,7453.184347233612,4308.842580724045,985.6945800966132,2721.834538858404
2016-01-01 21:00:00,6179.3051417472925,3572.3862276303907,817.2221835951492,2256.625541161585
2016-01-01 22:00:00,5708.131998558221,3299.991126733657,754.9088431635611,2084.557432395364
2016-01-01 23:00:00,5694.167976150133,3291.918231774003,753.0620806842311,2079.45789953518
2016-01-02 00:00:00,5786.0602526420735,3345.043088927859,765.2149692578869,2113.016115776393
2016-01-02 01:00:00,6023.899085915333,3482.5427192084285,796.669504389702,2199.872675459533
2016-01-02 02:00:00,6567.595055159318,3796.8647907020777,868.5740951171655,2398.4254548867116
2016-01-02 03:00:00,8657.243440679487,5004.934459019426,1144.933164201427,3161.5458722543012
2016-01-02 04:00:00,11318.51584025982,6543.471988749733,1496.890348971812,4133.4181347694375
2016-01-02 05:00:00,10395.539004318707,6009.879673513207,1374.8253063864163,3796.355462817252
2016-01-02 06:00:00,10050.49251513818,5810.401043219805,1329.1924012520026,3670.347650852696
2016-01-02 07:00:00,9626.616867202316,5565.3496187993205,1273.1342240568547,3515.552153387099
2016-01-02 08:00:00,9262.200927584765,5354.67310194898,1224.939680644661,3382.470795842288
2016-01-02 09:00:00,8893.730916945511,5141.652841400673,1176.2089803836293,3247.9089287574234
2016-01-02 10:00:00,8613.099111776495,4979.4136943082585,1139.0950118474154,3145.4247683737176
2016-01-02 11:00:00,8484.26974375348,4904.934727906285,1122.057138651016,3098.3774652120173
2016-01-02 12:00:00,8489.675171782419,4908.059719503571,1122.7720144494665,3100.351477932089
2016-01-02 13:00:00,8732.919433084615,5048.684341381425,1154.9414253797318,3189.1820503353
2016-01-02 14:00:00,9172.110460435804,5302.589908660885,1213.0250840038218,3349.5705838410986
2016-01-02 15:00:00,9401.841151665656,5435.402051545525,1243.4073054379614,3433.4661244441318
2016-01-02 16:00:00,9299.13801911584,5376.027211197099,1229.8246652674052,3395.9598827627765
2016-01-02 17:00:00,9277.065854664344,5363.266828841514,1226.9055890903994,3387.899330822484
2016-01-02 18:00:00,9036.073855040871,5223.944286795863,1195.034043076155,3299.891263719303
2016-01-02 19:00:00,8340.575448650887,4821.862034611775,1103.0533570088778,3045.9016270701204
2016-01-02 20:00:00,7104.083787031386,4107.02020673268,939.5255181133621,2594.346217353795
2016-01-02 21:00:00,5898.673336578277,3410.1470805379768,780.1082150589356,2154.1413807778795
2016-01-02 22:00:00,5675.699430384595,3281.2411771499437,750.6195883728591,2072.713356074936
