,HE Ujmani,HDAM
2010-06-15 00:00:00+00:00,0.145413883,0.145413883
2010-06-15 01:00:00+00:00,0.145315192,0.145315192
2010-06-15 02:00:00+00:00,0.145216501,0.145216501
2010-06-15 03:00:00+00:00,0.145117809,0.145117809
2010-06-15 04:00:00+00:00,0.145019118,0.145019118
2010-06-15 05:00:00+00:00,0.144920427,0.144920427
2010-06-15 06:00:00+00:00,0.144821736,0.144821736
2010-06-15 07:00:00+00:00,0.144723044,0.144723044
2010-06-15 08:00:00+00:00,0.144624353,0.144624353
2010-06-15 09:00:00+00:00,0.144525662,0.144525662
2010-06-15 10:00:00+00:00,0.144426971,0.144426971
2010-06-15 11:00:00+00:00,0.144328279,0.144328279
2010-06-15 12:00:00+00:00,0.144229588,0.144229588
2010-06-15 13:00:00+00:00,0.144130897,0.144130897
2010-06-15 14:00:00+00:00,0.144032206,0.144032206
2010-06-15 15:00:00+00:00,0.143933514,0.143933514
2010-06-15 16:00:00+00:00,0.143834823,0.143834823
2010-06-15 17:00:00+00:00,0.143736132,0.143736132
2010-06-15 18:00:00+00:00,0.143637441,0.143637441
2010-06-15 19:00:00+00:00,0.143538749,0.143538749
2010-06-15 20:00:00+00:00,0.143440058,0.143440058
2010-06-15 21:00:00+00:00,0.143341367,0.143341367
2010-06-15 22:00:00+00:00,0.143242676,0.143242676
2010-06-15 23:00:00+00:00,0.143143984,0.143143984
2010-06-16 00:00:00+00:00,0.143109236,0.143109236
2010-06-16 01:00:00+00:00,0.143074488,0.143074488
2010-06-16 02:00:00+00:00,0.143039739,0.143039739
2010-06-16 03:00:00+00:00,0.143004991,0.143004991
2010-06-16 04:00:00+00:00,0.142970242,0.142970242
2010-06-16 05:00:00+00:00,0.142935494,0.142935494
2010-06-16 06:00:00+00:00,0.142900745,0.142900745
2010-06-16 07:00:00+00:00,0.142865997,0.142865997
2010-06-16 08:00:00+00:00,0.142831248,0.142831248
2010-06-16 09:00:00+00:00,0.1427965,0.1427965
2010-06-16 10:00:00+00:00,0.142761751,0.142761751
2010-06-16 11:00:00+00:00,0.142727003,0.142727003
2010-06-16 12:00:00+00:00,0.142692255,0.142692255
2010-06-16 13:00:00+00:00,0.142657506,0.142657506
2010-06-16 14:00:00+00:00,0.142622758,0.142622758
2010-06-16 15:00:00+00:00,0.142588009,0.142588009
2010-06-16 16:00:00+00:00,0.142553261,0.142553261
2010-06-16 17:00:00+00:00,0.142518512,0.142518512
2010-06-16 18:00:00+00:00,0.142483764,0.142483764
2010-06-16 19:00:00+00:00,0.142449015,0.142449015
2010-06-16 20:00:00+00:00,0.142414267,0.142414267
2010-06-16 21:00:00+00:00,0.142379518,0.142379518
2010-06-16 22:00:00+00:00,0.14234477,0.14234477
2010-06-16 23:00:00+00:00,0.142310022,0.142310022
2010-06-17 00:00:00+00:00,0.142272225,0.142272225
