,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Visegrad,HE Bocac,RHE Capljina
2014-12-31 23:00:00+00:00,0.545138758,0.860105468,0.870623452,0.579043189,0.825006139,0.416351368,0.736104548,0.1
2015-01-01 00:00:00+00:00,0.545138758,0.860105468,0.870623452,0.579043189,0.825006139,0.416351368,0.736104548,0.1
2015-01-01 01:00:00+00:00,0.544148859,0.860066838,0.870564632,0.578328221,0.82493425,0.417331132,0.719901337,0.1
2015-01-01 02:00:00+00:00,0.543460747,0.860028669,0.870718189,0.577613252,0.825457383,0.409618332,0.727971121,0.1
2015-01-01 03:00:00+00:00,0.544648243,0.860161385,0.870873158,0.578506991,0.825984996,0.419794684,0.736044517,0.1
2015-01-01 04:00:00+00:00,0.545835739,0.860294563,0.870818578,0.577792022,0.82651709,0.412083447,0.719852143,0.1
2015-01-01 05:00:00+00:00,0.54484584,0.860428202,0.870971936,0.577077054,0.827053664,0.404372991,0.727932764,0.1
2015-01-01 06:00:00+00:00,0.546033336,0.860562303,0.871131145,0.577970792,0.827594719,0.414551687,0.736016996,0.1
2015-01-01 07:00:00+00:00,0.545043437,0.860696865,0.87112872,0.577255824,0.827549713,0.406842794,0.744104841,0.1
2015-01-01 08:00:00+00:00,0.544053538,0.860661465,0.871290755,0.576540855,0.828099729,0.401406385,0.727926917,0.1
2015-01-01 09:00:00+00:00,0.545241034,0.86079695,0.871454204,0.577434594,0.828654226,0.411587425,0.736021986,0.1
2015-01-01 10:00:00+00:00,0.54642853,0.860932896,0.871619066,0.578328332,0.829213203,0.421769246,0.744120668,0.1
2015-01-01 11:00:00+00:00,0.545438631,0.861069304,0.871574378,0.577613364,0.829186119,0.414063479,0.72795358,0.1
2015-01-01 12:00:00+00:00,0.546626127,0.861206173,0.871742066,0.578507103,0.829754057,0.424246864,0.736059487,0.1
2015-01-01 13:00:00+00:00,0.545636228,0.86117308,0.871700204,0.577792134,0.829735934,0.41654266,0.742234385,0.1
2015-01-01 14:00:00+00:00,0.544646329,0.861140449,0.871659756,0.577077165,0.829722292,0.415828599,0.726078134,0.1
2015-01-01 15:00:00+00:00,0.54365643,0.861278702,0.87162072,0.576362197,0.82971313,0.409030191,0.709925495,0.1
2015-01-01 16:00:00+00:00,0.543384185,0.861246993,0.871583098,0.575647228,0.829708449,0.401328331,0.693776468,0.1
2015-01-01 17:00:00+00:00,0.542394286,0.861215746,0.871546889,0.57493226,0.829708248,0.393627253,0.677631054,0.1
2015-01-01 18:00:00+00:00,0.543581782,0.861355384,0.871723056,0.575825998,0.830303069,0.403815325,0.685758634,0.1
2015-01-01 19:00:00+00:00,0.544769278,0.861495483,0.871900636,0.576719737,0.830902371,0.41400418,0.693889826,0.1
2015-01-01 20:00:00+00:00,0.545956774,0.861636044,0.87207963,0.577613476,0.831506153,0.424193815,0.70202463,0.1
2015-01-01 21:00:00+00:00,0.546365558,0.861606642,0.872049073,0.576898507,0.831523874,0.416495862,0.685893665,0.1
2015-01-01 22:00:00+00:00,0.545375659,0.861577702,0.87201993,0.576183538,0.831546076,0.408798691,0.669766312,0.1
2015-01-01 23:00:00+00:00,0.54438576,0.861549223,0.8719922,0.57546857,0.831572758,0.412785099,0.653642571,0.1
2015-01-02 00:00:00+00:00,0.545573256,0.861689773,0.872174998,0.576362308,0.832190104,0.422977861,0.661791825,0.1
2015-01-02 01:00:00+00:00,0.545803815,0.861658503,0.872146398,0.57564734,0.832807572,0.415283034,0.66994469,0.1
2015-01-02 02:00:00+00:00,0.545615832,0.861796262,0.872328326,0.574932371,0.833425162,0.407588988,0.678101168,0.1
2015-01-02 03:00:00+00:00,0.544625933,0.861932625,0.872509818,0.574217403,0.833452333,0.413615051,0.686261258,0.1
2015-01-02 04:00:00+00:00,0.545813429,0.862067592,0.872690876,0.575111141,0.834070168,0.423810938,0.694424961,0.1
2015-01-02 05:00:00+00:00,0.54482353,0.862201164,0.872730274,0.574396173,0.834097584,0.434007606,0.702592275,0.1
2015-01-02 06:00:00+00:00,0.543833631,0.862273164,0.872699499,0.573681204,0.834125122,0.444205056,0.710763202,0.1
2015-01-02 07:00:00+00:00,0.542843732,0.862233522,0.872879252,0.572966236,0.834152782,0.436514917,0.69466836,0.1
2015-01-02 08:00:00+00:00,0.541853833,0.862347297,0.872847607,0.572251267,0.834180565,0.42882556,0.702846511,0.1
2015-01-02 09:00:00+00:00,0.542600563,0.862304863,0.872815527,0.571536299,0.83420847,0.421136984,0.686758893,0.1
2015-01-02 10:00:00+00:00,0.543788059,0.862431457,0.872993975,0.5717077,0.834827038,0.43133756,0.694944269,0.1
2015-01-02 11:00:00+00:00,0.544975555,0.862556656,0.873171988,0.572601439,0.835445729,0.441538917,0.703133257,0.1
2015-01-02 12:00:00+00:00,0.546163052,0.862680459,0.873349566,0.573495177,0.836064542,0.451741055,0.711325857,0.1
2015-01-02 13:00:00+00:00,0.545173152,0.862632443,0.873315746,0.572780209,0.836092935,0.444055605,0.717609492,0.1
2015-01-02 14:00:00+00:00,0.544183253,0.862583032,0.873281491,0.57206524,0.836121452,0.436370936,0.701539935,0.1
2015-01-02 15:00:00+00:00,0.543193354,0.862532225,0.873246801,0.571350272,0.83615009,0.428687048,0.709743372,0.1
2015-01-02 16:00:00+00:00,0.54438085,0.862650446,0.873422639,0.57224401,0.836769392,0.438892312,0.717950422,0.1
2015-01-02 17:00:00+00:00,0.543390951,0.862596848,0.873387079,0.571529042,0.836798275,0.431209988,0.701891702,0.1
2015-01-02 18:00:00+00:00,0.542401052,0.862541854,0.873351084,0.570814073,0.83682728,0.423528445,0.685836594,0.1
2015-01-02 19:00:00+00:00,0.543588548,0.862655889,0.873525617,0.571707812,0.837446948,0.433736053,0.69405448,0.1
2015-01-02 20:00:00+00:00,0.544776044,0.862768528,0.873699715,0.57260155,0.838066739,0.443944442,0.702275979,0.1
2015-01-02 21:00:00+00:00,0.543786145,0.862709348,0.873662415,0.571886582,0.838096111,0.436265243,0.710087891,0.1
2015-01-02 22:00:00+00:00,0.544973641,0.862819196,0.873835643,0.57278032,0.838716147,0.446475196,0.718316614,0.1
2015-01-02 23:00:00+00:00,0.543983742,0.862927649,0.873797473,0.572065352,0.839048696,0.43879756,0.726548949,0.1
2015-01-03 00:00:00+00:00,0.542993843,0.863035088,0.8737579,0.571350383,0.839641276,0.431120705,0.710515515,0.1
2015-01-03 01:00:00+00:00,0.544181339,0.863141514,0.873927886,0.572244122,0.840257866,0.441333002,0.718755075,0.1
2015-01-03 02:00:00+00:00,0.545368835,0.863246926,0.874096468,0.57313786,0.840872672,0.45154608,0.726998247,0.1
2015-01-03 03:00:00+00:00,0.544378936,0.863261807,0.874052684,0.572422892,0.840895153,0.461759939,0.735245031,0.1
2015-01-03 04:00:00+00:00,0.545566432,0.863365192,0.87421846,0.571707923,0.84091585,0.462590387,0.743495428,0.1
2015-01-03 05:00:00+00:00,0.544576533,0.86329714,0.874259377,0.570992955,0.841525305,0.472805809,0.751749437,0.1
2015-01-03 06:00:00+00:00,0.545764029,0.863398498,0.874422346,0.571886693,0.842132976,0.483022013,0.760007058,0.1
2015-01-03 07:00:00+00:00,0.54477413,0.863328419,0.874583911,0.571171725,0.842633884,0.475350628,0.768268291,0.1
2015-01-03 08:00:00+00:00,0.545420772,0.863257326,0.874533109,0.570456756,0.842647446,0.467680025,0.776533137,0.1
2015-01-03 09:00:00+00:00,0.544430873,0.86318522,0.874480904,0.569741788,0.842659224,0.460010203,0.783351486,0.1
2015-01-03 10:00:00+00:00,0.545618369,0.863282524,0.874638258,0.570635526,0.84325976,0.470229532,0.791623556,0.1
2015-01-03 11:00:00+00:00,0.54462847,0.86320839,0.874583246,0.569920558,0.843267971,0.462561273,0.795993566,0.1
2015-01-03 12:00:00+00:00,0.543638571,0.863299925,0.874526831,0.569205589,0.843274397,0.454893795,0.780003479,0.1
2015-01-03 13:00:00+00:00,0.542648671,0.863223764,0.874469012,0.568490621,0.84327904,0.447227099,0.782145781,0.1
2015-01-03 14:00:00+00:00,0.541658772,0.86328875,0.874409789,0.567775652,0.843281899,0.439561184,0.766162918,0.1
2015-01-03 15:00:00+00:00,0.540668873,0.863210563,0.874349163,0.567060683,0.843692804,0.431896051,0.750183668,0.1
2015-01-03 16:00:00+00:00,0.539678974,0.863131362,0.874287133,0.566345715,0.843692095,0.424684492,0.73420803,0.1
2015-01-03 17:00:00+00:00,0.538689075,0.863051148,0.8742237,0.565630746,0.843689603,0.417020922,0.718236004,0.1
2015-01-03 18:00:00+00:00,0.537699176,0.86296992,0.874158864,0.564915778,0.843685327,0.409358132,0.70226759,0.1
2015-01-03 19:00:00+00:00,0.536709277,0.862887679,0.874092623,0.564200809,0.843679267,0.401696125,0.686302789,0.1
2015-01-03 20:00:00+00:00,0.537896773,0.862974848,0.874235943,0.565094548,0.844261964,0.411923268,0.694610981,0.1
2015-01-03 21:00:00+00:00,0.536906874,0.862890579,0.874327188,0.564379579,0.844252337,0.404262823,0.678653405,0.1
2015-01-03 22:00:00+00:00,0.535916975,0.862805297,0.874256738,0.563664611,0.844240925,0.41043593,0.66269944,0.1
2015-01-03 23:00:00+00:00,0.537104471,0.862889426,0.874184884,0.562949642,0.84422773,0.407179248,0.646749088,0.1
2015-01-04 00:00:00+00:00,0.537633606,0.862974977,0.874323611,0.562234673,0.844213466,0.399521147,0.655071729,0.1
2015-01-04 01:00:00+00:00,0.538821102,0.863061952,0.874461957,0.563128412,0.844788675,0.409752197,0.663397983,0.1
2015-01-04 02:00:00+00:00,0.537831203,0.862979926,0.874388958,0.562413443,0.845362815,0.419984029,0.653413655,0.1
2015-01-04 03:00:00+00:00,0.539018699,0.863069746,0.874526541,0.563307182,0.845935887,0.430216643,0.661747134,0.1
