,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Visegrad,HE Salakovac,HE Bocac,RHE Capljina,HDAM,HROR
2010-01-02 10:00:00+00:00,0.744796496,0.855760211,0.797039667,0,0.714276256,0.512207832,0.64185733,0.758950558,0.1,0.714276256,0.8766161
2010-01-02 11:00:00+00:00,0.744045277,0.855797237,0.797128359,0,0.714586017,0.506223911,0.625666203,0.745398396,0.1,0.714586017,0.8765273
2010-01-02 12:00:00+00:00,0.743294393,0.855832221,0.797216319,0,0.714895955,0.500239598,0.609483988,0.731852122,0.1,0.714895955,0.8764384
2010-01-02 13:00:00+00:00,0.742543846,0.855865165,0.797303547,0,0.715206071,0.494254895,0.593310684,0.718311734,0.1,0.715206071,0.8763496
2010-01-02 14:00:00+00:00,0.741793635,0.855896068,0.797390043,0,0.715516365,0.488269801,0.577146291,0.704777233,0.1,0.715516365,0.8762607
2010-01-02 15:00:00+00:00,0.74104376,0.85592493,0.797475806,0,0.715826837,0.482284317,0.56099081,0.691248618,0.1,0.715826837,0.8761718
2010-01-02 16:00:00+00:00,0.740294221,0.855951751,0.797560837,0,0.716728027,0.479942326,0.573430994,0.701995272,0.1,0.716728027,0.876083
2010-01-02 17:00:00+00:00,0.739545018,0.855976531,0.797645136,0,0.717629396,0.49184443,0.585880089,0.712747813,0.1,0.717629396,0.8759941
2010-01-02 18:00:00+00:00,0.738796151,0.856007604,0.797728702,0,0.718530943,0.503746143,0.598338096,0.72350624,0.1,0.718530943,0.8759053
2010-01-02 19:00:00+00:00,0.738047619,0.856028302,0.797811537,0,0.719432668,0.513349198,0.610805014,0.734270554,0.1,0.719432668,0.8758164
2010-01-02 20:00:00+00:00,0.737299424,0.85604696,0.797893639,0,0.72033457,0.508863048,0.623280844,0.745040755,0.1,0.72033457,0.8757275
2010-01-02 21:00:00+00:00,0.736551565,0.856209653,0.798074543,0,0.721236651,0.52076359,0.635765584,0.755816842,0.1,0.721236651,0.8756387
2010-01-02 22:00:00+00:00,0.735804042,0.856224229,0.798155181,0,0.721548368,0.51477537,0.619672482,0.742329434,0.1,0.721548368,0.8755498
2010-01-02 23:00:00+00:00,0.735056855,0.856236763,0.798235086,0,0.721860263,0.50878676,0.603588291,0.728847912,0.1,0.721860263,0.875461
2010-01-03 00:00:00+00:00,0.734310004,0.856247815,0.798312629,0,0.722760103,0.520376742,0.616099766,0.739641659,0.1,0.722760103,0.8749661
2010-01-03 01:00:00+00:00,0.735726465,0.856403463,0.798598772,0,0.723657348,0.53227572,0.628620152,0.750441293,0.1,0.723657348,0.8744712
2010-01-03 02:00:00+00:00,0.734980286,0.856557628,0.798856491,0,0.724551997,0.544174308,0.641149449,0.761246814,0.1,0.724551997,0.8739764
2010-01-03 03:00:00+00:00,0.734234443,0.856710311,0.799017587,0,0.72544405,0.556072505,0.653687657,0.772058221,0.1,0.72544405,0.8734815
2010-01-03 04:00:00+00:00,0.733488936,0.856861512,0.799215312,0,0.726333508,0.567970311,0.666234777,0.782875514,0.1,0.726333508,0.8729866
2010-01-03 05:00:00+00:00,0.733114449,0.85701123,0.799492005,0,0.727220369,0.579867727,0.678790808,0.793698695,0.1,0.727220369,0.8724918
2010-01-03 06:00:00+00:00,0.73286759,0.857159466,0.799766335,0,0.728104635,0.591764751,0.691355751,0.804527762,0.1,0.728104635,0.8719969
2010-01-03 07:00:00+00:00,0.732123091,0.857222486,0.79982734,0,0.728986306,0.603661386,0.703929605,0.815362715,0.1,0.728986306,0.871502
2010-01-03 08:00:00+00:00,0.731378928,0.857367758,0.800008101,0,0.72986538,0.615557629,0.71651237,0.826203555,0.1,0.72986538,0.8710072
2010-01-03 09:00:00+00:00,0.732798077,0.857511547,0.800275344,0,0.730741859,0.627453482,0.729104046,0.837050282,0.1,0.730741859,0.8705123
2010-01-03 10:00:00+00:00,0.734217562,0.857653854,0.800540224,0,0.731615741,0.639348944,0.741704634,0.847902896,0.1,0.731615741,0.8700174
2010-01-03 11:00:00+00:00,0.733474407,0.857648602,0.800591778,0,0.732487029,0.650089032,0.754314133,0.858761396,0.1,0.732487029,0.8695226
2010-01-03 12:00:00+00:00,0.732731588,0.857641867,0.80064097,0,0.73335572,0.661396588,0.766932543,0.869625783,0.1,0.73335572,0.8690277
2010-01-03 13:00:00+00:00,0.731989105,0.857779727,0.800769471,0,0.734221815,0.673290878,0.779559864,0.880496056,0.1,0.734221815,0.8685328
2010-01-03 14:00:00+00:00,0.732349012,0.857916105,0.801024901,0,0.735085315,0.685184777,0.792196097,0.891372216,0.1,0.735085315,0.8680379
2010-01-03 15:00:00+00:00,0.731607202,0.857904924,0.801067005,0,0.735946219,0.695726933,0.804841242,0.902254263,0.1,0.735946219,0.8675431
2010-01-03 16:00:00+00:00,0.730865727,0.858038337,0.801299049,0,0.736804528,0.707620051,0.817495297,0.913142196,0.1,0.736804528,0.8670482
2010-01-03 17:00:00+00:00,0.730124589,0.858024191,0.801336427,0,0.737069699,0.701624408,0.80157151,0.899766635,0.1,0.737069699,0.8665533
2010-01-03 18:00:00+00:00,0.729383786,0.858008563,0.801371444,0,0.737332274,0.695628375,0.785656634,0.886396959,0.1,0.737332274,0.8660585
2010-01-03 19:00:00+00:00,0.728643319,0.85813753,0.801446945,0,0.738182795,0.70752032,0.798337423,0.897302553,0.1,0.738182795,0.8655636
2010-01-03 20:00:00+00:00,0.727903189,0.858118937,0.801477237,0,0.739030721,0.715414498,0.811027124,0.908214033,0.1,0.739030721,0.8650687
2010-01-03 21:00:00+00:00,0.727163394,0.858098862,0.801505165,0,0.739285509,0.709417292,0.795138982,0.894862017,0.1,0.739285509,0.8645642
