PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
404.0,Huntstown CCGT Unit 2,IE,COMC,GAS,0.48,4,4,0.049504951,0.049504951,73910.7859,6145.330659,0,0.420792079,0.47,0,0.42499864200000004,,,,,,,,,,
72.0,iPower Solutions ltd,IE,GTUR,OIL,0.27,1,1,0.111111111,0.111111111,6917.3303849999975,1499.446209,0,0.375,0.0,0,0.0,,,,,,,,,,
29.0,Kilroot KGT1,IE,GTUR,OIL,0.24,0,0,0.092068966,0.092068966,1866.9963739999998,868.0702472999999,0,0.172413793,0.11,0,0.856535385,,,,,,,,,,
29.0,Kilroot KGT2,IE,GTUR,OIL,0.24,0,0,0.092068966,0.092068966,1866.9963739999998,868.0702472999999,0,0.172413793,0.11,0,0.53932183,,,,,,,,,,
42.0,Kilroot KGT3,IE,GTUR,OIL,0.29,0,0,0.23809523800000001,0.23809523800000001,1881.5105489999999,972.5134615000001,0,0.305238095,0.2,0,0.5333023379999999,,,,,,,,,,
42.0,Kilroot KGT4,IE,GTUR,OIL,0.29,0,0,0.23809523800000001,0.23809523800000001,1881.509505,972.4999451,0,0.305238095,0.2,0,0.9406950000000001,,,,,,,,,,
238.0,Kilroot K1,IE,STUR,HRD,0.32,4,1,0.024327731000000002,0.024327731000000002,22032.74968,986.4209341,0,0.39075630299999997,0.27,0,1.0852705440000001,,,,,,,,,,
238.0,Kilroot K2,IE,STUR,HRD,0.32,4,1,0.024327731000000002,0.024327731000000002,22032.74968,986.4209341,0,0.39075630299999997,0.27,0,1.0852705440000001,,,,,,,,,,
15.0,LEE UNIT 1,IE,HROR,WAT,1.0,0,0,0.16,1.0,117.1,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
4.0,LEE UNIT 2,IE,HROR,WAT,1.0,0,0,0.15,1.0,27.98,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
8.0,LEE UNIT 3,IE,HROR,WAT,1.0,0,0,0.1875,1.0,62.49,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
15.0,Liffey Unit 1,IE,HROR,WAT,1.0,0,0,0.333333333,0.666666667,177.2703297,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
15.0,Liffey Unit 2,IE,HROR,WAT,1.0,0,0,0.333333333,0.666666667,170.1499451,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
4.0,Liffey Unit 4,IE,HROR,WAT,1.0,0,0,0.5,0.5,43.14,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
4.0,Liffey Unit 5,IE,HROR,WAT,1.0,0,0,0.0075,0.5,31.8,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
18.2,Lisahally / Maydown,IE,STUR,WST,0.3,4,1,0.002197802,0.002197802,2375.985321,45.40012422,0,0.700549451,0.0,0,0.0,,,,,,,,,,
93.0,Lanesboro,IE,STUR,BIO,0.36,4,4,0.014731183,0.005376344,4303.568141,502.28340660000003,0,0.9784946240000001,0.36,0,1.167,,,,,,,,,,
95.0,Marina,IE,GTUR,GAS,0.26,4,1,0.052631579000000005,0.052631579000000005,33300.595330000004,2999.112033,0,0.21052631600000002,0.25,0,0.776917678,,,,,,,,,,
17.0,Meath waste to energy,IE,STUR,WST,0.85,0,0,0.021176471000000002,0.038235293999999996,0.0,0.0,0,0.05882352900000001,0.0,0,0.0,,,,,,,,,,
285.0,Moneypoint Unit 1,IE,STUR,HRD,0.3,6,5,0.010526316,0.015929825,113198.3976,858.2935164999999,0,0.34736842100000004,0.32,0,1.0649820970000001,,,,,,,,,,
285.0,Moneypoint Unit 2,IE,STUR,HRD,0.3,6,5,0.010526316,0.015754386000000002,107583.3316,817.8710989,0,0.34736842100000004,0.32,0,1.0649820970000001,,,,,,,,,,
285.0,Moneypoint Unit 3,IE,STUR,HRD,0.3,6,5,0.010526316,0.015929825,113195.0652,858.2794505,0,0.34736842100000004,0.32,0,1.0649820970000001,,,,,,,,,,
163.0,North Wall 4,IE,COMC,GAS,0.35,4,0,0.023213397,0.073619632,4896.97,3104.21,0,0.5355828220000001,0.36,0,0.580714574,,,,,,,,,,
109.0,North Wall CT5,IE,GTUR,GAS,0.27,4,1,0.073394495,0.073394495,9528.195,3564.425082,0,0.174311927,0.14,0,0.761832884,,,,,,,,,,
512.0,Poolbeg CCGT Unit,IE,COMC,GAS,0.47,4,4,0.021484375,0.021484375,97478.30877,4830.5254399999985,0,0.453125,0.44,0,0.439182633,,,,,,,,,,
52.0,Rhode Unit 1,IE,GTUR,OIL,0.31,0,0,0.192307692,0.192307692,2256.095357,1005.010467,0,0.096153846,0.21,0,0.837731707,,,,,,,,,,
52.0,Rhode Unit 2,IE,GTUR,OIL,0.31,0,0,0.192307692,0.192307692,2256.095357,1005.010467,0,0.096153846,0.21,0,0.837731707,,,,,,,,,,
83.0,Sealrock 3,IE,GTUR,GAS,0.56,4,4,0.072289157,0.072289157,6255.604112,1323.492692,0,0.48192771100000004,0.48,0,0.36694434,,,,,,,,,,
83.0,Sealrock 4,IE,GTUR,GAS,0.56,4,4,0.072289157,0.072289157,6267.130265999999,1326.287198,0,0.48192771100000004,0.48,0,0.36694434,,,,,,,,,,
