,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
HU_STUR_GEO,HU_STUR_GEO,37.222222222222214,9.0,HU,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,
HU_STUR_NUC,HU_STUR_NUC,386.0,1.0,HU,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,,
HU_COMC_GAS,HU_COMC_GAS,419.375,24.0,HU,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
HU_COMC_OIL,HU_COMC_OIL,62.0,1,HU,COMC,OIL,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
HU_HROR_WAT,HU_HROR_WAT,49.0,1,HU,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
HU_WTON_WIN,HU_WTON_WIN,12701.0,1,HU,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
HU_PHOT_SUN,HU_PHOT_SUN,7497.0,1,HU,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
HU_BATS_OTH,HU_BATS_OTH,761666.6666666667,1,HU,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,3046666.666666667,0.0,0.0,0.9,
HU_BEVS_OTH,HU_BEVS_OTH,33400.0,1,HU,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,136940.0,0.0,33400.0,0.88,
HU_STUR_BIO_CHP,HU_STUR_BIO_CHP,140.75,4.0,HU,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,3753.333333333333,0.03,,,
HU_STUR_OIL_CHP,HU_STUR_OIL_CHP,15.0,1.0,HU,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,Extraction,0.45,0.11,,,,,400.0,0.03,,,
HU_COMC_GAS_CHP,HU_COMC_GAS_CHP,355.0,2.0,HU,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4484.210526315789,0.03,,,
