,DE_P2HT_OTH,DE_STUR_BIO_CHP,DE_STUR_OIL_CHP,DE_COMC_GAS_CHP
2016-01-01 00:00:00,20788.939004165826,15400.973134778766,327.6480052311842,6124.718413575908
2016-01-01 01:00:00,21287.726102181237,15770.487264141995,335.5092336309141,6271.668218135771
2016-01-01 02:00:00,22758.049018907357,16859.73976208866,358.68253605940606,6704.846353882406
2016-01-01 03:00:00,25767.172403104072,19088.974663877616,406.1083943068615,7591.37709006949
2016-01-01 04:00:00,34115.00853978781,25273.263340122172,537.6760446632906,10050.768869977825
2016-01-01 05:00:00,40364.72633773484,29903.21275153001,636.1759041003133,11892.025014366383
2016-01-01 06:00:00,39083.94251825458,28954.375622741372,615.9898684637187,11514.687804352496
2016-01-01 07:00:00,38800.225653688525,28744.190975598493,611.5182951570249,11431.100762979122
2016-01-01 08:00:00,37294.395858798605,27628.63408200224,587.7853798593995,10987.461793687547
2016-01-01 09:00:00,35688.808644305594,26439.17436253334,562.4802188818281,10514.432863483997
2016-01-01 10:00:00,34255.17616834874,25377.103073424583,539.8851830847739,10092.0642557338
2016-01-01 11:00:00,33398.4459223677,24742.415584108145,526.3825239995429,9839.659286342332
2016-01-01 12:00:00,33056.39632938967,24489.016572683802,520.9915866935587,9738.886589859416
2016-01-01 13:00:00,33411.80327177218,24752.311047233467,526.5930450312645,9843.594552294953
2016-01-01 14:00:00,33930.710934080416,25136.731000798132,534.77138739017,9996.472162530283
2016-01-01 15:00:00,35172.606267952695,26056.758553399122,554.3445136939043,10362.352269137808
2016-01-01 16:00:00,35870.90820517427,26574.07833450765,565.3502334535262,10568.081995521616
2016-01-01 17:00:00,35804.96686001292,26525.227314015563,564.3109524108501,10548.654733223873
2016-01-01 18:00:00,35346.08272983873,26185.27431500139,557.0786222830985,10413.460913028797
2016-01-01 19:00:00,34092.013609167436,25256.22811246339,537.313628709947,10043.99423492015
2016-01-01 20:00:00,30851.08103467271,22855.26308479071,486.234297874007,9089.169199732534
2016-01-01 21:00:00,25069.54678737133,18572.155918876702,395.113333839985,7385.846617657965
2016-01-01 22:00:00,21044.08128582863,15589.989006375074,331.669223419385,6199.886974620257
2016-01-01 23:00:00,21494.849558136793,15923.929572097913,338.77364203419177,6332.689747147918
2016-01-02 00:00:00,22005.979523323436,16302.587610425046,346.8294025265251,6483.2759367019735
2016-01-02 01:00:00,22524.718105259464,16686.882304962808,355.0050800622443,6636.103733444233
2016-01-02 02:00:00,24005.354924690306,17783.77560355054,378.34093670510356,7072.320492268207
2016-01-02 03:00:00,26862.8132150159,19900.653158207697,423.3764485544038,7914.1685251704785
2016-01-02 04:00:00,35154.176507381955,26043.10531946672,554.0540479665922,10356.922598393052
2016-01-02 05:00:00,41864.97648034189,31014.636097238465,659.8208802327891,12334.02013838661
2016-01-02 06:00:00,40352.55255093583,29894.19410159301,635.9840368308962,11888.438442865263
2016-01-02 07:00:00,40267.336043342686,29831.063552034,634.6409659449763,11863.332442357407
2016-01-02 08:00:00,38645.855273862064,28629.829484036243,609.0853115878881,11385.621043805171
2016-01-02 09:00:00,37053.45632840132,27450.139968665764,583.988006818852,10916.477566061172
2016-01-02 10:00:00,35606.12834229558,26377.92269837788,561.1771203437036,10490.074065372211
2016-01-02 11:00:00,34741.28223844852,25737.222775770108,547.5465497455277,10235.278048313328
2016-01-02 12:00:00,34289.66856427931,25402.655914912753,540.4288070147891,10102.226208320313
2016-01-02 13:00:00,34645.41366740623,25666.200907516224,546.0355949988677,10207.033797741991
2016-01-02 14:00:00,35194.417635967606,26072.916967869583,554.6882758849433,10368.778209743985
2016-01-02 15:00:00,36432.42412127909,26990.063562851814,574.2001112553917,10733.512606010872
2016-01-02 16:00:00,37135.629389294714,27511.015855740523,585.2831108874177,10940.686923693747
2016-01-02 17:00:00,36980.244527234994,27395.902810016854,582.8341383791628,10894.908323561367
2016-01-02 18:00:00,36509.52477100621,27047.181679119483,575.4152706283668,10756.227558851313
2016-01-02 19:00:00,35157.89627557054,26045.861018058582,554.112674076692,10358.018495240618
2016-01-02 20:00:00,31863.02706234127,23604.938360803913,502.18326464430663,9387.30295576331
2016-01-02 21:00:00,26324.799470648086,19502.078934603018,414.8969811754409,7755.66199021811
2016-01-02 22:00:00,22289.69638788949,16512.77225756793,351.30097583321896,6566.862978075347
2016-01-02 23:00:00,22341.604062157538,16551.226778827087,352.1190765514282,6582.155720448188
2016-01-03 00:00:00,22853.748509577432,16930.636371315635,360.1908259828797,6733.040790960672
2016-01-03 01:00:00,23395.98926325046,17332.342070592884,368.7369139415013,6892.7926632398185
2016-01-03 02:00:00,24872.06091263167,18425.853375454244,392.0008203583292,7327.664457750872
2016-01-03 03:00:00,27746.596320550325,20555.38209182858,437.3054793494507,8174.543653453328
2016-01-03 04:00:00,36034.57800547221,26695.32907254955,567.9297822979122,10616.30145681448
2016-01-03 05:00:00,42678.08399029311,31617.006757613985,672.6360149359421,12573.573226565724
2016-01-03 06:00:00,41156.69880115999,30489.926033542677,648.6579359051726,12125.351415911604
2016-01-03 07:00:00,41403.04890346794,30672.42843574004,652.5405832876833,12197.929675316254
2016-01-03 08:00:00,39759.58768560021,29454.910694244918,626.6385019163697,11713.74252266477
2016-01-03 09:00:00,38139.12139835284,28254.428180408577,601.0988364983997,11236.330005070962
