,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica,HDAM
2010-01-03 02:00:00+00:00,1.156248427,0.533573226,1.700805872,0.660139108,0.678148109,0.945782948
2010-01-03 03:00:00+00:00,1.15329648,0.533164703,1.69518858,0.660540215,0.678757485,0.944189493
2010-01-03 04:00:00+00:00,1.150344532,0.532756152,1.689569669,0.660941307,0.67936686,0.942595704
2010-01-03 05:00:00+00:00,1.147392584,0.532347574,1.683949132,0.661342382,0.679976236,0.941001582
2010-01-03 06:00:00+00:00,1.144440637,0.531938969,1.678326964,0.661743443,0.680585612,0.939407125
2010-01-03 07:00:00+00:00,1.141488689,0.531530336,1.672703157,0.662144488,0.681194987,0.937812331
2010-01-03 08:00:00+00:00,1.138536741,0.531121677,1.667077706,0.662545517,0.681804363,0.936217201
2010-01-03 09:00:00+00:00,1.135584794,0.53071299,1.661450604,0.662946531,0.682413739,0.934621732
2010-01-03 10:00:00+00:00,1.132632846,0.530304275,1.655821843,0.663347529,0.683023115,0.933025922
2010-01-03 11:00:00+00:00,1.129680898,0.529895533,1.650191419,0.663748512,0.68363249,0.93142977
2010-01-03 12:00:00+00:00,1.126728951,0.529486764,1.644559323,0.664149479,0.684241866,0.929833277
2010-01-03 13:00:00+00:00,1.123777003,0.529077967,1.63892555,0.664550431,0.684851242,0.928236439
2010-01-03 14:00:00+00:00,1.120825055,0.528669143,1.633290093,0.664951368,0.685460617,0.926639255
2010-01-03 15:00:00+00:00,1.117873108,0.528260291,1.627652943,0.665352289,0.686069993,0.925041725
2010-01-03 16:00:00+00:00,1.11492116,0.527851412,1.622014096,0.665753195,0.686679369,0.923443846
2010-01-03 17:00:00+00:00,1.111969212,0.527442505,1.616373544,0.666154085,0.687288745,0.921845618
2010-01-03 18:00:00+00:00,1.109017265,0.527033571,1.610731279,0.66655496,0.68789812,0.920247039
2010-01-03 19:00:00+00:00,1.106065317,0.526624609,1.605087296,0.666955819,0.688507496,0.918648107
2010-01-03 20:00:00+00:00,1.10311337,0.52621562,1.599441586,0.667356663,0.689116872,0.917048822
2010-01-03 21:00:00+00:00,1.100161422,0.525806602,1.593794142,0.667757492,0.689726247,0.915449181
2010-01-03 22:00:00+00:00,1.097209474,0.525397558,1.588144958,0.668158305,0.690335623,0.913849184
2010-01-03 23:00:00+00:00,1.094257527,0.524988485,1.582494026,0.668559103,0.690944999,0.912248828
2010-01-04 00:00:00+00:00,1.087325331,0.523350213,1.580007078,0.667773337,0.691554375,0.910002067
2010-01-04 01:00:00+00:00,1.080393136,0.521711495,1.57751979,0.666987511,0.69216375,0.907755136
2010-01-04 02:00:00+00:00,1.073460941,0.520072329,1.575032161,0.666201626,0.692773126,0.905508037
2010-01-04 03:00:00+00:00,1.066528746,0.518432714,1.57254419,0.665415682,0.693382502,0.903260767
2010-01-04 04:00:00+00:00,1.059596551,0.516792648,1.570055876,0.664629679,0.693991877,0.901013326
2010-01-04 05:00:00+00:00,1.052664355,0.515152129,1.56756722,0.663843617,0.694601253,0.898765715
2010-01-04 06:00:00+00:00,1.04573216,0.513511156,1.56507822,0.663057495,0.695210629,0.896517932
2010-01-04 07:00:00+00:00,1.038799965,0.511869727,1.562588875,0.662271313,0.695820004,0.894269977
2010-01-04 08:00:00+00:00,1.03186777,0.51022784,1.560099186,0.661485072,0.69642938,0.89202185
2010-01-04 09:00:00+00:00,1.024935575,0.508585493,1.557609152,0.660698771,0.697038756,0.889773549
2010-01-04 10:00:00+00:00,1.018003379,0.506942685,1.555118771,0.659912411,0.697648132,0.887525076
2010-01-04 11:00:00+00:00,1.011071184,0.505299414,1.552628043,0.659125991,0.698257507,0.885276428
2010-01-04 12:00:00+00:00,1.004138989,0.503655678,1.550136968,0.658339511,0.698866883,0.883027606
2010-01-04 13:00:00+00:00,0.997206794,0.502011475,1.547645544,0.657552971,0.699476259,0.880778609
2010-01-04 14:00:00+00:00,0.990274599,0.500366804,1.545153772,0.65676637,0.700085634,0.878529436
2010-01-04 15:00:00+00:00,0.983342403,0.498721663,1.542661651,0.65597971,0.70069501,0.876280087
2010-01-04 16:00:00+00:00,0.976410208,0.49707605,1.540169179,0.65519299,0.701304386,0.874030563
2010-01-04 17:00:00+00:00,0.969478013,0.495429963,1.537676356,0.654406209,0.701913762,0.871780861
2010-01-04 18:00:00+00:00,0.962545818,0.4937834,1.535183182,0.653619368,0.702523137,0.869530981
2010-01-04 19:00:00+00:00,0.955613622,0.492136359,1.532689656,0.652832466,0.703132513,0.867280923
2010-01-04 20:00:00+00:00,0.948681427,0.490488839,1.530195777,0.652045504,0.703741889,0.865030687
2010-01-04 21:00:00+00:00,0.941749232,0.488840838,1.527701545,0.651258481,0.704351264,0.862780272
2010-01-04 22:00:00+00:00,0.934817037,0.487192354,1.525206958,0.650471397,0.70496064,0.860529677
2010-01-04 23:00:00+00:00,0.927884842,0.485543384,1.522712016,0.649684253,0.705570016,0.858278902
2010-01-05 00:00:00+00:00,0.933622391,0.486031029,1.524928388,0.649639787,0.706179392,0.860080197
2010-01-05 01:00:00+00:00,0.939359941,0.486518631,1.52714448,0.649595321,0.706788767,0.861881428
2010-01-05 02:00:00+00:00,0.94509749,0.48700619,1.529360292,0.649550855,0.707398143,0.863682594
2010-01-05 03:00:00+00:00,0.95083504,0.487493707,1.531575825,0.649506389,0.708007519,0.865483696
2010-01-05 04:00:00+00:00,0.95657259,0.487981182,1.53379108,0.649461923,0.708616894,0.867284734
2010-01-05 05:00:00+00:00,0.962310139,0.488468614,1.536006056,0.649417456,0.70922627,0.869085707
2010-01-05 06:00:00+00:00,0.968047689,0.488956004,1.538220755,0.649372989,0.709835646,0.870886617
2010-01-05 07:00:00+00:00,0.973785238,0.489443352,1.540435176,0.649328522,0.710445021,0.872687462
2010-01-05 08:00:00+00:00,0.979522788,0.489930657,1.54264932,0.649284055,0.711054397,0.874488243
2010-01-05 09:00:00+00:00,0.985260338,0.490417921,1.544863189,0.649239588,0.711663773,0.876288962
2010-01-05 10:00:00+00:00,0.990997887,0.490905142,1.547076781,0.64919512,0.712273149,0.878089616
2010-01-05 11:00:00+00:00,0.996735437,0.491392321,1.549290098,0.649150653,0.712882524,0.879890207
2010-01-05 12:00:00+00:00,1.002472986,0.491879458,1.55150314,0.649106185,0.7134919,0.881690734
2010-01-05 13:00:00+00:00,1.008210536,0.492366554,1.553715908,0.649061716,0.714101276,0.883491198
2010-01-05 14:00:00+00:00,1.013948086,0.492853607,1.555928401,0.649017248,0.714710651,0.885291599
2010-01-05 15:00:00+00:00,1.019685635,0.493340619,1.558140621,0.64897278,0.715320027,0.887091936
2010-01-05 16:00:00+00:00,1.025423185,0.493827588,1.560352568,0.648928311,0.715929403,0.888892211
2010-01-05 17:00:00+00:00,1.031160735,0.494314516,1.562564243,0.648883842,0.716538779,0.890692423
2010-01-05 18:00:00+00:00,1.036898284,0.494801403,1.564775645,0.648839373,0.717148154,0.892492572
2010-01-05 19:00:00+00:00,1.042635834,0.495288247,1.566986775,0.648794903,0.71775753,0.894292658
2010-01-05 20:00:00+00:00,1.048373383,0.49577505,1.569197634,0.648750434,0.718366906,0.896092681
2010-01-05 21:00:00+00:00,1.054110933,0.496261812,1.571408223,0.648705964,0.718976281,0.897892643
2010-01-05 22:00:00+00:00,1.059848483,0.496748532,1.573618541,0.648661494,0.719585657,0.899692541
2010-01-05 23:00:00+00:00,1.065586032,0.49723521,1.575828589,0.648617024,0.720195033,0.901492378
2010-01-06 00:00:00+00:00,1.066730663,0.498999743,1.573836222,0.649510879,0.720804408,0.901976383
2010-01-06 01:00:00+00:00,1.067875293,0.500763733,1.571843637,0.650404655,0.721413784,0.90246022
2010-01-06 02:00:00+00:00,1.069019923,0.502527183,1.569850832,0.651298353,0.72202316,0.90294389
2010-01-06 03:00:00+00:00,1.070164554,0.504290094,1.567857807,0.652191972,0.722632536,0.903427393
2010-01-06 04:00:00+00:00,1.071309184,0.506052471,1.565864561,0.653085514,0.723241911,0.903910728
2010-01-06 05:00:00+00:00,1.072453815,0.507814313,1.563871095,0.653978977,0.723851287,0.904393897
2010-01-06 06:00:00+00:00,1.073598445,0.509575624,1.561877408,0.654872362,0.724460663,0.9048769
2010-01-06 07:00:00+00:00,1.074743076,0.511336406,1.559883499,0.65576567,0.725070038,0.905359738
2010-01-06 08:00:00+00:00,1.075887706,0.513096661,1.557889369,0.6566589,0.725679414,0.90584241
2010-01-06 09:00:00+00:00,1.077032336,0.514856391,1.555895017,0.657552052,0.72628879,0.906324917
2010-01-06 10:00:00+00:00,1.078176967,0.516615598,1.553900443,0.658445127,0.726898166,0.90680726
2010-01-06 11:00:00+00:00,1.079321597,0.518374285,1.551905646,0.659338125,0.727507541,0.907289439
2010-01-06 12:00:00+00:00,1.080466228,0.520132452,1.549910625,0.660231046,0.728116917,0.907771454
2010-01-06 13:00:00+00:00,1.081610858,0.521890103,1.547915382,0.661123889,0.728726293,0.908253305
2010-01-06 14:00:00+00:00,1.082755489,0.52364724,1.545919915,0.662016655,0.729335668,0.908734993
2010-01-06 15:00:00+00:00,1.083900119,0.525403864,1.543924224,0.662909345,0.729945044,0.909216519
2010-01-06 16:00:00+00:00,1.085044749,0.527159977,1.541928309,0.663801958,0.73055442,0.909697883
2010-01-06 17:00:00+00:00,1.08618938,0.528915582,1.539932168,0.664694494,0.731163796,0.910179084
2010-01-06 18:00:00+00:00,1.08733401,0.53067068,1.537935803,0.665586954,0.731773171,0.910660124
2010-01-06 19:00:00+00:00,1.088478641,0.532425273,1.535939213,0.666479337,0.732382547,0.911141002
2010-01-06 20:00:00+00:00,1.089623271,0.534179364,1.533942397,0.667371645,0.732991923,0.91162172
2010-01-06 21:00:00+00:00,1.090767902,0.535932954,1.531945354,0.668263876,0.733601298,0.912102277
2010-01-06 22:00:00+00:00,1.091912532,0.537686046,1.529948086,0.669156031,0.734210674,0.912582674
2010-01-06 23:00:00+00:00,1.093057162,0.53943864,1.52795059,0.67004811,0.73482005,0.91306291
2010-01-07 00:00:00+00:00,1.091658381,0.538789246,1.523498544,0.670249009,0.735429425,0.911924921
2010-01-07 01:00:00+00:00,1.0902596,0.538139785,1.519045366,0.670449905,0.736038801,0.910786691
2010-01-07 02:00:00+00:00,1.088860818,0.537490254,1.514591053,0.670650797,0.736648177,0.90964822
2010-01-07 03:00:00+00:00,1.087462037,0.536840656,1.5101356,0.670851686,0.737257553,0.908509506
2010-01-07 04:00:00+00:00,1.086063256,0.536190989,1.505679004,0.67105257,0.737866928,0.907370549
2010-01-07 05:00:00+00:00,1.084664474,0.535541254,1.501221261,0.671253451,0.738476304,0.906231349
2010-01-07 06:00:00+00:00,1.083265693,0.53489145,1.496762366,0.671454327,0.73908568,0.905091903
2010-01-07 07:00:00+00:00,1.081866912,0.534241578,1.492302316,0.6716552,0.739695055,0.903952212
2010-01-07 08:00:00+00:00,1.08046813,0.533591637,1.487841107,0.671856069,0.740304431,0.902812275
2010-01-07 09:00:00+00:00,1.079069349,0.532941627,1.483378734,0.672056935,0.740913807,0.90167209
2010-01-07 10:00:00+00:00,1.077670568,0.532291548,1.478915193,0.672257796,0.741523183,0.900531658
