,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak
2014-12-31 23:00:00+00:00,0.802233407,0.549209928,1.211914746,0.7603256
2015-01-01 00:00:00+00:00,0.802233407,0.549209928,1.211914746,0.7603256
2015-01-01 01:00:00+00:00,0.801913662,0.54907292,1.220566851,0.759238488
2015-01-01 02:00:00+00:00,0.801593917,0.548935908,1.229213626,0.758151277
2015-01-01 03:00:00+00:00,0.801274172,0.548798894,1.237855115,0.757063966
2015-01-01 04:00:00+00:00,0.800954427,0.548661876,1.246491361,0.755976556
2015-01-01 05:00:00+00:00,0.800634682,0.548524856,1.255122408,0.754889046
2015-01-01 06:00:00+00:00,0.800314937,0.548387833,1.263748296,0.753801436
2015-01-01 07:00:00+00:00,0.799995192,0.548250806,1.272369067,0.752713726
2015-01-01 08:00:00+00:00,0.799675447,0.548113777,1.280984763,0.751625916
2015-01-01 09:00:00+00:00,0.799355702,0.547976745,1.289595422,0.750538004
2015-01-01 10:00:00+00:00,0.799035957,0.547839709,1.298201085,0.749449993
2015-01-01 11:00:00+00:00,0.798716212,0.547702671,1.30680179,0.74836188
2015-01-01 12:00:00+00:00,0.798396467,0.54756563,1.315397576,0.747273667
2015-01-01 13:00:00+00:00,0.798076722,0.547428586,1.32398848,0.746185352
2015-01-01 14:00:00+00:00,0.797756977,0.547291538,1.332574539,0.745096936
2015-01-01 15:00:00+00:00,0.797437232,0.547154488,1.341155791,0.744008418
2015-01-01 16:00:00+00:00,0.797117487,0.547017435,1.34973227,0.742919799
2015-01-01 17:00:00+00:00,0.796797742,0.546880379,1.358304014,0.741831078
2015-01-01 18:00:00+00:00,0.796477997,0.54674332,1.366871056,0.740742255
2015-01-01 19:00:00+00:00,0.796158251,0.546606258,1.375433431,0.73965333
2015-01-01 20:00:00+00:00,0.795838506,0.546469192,1.383991174,0.738564303
2015-01-01 21:00:00+00:00,0.795518761,0.546332124,1.392544318,0.737475173
2015-01-01 22:00:00+00:00,0.795199016,0.546195053,1.401092897,0.73638594
2015-01-01 23:00:00+00:00,0.794879271,0.546057979,1.409636942,0.735296604
2015-01-02 00:00:00+00:00,0.8000851,0.547645738,1.411355347,0.736037679
2015-01-02 01:00:00+00:00,0.805290929,0.549233097,1.41307357,0.736778706
2015-01-02 02:00:00+00:00,0.810496757,0.550820057,1.414791612,0.737519686
2015-01-02 03:00:00+00:00,0.815702586,0.55240662,1.416509472,0.738260618
2015-01-02 04:00:00+00:00,0.820908415,0.553992786,1.418227151,0.739001503
2015-01-02 05:00:00+00:00,0.826114244,0.555578558,1.419944649,0.73974234
2015-01-02 06:00:00+00:00,0.831320072,0.557163936,1.421661967,0.74048313
2015-01-02 07:00:00+00:00,0.836525901,0.558748922,1.423379104,0.741223873
2015-01-02 08:00:00+00:00,0.84173173,0.560333517,1.425096061,0.741964568
2015-01-02 09:00:00+00:00,0.846937559,0.561917722,1.426812838,0.742705216
2015-01-02 10:00:00+00:00,0.852143387,0.56350154,1.428529436,0.743445817
2015-01-02 11:00:00+00:00,0.857349216,0.56508497,1.430245854,0.744186371
2015-01-02 12:00:00+00:00,0.862555045,0.566668014,1.431962093,0.744926878
2015-01-02 13:00:00+00:00,0.867760873,0.568250674,1.433678154,0.745667338
2015-01-02 14:00:00+00:00,0.872966702,0.569832951,1.435394035,0.746407751
2015-01-02 15:00:00+00:00,0.878172531,0.571414846,1.437109739,0.747148117
2015-01-02 16:00:00+00:00,0.88337836,0.57299636,1.438825264,0.747888436
2015-01-02 17:00:00+00:00,0.888584188,0.574577495,1.440540611,0.748628709
2015-01-02 18:00:00+00:00,0.893790017,0.576158251,1.442255781,0.749368935
2015-01-02 19:00:00+00:00,0.898995846,0.577738631,1.443970774,0.750109114
2015-01-02 20:00:00+00:00,0.904201674,0.579318634,1.445685589,0.750849246
